PLAYER,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Carey Price,191,0,5,3.63,3.04,-0.59,29,8,1,10500000,0.12883435582822086
Sergei Bobrovsky,188,0,300,2.67,2.90,0.23,30,7,1,10000000,0.12269938650306748
Andrei Vasilevskiy,191,0,19,2.49,2.77,0.28,25,8,0,9500000,0.1165644171779141
Marc-André Fleury,188,0,1,2.90,2.70,-0.20,34,3,1,7000000,0.08588957055214724
John Gibson,188,0,39,3.19,3.09,-0.10,25,8,0,6400000,0.0785276073619632
Matt Murray,193,0,83,3.05,3.17,0.12,26,4,0,6250000,0.07668711656441718
Connor Hellebuyck,193,0,130,2.97,3.15,0.19,25,6,0,6166666,0.07566461349693251
Jordan Binnington,185,0,88,3.13,2.85,-0.28,27,6,1,6000000,0.0736196319018405
Jacob Markström,198,0,31,2.22,2.48,0.25,30,6,1,6000000,0.0736196319018405
Philipp Grubauer,185,0,112,3.16,2.53,-0.63,29,6,1,5900000,0.07239263803680981
Jonathan Quick,185,0,72,2.59,2.87,0.28,27,10,1,5800000,0.07116564417177915
Igor Shesterkin,188,0,118,2.06,2.81,0.74,25,4,0,5666667,0.0695296564417178
Juuse Saros,180,0,99,2.64,2.84,0.20,26,4,0,5000000,0.06134969325153374
Linus Ullmark,193,0,163,2.45,2.39,-0.05,27,4,1,5000000,0.06134969325153374
Thatcher Demko,193,0,36,2.72,2.83,0.11,25,5,0,5000000,0.06134969325153374
Robin Lehner,193,0,46,2.83,3.06,0.23,28,5,1,5000000,0.06134969325153374
Semyon Varlamov,188,0,23,2.91,3.02,0.11,31,4,1,5000000,0.06134969325153374
Ben Bishop,201,0,85,0.00,0.00,0.00,30,6,1,4916667,0.06032720245398773
Frederik Andersen,193,0,87,2.17,2.72,0.55,31,2,1,4500000,0.05521472392638037
Darcy Kuemper,196,0,161,2.54,2.84,0.30,30,2,1,4500000,0.05521472392638037
Mikko Koskinen,201,0,31,3.10,3.03,-0.07,30,3,1,4500000,0.05521472392638037
Jonathan Bernier,183,0,11,3.06,2.80,-0.26,32,2,1,4125000,0.05061349693251534
Ilya Sorokin,188,0,78,2.40,2.81,0.41,25,3,0,4000000,0.049079754601226995
Elvis Merzlikins,191,0,76,3.22,3.09,-0.13,26,2,0,4000000,0.049079754601226995
Carter Hart,188,0,48,3.16,3.00,-0.16,22,3,0,3979000,0.04882208588957055
Petr Mrázek,185,0,141,3.34,2.57,-0.77,29,3,1,3800000,0.046625766871165646
Cam Talbot,193,0,300,2.76,2.43,-0.34,32,3,1,3666667,0.044989779141104295
Thomas Greiss,188,0,94,3.66,3.09,-0.57,34,2,1,3600000,0.044171779141104296
Chris Driedger,193,0,76,2.96,2.78,-0.18,27,3,1,3500000,0.04294478527607362
Tristan Jarry,188,0,44,2.42,2.56,0.14,25,3,0,3500000,0.04294478527607362
Anton Khudobin,180,0,206,3.63,2.59,-1.04,34,3,1,3333333,0.04089979141104295
Alex Nedeljkovic,183,0,37,3.31,3.11,-0.20,25,2,0,3000000,0.03680981595092025
Jake Allen,188,0,34,3.30,3.37,0.07,30,2,1,2875000,0.0352760736196319
Mackenzie Blackwood,193,0,42,3.39,2.74,-0.65,23,3,0,2800000,0.0343558282208589
Joonas Korpisalo,191,0,62,4.15,3.36,-0.78,26,2,0,2800000,0.0343558282208589
Alexandar Georgiev,185,0,300,2.92,2.74,-0.18,24,2,0,2425000,0.029754601226993867
Laurent Brossoit,191,0,164,2.90,2.81,-0.09,28,2,1,2325000,0.02852760736196319
James Reimer,188,0,99,2.90,3.01,0.11,33,2,1,2250000,0.027607361963190184
Adin Hill,198,0,76,2.66,2.37,-0.29,25,2,0,2175000,0.026687116564417177
Ilya Samsonov,191,0,22,3.02,2.75,-0.28,24,1,0,2000000,0.024539877300613498
Martin Jones,193,0,300,3.42,3.10,-0.33,31,1,1,2000000,0.024539877300613498
Braden Holtby,188,0,93,2.78,2.74,-0.04,31,1,1,2000000,0.024539877300613498
Antti Raanta,183,0,300,2.45,2.76,0.31,32,2,1,2000000,0.024539877300613498
Pavel Francouz,183,1,300,2.54,2.58,0.03,30,2,1,2000000,0.024539877300613498
Jack Campbell,188,0,11,2.64,2.47,-0.17,28,2,1,1650000,0.020245398773006136
David Rittich,191,0,300,3.57,3.02,-0.55,28,1,1,1250000,0.015337423312883436
Casey DeSmith,183,0,300,2.79,2.73,-0.06,27,3,1,1250000,0.015337423312883436
Pheonix Copley,193,0,300,3.11,1.93,-1.17,27,3,1,1100000,0.013496932515337423
Tuukka Rask,191,0,21,4.28,2.32,-1.96,34,1,1,1000000,0.012269938650306749
Collin Delia,188,0,300,3.85,3.03,-0.82,25,3,0,1000000,0.012269938650306749
Anthony Stolarz,198,0,45,2.67,2.82,0.15,27,2,1,950000,0.011656441717791411
Anton Forsberg,191,0,188,2.82,3.10,0.27,28,1,1,900000,0.011042944785276074
Cal Petersen,185,1,129,2.89,2.68,-0.22,24,3,0,858333,0.010531693251533742
Malcolm Subban,188,0,24,4.84,3.13,-1.72,26,2,1,850000,0.010429447852760737
Keith Kinkaid,191,0,300,2.00,2.29,0.30,30,2,1,825000,0.010122699386503068
Magnus Hellberg,196,0,38,3.00,2.16,-0.84,30,1,1,800000,0.0098159509202454
Kevin Lankinen,188,0,300,3.50,2.67,-0.83,25,2,0,800000,0.0098159509202454
Alex Stalock,183,0,112,7.81,3.59,-4.22,31,3,1,785000,0.009631901840490797
Harri Säteri,185,0,106,4.22,3.76,-0.46,31,1,1,750000,0.009202453987730062
Eric Comrie,185,0,59,2.58,3.15,0.58,25,1,1,750000,0.009202453987730062
Ville Husso,188,0,94,2.56,2.91,0.34,25,2,0,750000,0.009202453987730062
Kaapo Kähkönen,188,0,109,2.87,2.94,0.07,23,2,0,725000,0.008895705521472393
Vitek Vanecek,185,0,39,2.67,2.59,-0.08,23,3,0,716667,0.008793460122699387
