Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Noel Acciari,30,C,20,3,5,8,2,11,0.6,3,0,0,1,5,0,0,32,9.4,240,719,16,48,84,82,50.6
Calen Addison,21,D,15,2,2,4,-4,2,0.3,2,0,0,0,2,0,0,17,11.8,207,827,6,12,0,0,0.0
Sebastian Aho,24,F,79,37,44,81,18,38,9.5,23,13,1,9,27,15,2,221,16.7,1497,1137,23,76,555,504,52.4
Michael Amadio,25,C,56,11,7,18,1,15,1.7,11,0,0,2,7,0,0,64,17.2,681,730,16,42,30,42,41.7
Josh Anderson,27,RW,69,19,13,32,-25,65,2.1,17,2,0,1,12,1,0,151,12.6,1189,1034,35,153,20,22,47.6
Michael Anderson,22,D,57,2,6,8,6,8,2.6,2,0,0,1,6,0,0,58,3.4,1147,1207,69,133,0,0,0.0
Lias Andersson,23,C,20,1,1,2,-7,12,-0.3,1,0,0,1,0,1,0,29,3.4,212,637,3,23,21,26,44.7
Rasmus Andersson,25,D,82,4,46,50,30,28,8.6,2,2,0,1,28,17,1,152,2.6,1859,1360,125,63,0,0,0.0
Mason Appleton,26,C,68,8,13,21,-1,30,1.2,8,0,0,3,13,0,0,98,8.2,1012,893,20,64,7,15,31.8
Joel Armia,28,RW,60,6,8,14,-15,14,0.1,4,1,1,0,6,2,0,103,5.8,823,823,27,104,3,14,17.6
Viktor Arvidsson,28,LW,66,20,29,49,1,22,5.2,16,4,0,3,25,4,0,227,8.8,1121,1019,45,23,12,21,36.4
Rasmus Asplund,24,F,80,8,19,27,-5,10,1.6,5,2,1,1,17,2,0,130,6.2,1142,857,14,30,26,35,42.6
Zach Aston-Reese,27,C,69,5,10,15,9,28,0.8,5,0,0,0,10,0,0,78,6.4,900,782,42,231,4,4,50.0
Andreas Athanasiou,27,C,28,11,6,17,7,4,2.4,11,0,0,3,5,1,0,71,15.5,427,914,10,11,13,7,65.0
Cam Atkinson,32,RW,73,23,27,50,-2,10,5.1,18,2,3,6,24,3,0,215,10.7,1332,1095,45,20,5,12,29.4
Ronald Attard,22,D,15,2,2,4,-2,8,0.7,2,0,0,0,2,0,0,16,12.5,249,996,17,24,0,0,0.0
Nicolas Aubé-Kubel,25,RW,74,11,12,23,11,47,2.3,11,0,0,2,12,0,0,87,12.6,726,589,18,140,3,9,25.0
Mikael Backlund,32,C,82,12,27,39,16,30,3.0,12,0,0,1,20,7,0,214,5.6,1404,1027,27,62,621,608,50.5
Nicklas Bäckström,34,C,47,6,25,31,-8,12,2.0,5,1,0,1,12,13,0,68,8.8,822,1049,16,16,301,348,46.4
Kevin Bahl,21,D,17,1,3,4,-6,10,0.3,1,0,0,0,3,0,0,16,6.3,268,945,15,28,0,0,0.0
Josh Bailey,32,C,74,14,30,44,-7,6,3.7,12,2,0,1,21,9,0,87,16.1,1250,1013,26,19,43,67,39.1
Rudolfs Balcers,24,LW,61,11,12,23,-3,20,2.0,11,0,0,1,11,0,1,98,11.2,917,902,43,115,8,12,40.0
Alexander Barabanov,27,F,70,10,29,39,-5,14,3.0,8,2,0,1,23,6,0,103,9.7,1203,1031,39,53,0,1,0.0
Ivan Barbashev,26,C,81,26,34,60,4,40,5.9,21,4,1,2,28,5,1,111,23.4,1332,986,28,160,131,197,39.9
Aleksander Barkov,26,C,67,39,49,88,36,18,10.6,23,12,4,5,34,14,1,214,18.2,1360,1218,42,50,713,539,56.9
Alex Barré-Boulet,24,F,16,3,3,6,0,4,0.6,3,0,0,0,2,1,0,16,18.8,176,660,3,10,6,9,40.0
Tyson Barrie,30,D,73,7,34,41,3,18,5.7,4,3,0,0,15,18,1,149,4.7,1384,1138,73,27,0,0,0.0
Morgan Barron,23,C,27,2,3,5,-4,8,0.1,2,0,0,0,3,0,0,33,6.1,265,588,8,49,30,24,55.6
Mathew Barzal,24,C,73,15,44,59,-15,18,4.9,14,1,0,1,25,19,0,161,9.3,1315,1081,17,36,234,271,46.3
Nathan Bastian,24,RW,72,12,6,18,-12,65,1.1,9,3,0,1,5,1,0,97,12.4,857,714,40,210,23,25,47.9
Drake Batherson,23,C,46,17,27,44,4,32,4.9,14,3,0,3,16,11,0,110,15.5,871,1136,15,89,18,25,41.9
Gavin Bayreuther,27,D,43,0,8,8,0,22,1.1,0,0,0,0,8,0,0,44,0.0,561,783,45,50,0,0,0.0
