Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Jay Beagle,36,RW,33,1,1,2,-20,27,-1.2,1,0,0,0,1,0,0,24,4.2,455,827,16,50,265,199,57.1
Jake Bean,23,D,67,7,18,25,-5,26,3.6,7,0,0,2,13,4,1,90,7.8,1378,1234,71,41,0,0,0.0
Ethan Bear,24,D,58,5,9,14,1,20,2.9,5,0,0,2,8,1,0,97,5.2,933,965,41,55,0,0,0.0
Nathan Beaulieu,29,D,24,0,4,4,-7,25,0.1,0,0,0,0,3,0,1,24,0.0,258,646,19,19,0,0,0.0
Anthony Beauvillier,24,LW,75,12,22,34,-10,12,2.4,7,5,0,1,16,6,0,154,7.8,1263,1010,20,39,4,6,40.0
Pierre-Édouard Bellemare,36,LW,80,9,11,20,24,19,1.7,8,0,1,1,11,0,0,72,12.5,1101,825,44,88,483,452,51.7
Kieffer Bellows,23,LW,45,6,13,19,-1,19,1.7,6,0,0,2,9,4,0,79,7.6,534,712,14,103,0,1,0.0
Emil Bemström,22,C,41,6,5,11,-1,4,0.8,6,0,0,1,5,0,0,62,9.7,431,631,6,36,2,2,50.0
Jamie Benn,32,LW,82,18,28,46,-13,88,3.7,14,3,1,2,20,8,0,182,9.9,1373,1005,60,143,492,399,55.2
Jordie Benn,34,D,39,1,7,8,1,10,0.9,1,0,0,0,7,0,0,37,2.7,584,899,41,51,0,0,0.0
Sam Bennett,25,C,71,28,21,49,27,74,5.8,23,5,0,7,16,4,1,241,11.6,1203,1017,27,119,411,466,46.9
Matt Benning,27,D,65,0,11,11,-24,39,0.2,0,0,0,0,11,0,0,61,0.0,1062,980,67,82,0,0,0.0
Simon Benoit,23,D,53,1,4,5,-5,22,1.2,1,0,0,0,4,0,0,45,2.2,747,846,39,168,0,0,0.0
Tyler Benson,23,LW,29,1,1,2,-5,18,-0.3,1,0,0,0,1,0,0,18,5.6,248,513,3,45,0,1,0.0
Patrice Bergeron,36,C,73,25,40,65,26,32,7.6,17,8,0,4,22,15,3,293,8.5,1326,1090,45,78,991,609,61.9
Tyler Bertuzzi,26,LW,68,30,32,62,-11,47,6.4,23,6,1,5,23,8,1,180,16.7,1351,1192,41,65,6,17,26.1
Anders Bjork,25,LW,58,5,3,8,-14,10,-0.3,5,0,0,0,3,0,0,51,9.8,698,722,16,11,1,4,20.0
Oliver Bjorkstrand,26,RW,80,28,29,57,-35,16,4.4,19,9,0,1,19,10,0,215,13.0,1436,1077,31,85,10,13,43.5
Tobias Björnfot,20,D,70,0,8,8,-12,6,1.1,0,0,0,0,8,0,0,53,0.0,1173,1006,58,61,0,0,0.0
Nick Bjugstad,29,C,57,7,6,13,-2,20,0.6,6,1,0,0,6,0,0,81,8.6,585,616,14,99,141,114,55.3
Colin Blackwell,28,C,58,10,10,20,0,14,1.8,8,0,2,1,10,0,0,77,13.0,692,716,24,91,83,86,49.1
Anton Blidh,26,LW,32,2,7,9,-3,24,0.4,2,0,0,0,7,0,0,28,7.1,343,644,17,82,0,3,0.0
Teddy Blueger,27,C,65,9,19,28,12,10,2.3,8,0,1,0,18,0,1,93,9.7,976,901,32,87,357,315,53.1
Brock Boeser,24,RW,71,23,23,46,-5,20,4.4,12,11,0,6,16,6,1,195,11.8,1321,1116,26,35,27,26,50.9
Zach Bogosian,31,D,48,3,5,8,2,53,1.8,3,0,0,1,5,0,0,60,5.0,737,922,34,114,0,0,0.0
Matt Boldy,20,LW,47,15,24,39,17,10,4.3,12,3,0,2,17,7,0,113,13.3,723,923,24,23,9,15,37.5
Nick Bonino,33,C,80,16,10,26,-25,18,1.4,12,3,1,0,6,4,0,137,11.7,1336,1002,102,34,475,450,51.4
Adam Boqvist,21,D,52,11,11,22,-11,12,2.9,8,3,0,1,8,3,0,64,17.2,886,1023,47,26,0,0,0.0
Jesper Boqvist,23,C,56,10,13,23,-9,10,1.7,10,0,0,1,12,1,0,74,13.5,735,788,16,31,168,282,37.3
William Borgen,25,D,36,2,6,8,1,28,1.6,2,0,0,0,6,0,0,49,4.1,550,917,33,89,0,0,0.0
Henrik Borgström,24,C,52,4,3,7,-14,22,-0.2,4,0,0,0,2,1,0,41,9.8,547,631,19,26,82,122,40.2
Mark Borowiecki,32,D,57,0,4,4,-9,151,0.3,0,0,0,0,4,0,0,45,0.0,747,787,79,196,0,0,0.0
Robert Bortuzzo,32,D,73,1,5,6,-4,36,0.8,1,0,0,0,5,0,0,47,2.1,1003,824,98,135,0,0,0.0
Evan Bouchard,22,D,81,12,31,43,10,28,7.0,10,2,0,1,25,5,1,205,5.9,1604,1188,112,80,0,0,0.0
Travis Boyd,28,C,74,17,18,35,-10,34,2.7,15,2,0,2,16,2,0,88,19.3,1222,991,55,71,420,507,45.3
Brian Boyle,37,C,66,11,10,21,6,27,2.1,10,0,1,1,10,0,0,87,12.6,712,647,39,95,165,200,45.2
Tyler Bozak,35,C,50,3,9,12,-11,14,-0.1,2,0,1,1,7,1,1,46,6.5,609,730,21,20,175,212,45.2
Erik Brännström,22,D,53,0,14,14,-17,30,1.4,0,0,0,0,8,6,0,86,0.0,1048,1186,59,39,0,0,0.0
Derick Brassard,34,C,46,8,11,19,4,16,1.9,7,1,0,1,10,1,0,62,12.9,594,775,6,82,169,161,51.2
Jesper Bratt,23,W,76,26,47,73,0,16,7.4,23,3,0,6,32,15,0,197,13.2,1325,1046,30,26,0,3,0.0
Justin Braun,34,D,69,6,12,18,2,36,3.9,6,0,0,0,12,0,0,73,8.2,1349,1173,121,87,0,0,0.0
Philip Broberg,20,D,23,1,2,3,-8,8,0.0,1,0,0,0,2,0,0,29,3.4,310,808,10,10,0,0,0.0
T.J. Brodie,31,D,82,4,24,28,20,34,5.2,4,0,0,0,21,1,2,68,5.9,1748,1279,106,53,0,0,0.0
Jonas Brodin,28,D,73,5,25,30,9,18,4.0,4,1,0,1,18,6,1,126,4.0,1711,1406,126,42,0,0,0.0
Jonny Brodzinski,28,C,22,1,1,2,1,10,0.0,1,0,0,0,1,0,0,34,2.9,239,651,8,8,49,48,50.5
Adam Brooks,25,C,25,2,1,3,2,2,0.2,2,0,0,2,1,0,0,14,14.3,224,537,6,11,23,34,40.4
Connor Brown,28,RW,64,10,29,39,-15,10,2.4,9,0,1,0,17,9,3,121,8.3,1284,1203,37,14,48,85,36.1
Dustin Brown,37,RW,64,9,19,28,-3,20,2.1,8,1,0,0,17,2,0,146,6.2,943,884,20,88,2,8,20.0
Josh Brown,28,D,52,0,6,6,-7,37,1.0,0,0,0,0,6,0,0,45,0.0,739,853,62,118,0,0,0.0
Logan Brown,23,C,39,4,7,11,-3,8,0.6,4,0,0,0,6,1,0,34,11.8,397,611,13,22,66,102,39.3
Patrick Brown,29,C,44,4,5,9,-16,11,-0.1,4,0,0,0,5,0,0,51,7.8,547,746,36,100,242,172,58.5
Jacob Bryson,24,D,73,1,9,10,-9,12,2.0,0,1,0,0,3,6,0,43,2.3,1338,1100,73,55,0,0,0.0
Pavel Buchnevich,26,LW,73,30,46,76,29,34,8.7,20,8,2,3,33,11,2,199,15.1,1336,1098,15,57,13,26,33.3
Connor Bunnaman,23,F,15,0,0,0,-7,4,-0.5,0,0,0,0,0,0,0,10,0.0,150,601,2,17,57,50,53.3
Michael Bunting,26,LW,79,23,40,63,27,80,6.9,21,2,0,2,37,3,0,175,13.1,1228,933,21,85,8,8,50.0
André Burakovsky,26,LW,80,22,39,61,12,18,5.9,18,4,0,5,32,7,0,149,14.8,1301,976,34,49,8,12,40.0
Brent Burns,36,D,82,10,44,54,-15,42,8.5,6,4,0,0,29,14,1,203,4.9,2144,1569,150,55,0,1,0.0
Kyle Burroughs,26,D,42,1,4,5,-3,39,0.9,1,0,0,0,4,0,0,39,2.6,543,776,59,122,0,0,0.0
Will Butcher,27,D,37,2,6,8,-10,0,0.9,2,0,0,0,4,2,0,35,5.7,610,989,32,11,0,0,0.0
Quinton Byfield,19,C,40,5,5,10,-7,20,0.5,5,0,0,1,4,1,0,39,12.8,486,729,11,20,124,149,45.4
Bowen Byram,20,D,30,5,12,17,7,12,2.9,4,1,0,2,12,0,0,49,10.2,564,1128,26,53,0,0,0.0
Paul Byron,32,LW,27,4,3,7,-8,2,0.2,4,0,0,2,3,0,0,33,12.1,340,756,7,66,33,36,47.8
Drake Caggiula,27,LW,18,2,3,5,-4,4,0.2,2,0,0,1,2,1,0,23,8.7,263,878,7,17,1,3,25.0
Kyle Capobianco,24,D,45,2,7,9,-12,38,1.0,1,1,0,1,6,1,0,40,5.0,720,960,46,43,0,0,0.0
Michael Carcone,25,F,21,4,2,6,-8,14,0.3,4,0,0,0,2,0,0,36,11.1,259,739,7,31,0,7,0.0
Brandon Carlo,25,D,79,6,9,15,2,31,3.9,5,0,1,0,8,1,0,125,4.8,1557,1182,104,143,0,0,0.0
John Carlson,32,D,78,17,54,71,13,20,11.0,10,7,0,2,33,18,3,195,8.7,1857,1429,112,73,0,0,0.0
Gabriel Carlsson,25,D,38,2,7,9,6,10,1.8,2,0,0,0,7,0,0,18,11.1,466,736,33,27,0,0,0.0
Lucas Carlsson,24,D,40,3,6,9,3,10,1.3,3,0,0,0,6,0,0,41,7.3,508,763,29,39,0,0,0.0
Ryan Carpenter,31,C,67,3,9,12,-11,36,-0.2,3,0,0,2,8,1,0,67,4.5,843,755,44,136,200,188,51.5
Sam Carrick,29,C,64,11,8,19,-12,85,1.4,11,0,0,0,8,0,0,80,13.8,734,688,21,122,204,209,49.4
Alexandre Carrier,25,D,77,3,27,30,26,50,6.4,2,1,0,0,23,3,1,95,3.2,1616,1259,124,95,0,1,0.0
William Carrier,27,LW,63,9,11,20,7,34,1.8,9,0,0,0,11,0,0,120,7.5,732,697,24,159,4,4,50.0
Jeff Carter,37,C,76,19,26,45,-8,38,3.6,15,3,1,2,23,3,0,200,9.5,1343,1060,50,99,648,489,57.0
Noah Cates,22,LW,16,5,4,9,4,4,1.2,4,1,0,1,4,0,0,23,21.7,212,795,6,21,0,7,0.0
Cole Caufield,21,RW,67,23,20,43,-24,10,3.7,18,5,0,3,12,8,0,188,12.2,1118,1001,7,18,5,5,50.0
Cody Ceci,28,D,78,5,23,28,8,14,4.7,5,0,0,0,20,0,3,102,4.9,1630,1254,121,117,0,0,0.0
Erik Černák,24,D,55,1,12,13,7,46,2.6,1,0,0,0,12,0,0,86,1.2,1053,1149,73,165,0,0,0.0
Thomas Chabot,25,D,59,7,31,38,-3,26,6.1,6,1,0,1,19,12,0,173,4.0,1545,1572,93,73,0,0,0.0
Zdeno Chára,44,D,72,2,12,14,8,85,3.9,2,0,0,0,12,0,0,81,2.5,1349,1124,90,125,0,0,0.0
Jalen Chatfield,25,D,16,0,3,3,1,8,0.6,0,0,0,0,3,0,0,25,0.0,237,887,10,32,0,0,0.0
Ben Chiarot,30,D,74,9,17,26,-14,48,3.3,7,2,0,1,15,1,1,143,6.3,1691,1371,130,157,0,0,0.0
Alex Chiasson,31,RW,67,13,9,22,4,24,2.3,7,6,0,2,5,4,0,98,13.3,779,697,18,68,10,13,43.5
Yegor Chinakhov,20,RW,62,7,7,14,-27,16,-0.3,6,1,0,1,7,0,0,98,7.1,775,750,16,50,0,6,0.0
Sasha Chmelevski,22,C,19,0,8,8,2,4,0.5,0,0,0,0,8,0,0,31,0.0,251,791,4,20,31,48,39.2
Jakob Chychrun,23,D,47,7,14,21,-20,47,2.4,6,1,0,2,14,0,0,141,5.0,1081,1380,66,51,0,0,0.0
Filip Chytil,22,C,67,8,14,22,-1,14,1.5,8,0,0,1,13,1,0,135,5.9,883,791,27,24,135,176,43.4
Anthony Cirelli,24,C,76,17,26,43,15,70,3.9,13,3,1,4,21,5,0,146,11.6,1392,1099,67,75,441,507,46.5
Casey Cizikas,30,C,74,10,6,16,-3,48,1.0,9,0,1,3,6,0,0,91,11.0,1017,825,43,138,534,427,55.6
Kale Clague,23,D,36,2,8,10,-10,20,1.0,2,0,0,0,5,3,0,26,7.7,603,1004,23,14,0,0,0.0
Kyle Clifford,31,LW,25,1,3,4,-5,31,-0.1,1,0,0,0,3,0,0,29,3.4,220,528,5,50,3,4,42.9
Connor Clifton,26,D,60,2,8,10,-2,32,2.1,2,0,0,0,8,0,0,80,2.5,964,964,62,156,0,0,0.0
Cal Clutterbuck,34,RW,59,6,9,15,-6,10,0.7,5,0,1,1,9,0,0,74,8.1,828,843,23,229,11,4,73.3
Dylan Coghlan,23,D,59,3,10,13,-5,18,1.8,1,2,0,1,8,2,0,108,2.8,838,852,61,62,0,0,0.0
Andrew Cogliano,34,LW,74,4,12,16,-18,20,0.0,3,0,1,0,11,0,1,75,5.3,938,760,31,104,8,13,38.1
Ian Cole,32,D,75,2,17,19,15,83,4.4,2,0,0,1,16,0,1,77,2.6,1286,1029,104,110,0,0,0.0
Blake Coleman,30,C,81,16,17,33,16,60,3.2,15,0,1,2,16,0,1,212,7.5,1200,889,44,163,2,17,10.5
Ross Colton,25,C,79,22,17,39,4,24,4.2,21,1,0,4,13,4,0,159,13.8,1011,768,36,153,303,278,52.2
J.T. Compher,26,LW,70,18,15,33,6,25,2.9,13,4,1,0,13,2,0,102,17.6,1143,979,55,31,338,319,51.4
Max Comtois,23,LW,52,6,10,16,-17,46,0.4,6,0,0,0,8,2,0,72,8.3,735,848,17,111,22,24,47.8
Kevin Connauton,31,D,39,1,2,3,-3,4,0.5,1,0,0,0,2,0,0,30,3.3,510,785,32,74,0,0,0.0
Kyle Connor,25,LW,79,47,46,93,-3,4,10.6,36,8,3,9,26,20,0,317,14.8,1720,1307,23,32,1,6,14.3
Andrew Copp,27,C,72,21,32,53,15,16,5.4,16,3,2,5,24,7,1,183,11.5,1381,1151,41,45,377,332,53.2
Nick Cousins,28,C,68,9,13,22,-8,31,1.2,6,3,0,1,12,1,0,103,8.7,848,748,28,66,23,26,46.9
Logan Couture,32,C,77,23,33,56,-11,18,5.4,16,5,2,3,20,12,1,199,11.6,1458,1136,58,92,621,654,48.7
Sean Couturier,29,C,29,6,11,17,-6,14,1.2,4,2,0,2,7,3,1,79,7.6,591,1224,18,22,238,190,55.6
Charlie Coyle,29,C,82,16,28,44,-6,32,3.4,13,3,0,5,21,6,1,131,12.2,1427,1044,39,84,540,560,49.1
Dylan Cozens,20,C,79,13,25,38,-19,55,2.4,11,2,0,1,17,7,1,160,8.1,1256,954,22,35,383,457,45.6
Sidney Crosby,34,C,69,31,53,84,19,32,9.4,23,8,0,9,31,22,0,208,14.9,1378,1198,37,50,760,690,52.4
Lawson Crouse,24,LW,65,20,14,34,-9,52,3.0,16,3,1,4,10,4,0,131,15.3,1133,1046,36,181,16,32,33.3
Austin Czarnik,29,C,17,2,5,7,5,0,0.8,2,0,0,0,5,0,0,14,14.3,185,654,7,3,23,36,39.0
Kirby Dach,21,C,70,9,17,26,-18,43,0.9,7,2,0,0,12,4,1,116,7.8,1263,1083,44,49,179,366,32.8
Evgenii Dadonov,32,RW,78,20,23,43,4,18,4.2,15,5,0,4,20,3,0,177,11.3,1234,949,25,65,1,4,20.0
Jonathan Dahlén,24,C,61,12,10,22,-25,12,1.3,9,3,0,2,6,4,0,105,11.4,841,828,34,16,0,1,0.0
Rasmus Dahlin,21,D,80,13,40,53,-22,68,7.1,10,3,0,3,21,18,1,170,7.6,1921,1441,91,121,0,0,0.0
Phillip Danault,28,C,79,27,24,51,14,38,6.1,25,2,0,5,19,2,3,194,13.9,1432,1088,49,74,676,586,53.6
Justin Danforth,28,RW,45,10,4,14,-5,10,1.1,10,0,0,1,3,1,0,72,13.9,566,754,22,85,107,92,53.8
Laurent Dauphin,26,C,38,4,8,12,-10,25,0.4,4,0,0,0,8,0,0,50,8.0,505,798,27,31,104,143,42.1
Calvin de Haan,30,D,69,4,4,8,-21,33,1.4,4,0,0,0,4,0,0,107,3.7,1308,1137,172,146,0,0,0.0
Anthony DeAngelo,26,D,64,10,41,51,30,56,9.3,8,2,0,2,23,18,0,151,6.6,1268,1189,59,41,0,0,0.0
Alex DeBrincat,24,RW,82,41,37,78,-13,19,8.4,27,14,0,6,23,14,0,270,15.2,1710,1251,35,101,24,40,37.5
Jake DeBrusk,25,LW,77,25,17,42,6,10,4.9,22,3,0,8,16,1,0,184,13.6,1158,902,25,62,10,12,45.5
Danny DeKeyser,31,D,59,0,11,11,-8,26,1.5,0,0,0,0,11,0,0,57,0.0,1092,1110,102,49,0,0,0.0
Michael Del Zotto,31,D,26,3,10,13,-4,4,1.9,2,1,0,0,9,1,0,35,8.6,475,1095,34,42,0,0,0.0
Dylan DeMelo,28,D,76,1,12,13,10,28,3.1,0,0,1,0,11,0,1,78,1.3,1406,1110,108,113,0,0,0.0
Travis Dermott,25,D,60,2,5,7,9,14,2.1,2,0,0,1,5,0,0,46,4.3,920,920,46,55,0,0,0.0
Nicolas Deslauriers,30,LW,81,8,5,13,-11,113,0.2,7,0,1,1,5,0,0,90,8.9,921,682,49,263,1,3,25.0
Connor Dewar,22,C,35,2,4,6,-4,25,-0.1,2,0,0,1,3,1,0,44,4.5,346,594,22,48,62,71,46.6
Jason Dickinson,26,C,62,5,6,11,-1,19,0.2,5,0,0,0,6,0,0,66,7.6,809,783,43,101,123,166,42.6
Brenden Dillon,31,D,79,3,17,20,16,67,4.5,3,0,0,0,17,0,0,85,3.5,1488,1130,108,212,0,0,0.0
Cam Dineen,23,D,34,0,7,7,-16,4,0.1,0,0,0,0,7,0,0,52,0.0,532,938,44,22,0,0,0.0
Noah Dobson,22,D,80,13,38,51,-3,18,8.3,10,3,0,4,19,19,0,190,6.8,1717,1288,154,78,0,0,0.0
Max Domi,26,LW,72,11,28,39,10,55,3.6,11,0,0,1,24,4,0,104,10.6,939,782,9,24,39,47,45.3
Ryan Donato,25,C,74,16,15,31,-13,40,2.6,15,1,0,2,15,0,0,159,10.1,1021,828,17,70,15,23,39.5
Joonas Donskoi,29,RW,75,2,20,22,-10,14,0.4,2,0,0,0,16,3,1,89,2.2,1113,890,31,36,5,9,35.7
Drew Doughty,32,D,39,7,24,31,4,30,5.1,3,4,0,1,15,9,0,99,7.1,1004,1544,53,60,0,0,0.0
Nic Dowd,31,C,64,10,14,24,10,44,2.2,9,0,1,0,13,1,0,90,11.1,913,856,53,139,506,437,53.7
Justin Dowling,31,C,22,2,2,4,-3,2,0.1,2,0,0,0,2,0,0,17,11.8,211,575,9,10,21,19,52.5
Leon Draisaitl,26,C,80,55,55,110,17,40,13.3,30,24,1,11,38,17,0,278,19.8,1788,1341,25,53,887,774,53.4
Jonathan Drouin,26,LW,34,6,14,20,-9,23,1.3,6,0,0,0,10,4,0,62,9.7,581,1026,11,27,31,35,47.0
Jamie Drysdale,19,D,81,4,28,32,-26,16,3.6,4,0,0,1,16,12,0,137,2.9,1610,1193,72,40,0,0,0.0
Dillon Dubé,23,C,79,18,14,32,1,20,3.1,15,2,1,1,11,1,2,143,12.6,1014,770,15,87,92,102,47.4
Pierre-Luc Dubois,23,LW,81,28,32,60,-6,106,5.8,13,15,0,6,28,4,0,233,12.0,1533,1135,43,112,532,603,46.9
Matt Duchene,31,C,78,43,43,86,6,38,10.0,27,16,0,6,30,13,0,228,18.9,1483,1141,28,31,119,101,54.1
Anthony Duclair,26,LW,74,31,27,58,19,30,6.9,22,9,0,5,15,12,0,167,18.6,1110,900,16,38,1,1,50.0
Brandon Duhaime,24,RW,80,6,11,17,-2,122,0.4,6,0,0,1,11,0,0,91,6.6,817,613,18,201,8,20,28.6
Mathew Dumba,27,D,57,7,20,27,9,47,3.9,6,1,0,1,16,4,0,116,6.0,1317,1386,84,114,0,0,0.0
Brian Dumoulin,30,D,76,3,15,18,24,24,5.2,3,0,0,0,15,0,0,91,3.3,1658,1309,139,88,0,0,0.0
Vince Dunn,25,D,73,7,28,35,-21,63,4.1,5,2,0,0,19,9,0,121,5.8,1509,1241,82,76,0,0,0.0
Sean Durzi,23,D,64,3,24,27,-9,55,3.6,1,2,0,0,10,13,1,119,2.5,1254,1176,121,74,0,0,0.0
Christian Dvorak,25,C,56,11,22,33,-19,24,2.0,10,1,0,1,18,4,0,87,12.6,973,1042,52,32,548,419,56.7
Ryan Dzingel,29,C,32,5,3,8,-5,35,0.4,5,0,0,1,3,0,0,32,15.6,439,823,9,20,65,88,42.5
Cody Eakin,30,C,69,4,8,12,-15,22,-0.4,3,1,0,1,6,1,1,74,5.4,938,815,29,33,482,378,56.0
Jordan Eberle,31,RW,79,21,23,44,-28,14,3.2,17,4,0,2,18,5,0,164,12.8,1418,1077,40,48,6,14,30.0
Alexander Edler,35,D,41,3,16,19,18,34,4.3,3,0,0,1,15,0,1,54,5.6,757,1108,70,56,0,0,0.0
Joel Edmundson,28,D,24,3,3,6,-1,35,1.2,3,0,0,0,3,0,0,32,9.4,470,1175,45,61,0,0,0.0
Nikolaj Ehlers,25,LW,62,28,27,55,18,20,6.8,24,4,0,2,22,5,0,245,11.4,1120,1084,27,32,2,1,66.7
Jack Eichel,25,C,34,14,11,25,3,10,2.8,11,3,0,2,6,5,0,133,10.5,659,1164,35,45,184,195,48.5
Aaron Ekblad,25,D,61,15,42,57,38,26,9.5,12,3,0,2,22,17,3,180,8.3,1520,1495,69,62,0,0,0.0
Mattias Ekholm,31,D,76,6,25,31,14,44,6.0,6,0,0,1,20,4,1,145,4.1,1784,1409,96,79,0,0,0.0
Oliver Ekman-Larsson,30,D,79,5,24,29,5,52,5.5,2,3,0,1,17,7,0,168,3.0,1763,1339,79,105,0,0,0.0
Lars Eller,32,C,72,13,18,31,-4,40,2.2,13,0,0,2,16,2,0,116,11.2,1161,967,36,95,510,521,49.5
Pierre Engvall,25,LW,78,15,20,35,13,30,3.3,12,1,2,3,17,2,1,154,9.7,1036,797,12,66,29,40,42.0
Tyler Ennis,32,C,57,8,16,24,-6,16,1.9,7,1,0,1,13,3,0,89,9.0,715,753,24,70,20,9,69.0
Mackenzie Entwistle,22,RW,55,5,7,12,-16,23,0.2,4,0,1,0,7,0,0,34,14.7,563,615,22,129,18,27,40.0
Loui Eriksson,36,LW,73,3,16,19,-18,6,-0.1,2,0,1,0,15,1,0,81,3.7,943,775,23,17,20,16,55.6
Joel Eriksson Ek,25,C,77,26,23,49,16,28,4.8,14,12,0,3,18,5,0,223,11.7,1431,1115,44,138,697,768,47.6
Adam Erne,26,LW,79,6,13,19,-22,34,-0.1,6,0,0,1,13,0,0,108,5.6,1057,803,43,161,34,31,52.3
Jake Evans,25,C,72,13,16,29,-5,22,2.1,13,0,0,0,15,0,1,124,10.5,1123,936,37,88,461,465,49.8
Robby Fabbri,26,C,56,17,13,30,-23,35,2.2,11,6,0,1,11,2,0,123,13.8,970,1040,19,86,54,55,49.5
Dante Fabbro,23,D,66,3,21,24,13,24,4.5,3,0,0,0,21,0,0,88,3.4,1257,1143,105,69,0,0,0.0
Radek Faksa,28,C,77,5,14,19,-20,52,-0.2,3,1,1,1,13,0,1,89,5.6,1214,946,68,129,383,312,55.1
Joel Farabee,21,LW,63,17,17,34,-11,50,2.9,15,1,1,1,15,2,0,119,14.3,1108,1055,38,73,41,102,28.7
Jesper Fast,30,RW,82,14,20,34,24,4,3.5,13,1,0,1,18,1,1,97,14.4,1214,889,36,109,12,17,41.4
