Player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA
Jake Allen,31,35,35,9,20,4,107,1123,1016,0.905,3.3,2,6.0,1948,18,0.514,8,102.0,-2.55
Frederik Andersen,32,52,51,35,14,3,111,1431,1320,0.922,2.17,4,10.2,3071,30,0.588,5,83.0,22.09
Craig Anderson,40,31,31,17,12,2,97,945,848,0.897,3.12,0,4.3,1867,14,0.452,7,110.0,-9.11
Jonathan Bernier,33,10,8,4,4,1,26,264,238,0.902,3.06,0,1.3,510,3,0.375,1,,
Jordan Binnington,28,37,37,18,14,4,112,1135,1023,0.901,3.13,2,5.6,2145,16,0.432,7,106.0,-6.44
Mackenzie Blackwood,25,25,24,9,10,4,79,731,652,0.892,3.39,2,2.9,1399,9,0.375,2,116.0,-11.01
Sergei Bobrovsky,33,54,53,39,7,3,137,1566,1429,0.913,2.67,3,9.6,3082,33,0.623,6,94.0,8.65
Laurent Brossoit,28,24,21,10,9,3,62,588,526,0.895,2.9,1,2.5,1281,10,0.476,4,113.0,-7.31
Jack Campbell,30,49,47,31,9,6,123,1430,1307,0.914,2.64,5,8.9,2795,28,0.596,10,92.0,10.0
Eric Comrie,26,19,16,10,5,1,44,550,506,0.92,2.58,1,3.8,1025,10,0.625,1,86.0,7.15
Nico Daws,21,25,23,10,11,1,66,617,551,0.893,3.11,0,2.5,1272,7,0.304,7,115.0,-8.62
Aaron Dell,32,12,9,1,8,1,38,354,316,0.893,4.03,0,1.4,565,2,0.222,2,115.0,-5.08
Thatcher Demko,26,64,61,33,22,7,168,1967,1799,0.915,2.72,1,12.4,3701,35,0.574,7,92.0,14.94
Casey DeSmith,30,26,24,11,6,5,66,769,703,0.914,2.79,3,4.8,1418,12,0.5,4,92.0,5.52
Chris Driedger,27,27,24,9,14,1,73,722,649,0.899,2.96,1,3.4,1478,9,0.375,3,109.0,-5.85
Brian Elliott,36,19,17,11,4,3,43,489,446,0.912,2.43,1,3.0,1063,7,0.412,2,95.0,2.48
Marc-André Fleury,37,56,56,28,23,5,159,1732,1573,0.908,2.9,4,9.8,3285,28,0.5,15,99.0,2.09
Anton Forsberg,29,46,44,22,17,4,121,1457,1336,0.917,2.82,1,9.6,2571,29,0.659,5,89.0,14.51
Pavel Francouz,31,21,18,15,5,1,51,608,557,0.916,2.55,2,3.9,1200,6,0.333,1,90.0,5.55
Alexandar Georgiev,25,33,28,15,10,2,85,832,747,0.898,2.92,2,3.8,1746,13,0.464,9,110.0,-7.62
John Gibson,28,56,56,18,26,11,172,1789,1617,0.904,3.19,1,9.3,3236,28,0.5,11,103.0,-5.61
Jon Gillies,28,20,15,3,10,2,62,550,488,0.887,3.7,0,1.9,1005,6,0.4,3,121.0,-10.85
Thomas Greiss,36,31,28,10,15,1,92,842,750,0.891,3.66,0,3.3,1508,14,0.5,7,117.0,-13.69
