Player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA
Philipp Grubauer,30,55,54,18,31,5,164,1479,1315,0.889,3.16,2,5.5,3111,18,0.333,10,119.0,-26.44
Filip Gustavsson,23,18,16,5,12,1,62,574,512,0.892,3.55,0,2.3,1048,7,0.438,5,116.0,-8.61
Jaroslav Halák,36,17,14,4,7,2,39,400,361,0.903,2.94,0,2.0,797,8,0.571,2,105.0,-1.8
Andrew Hammond,33,11,10,4,5,1,38,314,276,0.879,3.89,0,0.8,586,4,0.4,4,,
Carter Hart,23,45,44,13,24,7,137,1441,1304,0.905,3.16,1,7.7,2603,21,0.477,6,102.0,-2.98
Connor Hellebuyck,28,66,66,29,27,10,193,2155,1962,0.91,2.97,4,12.7,3904,39,0.591,10,96.0,7.43
Adin Hill,25,25,22,10,11,1,61,648,587,0.906,2.66,2,3.5,1376,12,0.545,4,101.0,-0.73
Braden Holtby,32,24,22,10,10,1,61,700,639,0.913,2.78,0,4.3,1318,13,0.591,3,94.0,4.1
Ville Husso,26,40,38,25,7,6,100,1236,1136,0.919,2.56,2,8.4,2341,23,0.605,3,87.0,14.96
Tristan Jarry,26,58,56,34,18,6,138,1711,1573,0.919,2.42,4,11.6,3415,35,0.625,6,87.0,21.13
Jonas Johansson,26,11,8,3,4,1,39,264,225,0.852,4.81,0,0.0,486,3,0.375,4,,
Martin Jones,32,35,33,12,18,3,114,1141,1027,0.9,3.42,0,5.5,1997,15,0.455,3,107.0,-7.88
Kaapo Kähkönen,25,36,33,14,14,4,93,1056,963,0.912,2.87,0,6.4,1947,22,0.667,6,95.0,5.21
Erik Källgren,25,14,12,8,4,1,43,385,342,0.888,3.31,1,1.4,779,5,0.417,3,120.0,-7.19
Anton Khudobin,35,9,7,3,4,1,28,231,203,0.879,3.63,0,0.6,462,3,0.429,1,,
Spencer Knight,20,32,27,19,9,3,81,876,795,0.908,2.79,2,4.9,1740,14,0.519,6,99.0,0.47
Joonas Korpisalo,27,22,17,7,11,0,78,634,556,0.877,4.15,0,1.6,1128,5,0.294,6,132.0,-19.03
Mikko Koskinen,33,45,43,27,12,4,136,1397,1261,0.903,3.1,1,7.1,2629,19,0.442,7,105.0,-6.07
Darcy Kuemper,31,57,57,37,12,4,138,1754,1616,0.921,2.54,5,12.3,3259,32,0.561,7,85.0,25.13
Kevin Lankinen,26,32,29,8,15,6,106,973,867,0.891,3.5,0,3.8,1816,12,0.414,6,117.0,-15.51
Robin Lehner,30,44,44,23,17,2,120,1288,1168,0.907,2.83,1,7.1,2547,20,0.455,7,100.0,-0.21
Ukko-Pekka Luukkonen,22,9,9,2,5,2,23,277,254,0.917,2.74,0,1.8,503,5,0.556,1,,
Jacob Markström,32,63,63,37,15,9,137,1754,1617,0.922,2.22,9,12.4,3696,38,0.603,6,84.0,26.13
Elvis Merzļikins,27,59,56,27,23,7,178,1920,1742,0.907,3.22,2,10.7,3320,27,0.482,5,100.0,0.57
Sam Montembeault,25,38,30,8,18,6,122,1124,1002,0.891,3.77,1,4.4,1943,11,0.367,7,117.0,-17.46
Petr Mrázek,29,20,18,12,6,0,58,520,462,0.888,3.34,0,1.9,1042,6,0.333,4,120.0,-9.64
Matt Murray,27,20,20,5,12,2,60,640,580,0.906,3.05,1,3.5,1182,12,0.6,3,101.0,-0.48
Alex Nedeljkovic,26,59,52,20,24,9,178,1796,1618,0.901,3.31,4,8.8,3231,28,0.538,10,107.0,-10.96
Jake Oettinger,23,48,46,30,15,1,114,1331,1217,0.914,2.53,1,8.4,2708,27,0.587,5,92.0,9.79
Calvin Petersen,27,37,35,20,14,2,105,1002,897,0.895,2.89,3,4.3,2177,20,0.571,7,113.0,-11.81
Cayden Primeau,22,12,9,1,7,1,40,302,262,0.868,4.62,0,0.5,519,3,0.333,6,,
Jonathan Quick,36,46,46,23,13,9,116,1284,1168,0.91,2.59,2,7.5,2686,24,0.522,7,97.0,3.42
Antti Raanta,32,28,26,15,5,4,62,706,644,0.912,2.45,2,4.3,1517,15,0.577,1,94.0,3.66
James Reimer,33,48,46,19,17,10,129,1450,1321,0.911,2.9,1,8.6,2673,30,0.652,9,96.0,5.86
David Rittich,29,17,12,6,3,4,49,431,382,0.886,3.57,0,1.5,823,4,0.333,1,122.0,-8.91
Ilya Samsonov,24,44,39,23,12,5,119,1145,1026,0.896,3.02,3,5.1,2361,13,0.333,8,112.0,-12.51
Juuse Saros,26,67,67,38,25,3,173,2107,1934,0.918,2.64,4,14.0,3932,43,0.642,8,88.0,22.96
Igor Shesterkin,26,53,52,36,13,4,106,1622,1516,0.935,2.07,6,13.6,3071,38,0.731,4,70.0,44.86
Stuart Skinner,23,13,12,6,6,0,32,367,335,0.913,2.62,1,2.3,734,6,0.5,2,94.0,2.13
Mike Smith,39,28,27,16,9,2,74,874,800,0.915,2.81,2,5.6,1580,15,0.556,3,91.0,7.29
Ilya Sorokin,26,52,52,26,18,8,123,1643,1520,0.925,2.4,7,12.1,3072,37,0.712,7,80.0,29.81
Anthony Stolarz,28,28,23,12,8,3,67,809,742,0.917,2.67,3,5.3,1506,15,0.652,2,89.0,8.24
Jeremy Swayman,23,41,39,23,14,3,96,1111,1015,0.914,2.41,3,6.9,2390,24,0.615,5,93.0,7.33
Cam Talbot,34,49,48,32,12,4,132,1488,1356,0.911,2.76,3,8.9,2864,28,0.583,7,95.0,6.39
Logan Thompson,24,19,17,10,5,3,49,569,520,0.914,2.68,1,3.6,1098,10,0.588,2,93.0,3.92
Dustin Tokarski,32,29,28,10,12,5,91,900,809,0.899,3.27,1,4.2,1671,13,0.464,7,109.0,-7.29
Linus Ullmark,28,41,39,26,10,2,95,1140,1045,0.917,2.45,1,7.4,2330,20,0.513,3,90.0,11.03
Vítek Vaněček,26,42,39,20,12,6,103,1117,1014,0.908,2.67,4,6.3,2317,18,0.462,5,99.0,0.89
Semyon Varlamov,33,31,29,10,17,2,87,978,891,0.911,2.91,2,5.8,1792,16,0.552,3,96.0,3.96
Andrei Vasilevskiy,27,63,63,39,18,5,156,1868,1712,0.916,2.49,2,12.2,3761,39,0.619,7,90.0,17.73
Karel Vejmelka,25,52,49,13,32,3,170,1669,1499,0.898,3.68,1,7.7,2773,22,0.449,14,110.0,-14.77
Daniel Vladař,24,23,19,13,6,2,57,608,551,0.906,2.75,2,3.3,1243,11,0.579,4,101.0,-0.45
Scott Wedgewood,29,37,32,13,15,6,110,1218,1108,0.91,3.14,1,7.1,2104,14,0.438,1,97.0,3.28
