Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Noel Acciari,31.0,C,77,14,9,23,-4,21,1.5,14,0,0,2,7,0,2,102,13.7,1102,859,81,244,337,289,53.8
Calen Addison,22.0,D,62,3,26,29,-17,22,3.2,3,0,0,1,8,18,0,77,3.9,999,967,38,19,0,0,0.0
Sebastian Aho,25.0,F,75,36,31,67,8,42,8.2,26,7,3,9,22,8,1,218,16.5,1462,1170,21,59,531,503,51.4
Nikita Alexandrov,22.0,C,28,3,4,7,0,8,0.5,3,0,0,0,4,0,0,28,10.7,275,589,13,28,53,97,35.3
Alexander Alexeyev,23.0,D,32,0,5,5,-2,4,0.9,0,0,0,0,5,0,0,28,0.0,527,987,48,33,0,0,0.0
Wade Allison,25.0,RW,60,9,6,15,-3,36,1.0,9,0,0,2,6,0,0,89,10.1,774,774,62,190,1,5,16.7
Michael Amadio,26.0,C,67,16,11,27,2,12,2.8,15,1,0,2,10,1,0,99,16.2,818,733,27,56,31,32,49.2
Nils Åman,22.0,C,68,4,12,16,-12,18,-0.1,4,0,0,1,10,0,2,50,8.0,864,762,41,44,181,293,38.2
Joey Anderson,24.0,RW,38,6,3,9,-8,0,0.5,6,0,0,1,3,0,0,41,14.6,445,702,17,36,0,2,0.0
Josh Anderson,28.0,RW,69,21,11,32,-8,72,2.8,16,4,1,5,11,0,0,164,12.8,1170,1018,49,139,19,25,43.2
Michael Anderson,23.0,D,77,5,15,20,20,40,5.2,4,1,0,1,14,0,1,90,5.6,1668,1300,129,162,0,0,0.0
Jaret Anderson-Dolan,23.0,C,46,7,5,12,-11,2,0.6,7,0,0,2,4,1,0,54,13.0,488,637,29,61,23,16,59.0
Rasmus Andersson,26.0,D,79,11,38,49,5,26,8.0,9,1,1,4,17,20,1,159,6.9,1903,1445,136,50,0,0,0.0
Mason Appleton,27.0,C,41,5,11,16,2,8,1.1,4,1,0,0,11,0,0,71,7.0,657,961,11,47,2,8,20.0
Josh Archibald,30.0,RW,62,6,6,12,6,43,0.9,6,0,0,0,6,0,0,71,8.5,619,599,28,195,1,3,25.0
Joel Armia,29.0,RW,43,7,7,14,-7,22,0.7,6,0,1,0,6,1,0,69,10.1,643,897,25,37,3,6,33.3
Viktor Arvidsson,29.0,LW,77,26,33,59,-4,24,5.7,15,10,1,2,18,15,0,228,11.4,1316,1026,48,25,27,40,40.3
Rasmus Asplund,25.0,F,46,2,6,8,-6,4,-0.1,1,0,1,0,6,0,0,54,3.7,504,658,11,23,22,33,40.0
Zach Aston-Reese,28.0,C,77,10,4,14,-6,25,0.7,10,0,0,2,4,0,0,89,11.2,841,656,43,163,7,7,50.0
Andreas Athanasiou,28.0,C,81,20,20,40,-29,34,3.1,17,3,0,4,16,4,0,175,11.4,1296,960,44,43,81,93,46.6
Nicolas Aubé-Kubel,26.0,RW,53,4,8,12,1,40,0.7,4,0,0,0,8,0,0,67,6.0,602,681,9,117,6,8,42.9
Mikael Backlund,33.0,C,82,19,37,56,24,36,5.6,13,5,1,2,27,7,3,260,7.3,1489,1090,31,97,705,681,50.9
Nicklas Bäckström,35.0,C,39,7,14,21,-25,14,0.8,1,6,0,0,9,5,0,59,11.9,658,1013,23,24,259,255,50.4
Kevin Bahl,22.0,D,42,2,6,8,4,35,1.6,2,0,0,0,6,0,0,27,7.4,589,841,38,64,0,0,0.0
Josh Bailey,33.0,C,64,8,17,25,3,2,1.9,8,0,0,2,14,3,0,72,11.1,969,908,31,11,40,56,41.7
Alexander Barabanov,28.0,F,68,15,32,47,-30,20,3.0,12,3,0,2,22,10,0,120,12.5,1228,1083,37,40,1,2,33.3
Ivan Barbashev,27.0,C,82,16,29,45,1,42,3.5,14,2,0,2,25,3,1,126,12.7,1374,1005,46,182,55,89,38.2
Aleksander Barkov,27.0,C,68,23,55,78,10,8,7.3,14,8,1,6,32,22,1,208,11.1,1443,1273,48,52,731,601,54.9
Tyson Barrie,31.0,D,85,13,42,55,-7,36,7.0,9,4,0,1,14,27,1,163,8.0,1681,1187,90,55,0,0,0.0
Justin Barron,21.0,D,39,4,11,15,-2,20,2.2,2,1,1,1,10,1,0,40,10.0,636,978,38,49,0,0,0.0
Morgan Barron,24.0,C,70,8,13,21,4,31,1.5,7,0,1,2,10,1,2,112,7.1,928,795,44,118,13,16,44.8
Mathew Barzal,25.0,C,58,14,37,51,5,22,4.9,10,4,0,5,22,15,0,139,10.1,1086,1123,34,25,104,188,35.6
Nathan Bastian,25.0,RW,43,6,9,15,7,31,1.3,6,0,0,1,9,0,0,62,9.7,535,746,38,99,11,26,29.7
Drake Batherson,24.0,C,82,22,40,62,-35,33,4.7,8,14,0,2,25,15,0,249,8.8,1526,1116,35,115,13,25,34.2
Gavin Bayreuther,28.0,D,51,2,12,14,-18,23,1.2,2,0,0,0,11,1,0,61,3.3,813,957,71,54,0,0,0.0
Ethan Bear,25.0,D,61,3,13,16,6,25,2.9,3,0,0,1,12,0,1,75,4.0,1130,1112,82,39,0,0,0.0
Nathan Beaulieu,30.0,D,52,0,4,4,-23,39,-0.5,0,0,0,0,4,0,0,33,0.0,792,914,80,49,0,0,0.0
Anthony Beauvillier,25.0,LW,82,18,22,40,-10,24,3.0,15,3,0,5,21,1,0,176,10.2,1334,976,30,78,3,10,23.1
Pierre-Édouard Bellemare,37.0,LW,73,4,9,13,-9,34,-0.1,4,0,0,0,7,0,2,51,7.8,824,677,48,67,322,294,52.3
Kieffer Bellows,24.0,LW,28,3,0,3,-8,6,-0.1,3,0,0,1,0,0,0,32,9.4,271,581,10,48,3,15,16.7
Alex Belzile,31.0,F,31,6,8,14,0,13,1.3,6,0,0,0,8,0,0,40,15.0,376,728,22,27,96,109,46.8
Emil Bemström,23.0,C,55,7,15,22,-11,6,1.4,4,3,0,0,12,3,0,95,7.4,666,727,21,16,7,10,41.2
Matthew Beniers,20.0,C,80,24,33,57,14,2,5.8,20,4,0,4,26,6,1,148,16.2,1367,1026,48,79,409,560,42.2
Jamie Benn,33.0,LW,82,33,45,78,23,34,9.5,18,13,2,4,27,17,1,190,17.4,1294,947,38,97,520,345,60.1
Sam Bennett,26.0,C,63,16,24,40,5,54,3.5,12,4,0,3,19,5,0,193,8.3,1097,1044,35,150,425,479,47.0
Matt Benning,28.0,D,77,1,23,24,-18,26,2.7,1,0,0,0,21,1,1,58,1.7,1523,1187,125,102,0,0,0.0
Simon Benoit,24.0,D,78,3,7,10,-29,60,0.7,3,0,0,0,7,0,0,82,3.7,1509,1161,128,216,0,0,0.0
Patrice Bergeron,37.0,C,78,27,31,58,35,22,7.0,16,9,2,7,21,10,0,249,10.8,1357,1044,54,66,1043,663,61.1
Jonatan Berggren,22.0,RW,67,15,13,28,-14,16,2.2,10,5,0,0,9,4,0,98,15.3,902,808,28,20,3,3,50.0
Tim Berni,22.0,D,59,1,2,3,-26,34,-0.3,1,0,0,0,2,0,0,58,1.7,1001,1018,74,122,0,0,0.0
Tyler Bertuzzi,27.0,LW,50,8,22,30,-8,29,2.0,4,4,0,0,16,6,0,107,7.5,824,989,22,54,4,13,23.5
Marcus Björk,25.0,D,33,3,8,11,-9,42,1.4,2,1,0,0,3,5,0,34,8.8,599,1089,47,45,0,0,0.0
Oliver Bjorkstrand,27.0,RW,81,20,25,45,-1,16,3.9,15,5,0,1,20,5,0,198,10.1,1266,937,38,63,18,41,30.5
Nick Bjugstad,30.0,C,78,17,12,29,13,34,2.6,15,1,1,1,12,0,0,145,11.7,1264,972,44,168,530,578,47.8
Colin Blackwell,29.0,C,53,2,8,10,-16,6,-0.2,2,0,0,0,7,0,1,53,3.8,625,708,17,49,18,18,50.0
Sammy Blais,26.0,LW,71,9,16,25,4,30,2.0,9,0,0,1,15,1,0,70,12.9,838,708,35,238,2,5,28.6
Nick Blankenburg,24.0,D,36,4,10,14,-16,16,1.4,4,0,0,1,6,4,0,50,8.0,690,1150,49,61,0,0,0.0
Teddy Blueger,28.0,C,63,4,12,16,-9,30,0.2,4,0,0,1,11,0,1,85,4.7,813,775,47,71,299,276,52.0
Brock Boeser,25.0,RW,74,18,37,55,-20,24,3.9,12,6,0,3,27,10,0,178,10.1,1276,1034,32,49,22,35,38.6
Zach Bogosian,32.0,D,46,1,4,5,-4,42,0.8,1,0,0,0,4,0,0,54,1.9,689,899,50,114,1,0,100.0
Matt Boldy,21.0,LW,81,31,32,63,1,39,6.9,23,8,0,5,14,18,0,255,12.2,1498,1110,26,65,77,64,54.6
Nick Bonino,34.0,C,62,10,9,19,-5,28,1.1,10,0,0,0,8,1,0,91,11.0,987,955,79,19,217,233,48.2
Adam Boqvist,22.0,D,46,5,19,24,-12,8,3.0,5,0,0,1,10,9,0,68,7.4,857,1118,47,23,0,0,0.0
Jesper Boqvist,24.0,C,70,10,11,21,8,2,1.8,10,0,0,2,11,0,0,67,14.9,812,696,20,50,66,133,33.2
William Borgen,26.0,D,82,3,17,20,11,47,3.6,3,0,0,1,17,0,0,76,3.9,1342,982,89,203,0,0,0.0
