PLAYER,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Carey Price,191,0,5,0.00,0.00,0.00,29,8,1,10500000,0.12727272727272726
Sergei Bobrovsky,188,0,300,3.07,3.13,0.06,30,7,1,10000000,0.12121212121212122
Andrei Vasilevskiy,191,0,19,2.57,3.07,0.50,25,8,0,9500000,0.11515151515151516
John Gibson,188,0,39,3.99,3.95,-0.04,25,8,0,6400000,0.07757575757575758
Matt Murray,193,0,83,3.01,3.04,0.03,26,4,0,6250000,0.07575757575757576
Connor Hellebuyck,193,0,130,2.56,3.02,0.46,25,6,0,6166666,0.07474746666666666
Jordan Binnington,185,0,88,3.39,3.18,-0.20,27,6,1,6000000,0.07272727272727272
Jacob Markström,198,0,31,2.98,2.90,-0.07,30,6,1,6000000,0.07272727272727272
Philipp Grubauer,185,0,112,3.05,3.12,0.07,29,6,1,5900000,0.07151515151515152
Jonathan Quick,185,0,72,3.50,3.05,-0.46,27,10,1,5800000,0.0703030303030303
Igor Shesterkin,188,0,118,2.52,2.93,0.41,25,4,0,5666667,0.06868687272727272
Elvis Merzlikins,191,0,76,4.23,3.22,-1.01,28,5,1,5400000,0.06545454545454546
Darcy Kuemper,196,0,161,2.79,3.07,0.27,32,5,1,5250000,0.06363636363636363
Jack Campbell,188,0,11,3.48,2.87,-0.61,30,5,1,5000000,0.06060606060606061
Cal Petersen,185,1,129,3.75,2.59,-1.17,27,3,1,5000000,0.06060606060606061
Juuse Saros,180,0,99,2.72,3.42,0.69,26,4,0,5000000,0.06060606060606061
Linus Ullmark,193,0,163,1.91,2.71,0.80,27,4,1,5000000,0.06060606060606061
Thatcher Demko,193,0,36,3.37,2.95,-0.42,25,5,0,5000000,0.06060606060606061
Robin Lehner,193,0,46,0.00,0.00,0.00,28,5,1,5000000,0.06060606060606061
Semyon Varlamov,188,0,23,2.70,3.03,0.33,31,4,1,5000000,0.06060606060606061
Ben Bishop,201,0,85,0.00,0.00,0.00,30,6,1,4916667,0.05959596363636364
Ville Husso,188,0,94,3.02,2.90,-0.11,27,3,1,4750000,0.05757575757575758
Frederik Andersen,193,0,87,2.42,2.45,0.03,31,2,1,4500000,0.05454545454545454
Jonathan Bernier,183,0,11,0.00,0.00,0.00,32,2,1,4125000,0.05
Jake Oettinger,193,0,26,2.47,2.79,0.31,23,3,0,4000000,0.048484848484848485
Ilya Sorokin,188,0,78,2.40,3.24,0.84,25,3,0,4000000,0.048484848484848485
Petr Mrázek,185,0,141,3.63,3.61,-0.02,29,3,1,3800000,0.04606060606060606
Cam Talbot,193,0,300,2.89,2.91,0.01,32,3,1,3666667,0.044444448484848485
Chris Driedger,193,0,76,0.00,0.00,0.00,27,3,1,3500000,0.04242424242424243
Tristan Jarry,188,0,44,2.93,2.92,-0.01,25,3,0,3500000,0.04242424242424243
Vitek Vanecek,185,0,39,2.52,2.71,0.19,26,3,0,3400000,0.041212121212121214
Alexandar Georgiev,185,0,300,2.54,2.83,0.30,26,3,0,3400000,0.041212121212121214
Anton Khudobin,180,0,206,6.00,3.38,-2.62,34,3,1,3333333,0.04040403636363636
Alex Nedeljkovic,183,0,37,3.56,3.11,-0.45,25,2,0,3000000,0.03636363636363636
Jake Allen,188,0,34,3.55,3.49,-0.06,30,2,1,2875000,0.03484848484848485
Mackenzie Blackwood,193,0,42,3.10,3.20,0.11,23,3,0,2800000,0.03393939393939394
Kaapo Kähkönen,188,0,109,3.83,3.19,-0.65,25,2,0,2750000,0.03333333333333333
Anton Forsberg,191,0,188,3.26,3.39,0.13,29,3,1,2750000,0.03333333333333333
Karel Vejmelka,191,1,145,3.38,3.56,0.17,26,3,0,2725000,0.03303030303030303
Laurent Brossoit,191,0,164,2.44,2.95,0.52,28,2,1,2325000,0.028181818181818183
James Reimer,188,0,99,3.30,3.22,-0.08,33,2,1,2250000,0.02727272727272727
Adin Hill,198,0,76,2.50,2.78,0.28,25,2,0,2175000,0.026363636363636363
Martin Jones,193,0,300,2.99,2.75,-0.25,32,1,1,2000000,0.024242424242424242
Pavel Francouz,183,1,300,2.52,2.73,0.19,32,2,1,2000000,0.024242424242424242
Antti Raanta,183,0,300,2.22,2.41,0.19,32,2,1,2000000,0.024242424242424242
Eric Comrie,185,0,59,3.67,3.26,-0.41,26,2,1,1800000,0.02181818181818182
Ilya Samsonov,191,0,22,2.41,2.87,0.46,25,1,1,1800000,0.02181818181818182
Casey DeSmith,183,0,300,3.17,3.41,0.25,30,2,1,1800000,0.02181818181818182
Kevin Lankinen,188,0,300,2.72,3.19,0.46,27,1,1,1500000,0.01818181818181818
Joonas Korpisalo,191,0,62,2.84,3.41,0.58,28,1,1,1300000,0.01575757575757576
Charlie Lindgren,185,1,300,3.02,2.86,-0.17,28,3,1,1100000,0.013333333333333334
Daniil Tarasov,191,0,86,3.91,3.39,-0.53,23,3,0,1050000,0.012727272727272728
Samuel Montembeault,191,0,77,3.29,3.75,0.45,25,2,0,1000000,0.012121212121212121
Scott Wedgewood,183,0,84,2.92,3.10,0.18,29,2,1,1000000,0.012121212121212121
Anthony Stolarz,198,0,45,3.73,3.86,0.13,27,2,1,950000,0.011515151515151515
David Rittich,191,0,300,2.65,2.60,-0.05,29,1,1,900000,0.01090909090909091
Cayden Primeau,191,0,199,2.27,2.65,0.37,22,3,0,890000,0.010787878787878787
Pheonix Copley,193,0,300,2.67,2.81,0.14,30,1,1,825000,0.01
Filip Gustavsson,188,0,55,2.00,2.73,0.72,23,2,0,787500,0.009545454545454546
Louis Domingue,191,1,138,0.00,0.00,0.00,30,2,1,775000,0.009393939393939394
Dustin Tokarski,183,0,122,3.44,3.64,0.20,32,1,1,775000,0.009393939393939394
Spencer Martin,191,0,63,3.99,3.15,-0.83,27,2,1,762500,0.009242424242424243
Collin Delia,188,0,300,3.26,3.17,-0.09,28,1,1,750000,0.00909090909090909
Troy Grosenick,185,0,300,0.00,0.00,0.00,32,1,1,750000,0.00909090909090909
Magnus Hellberg,196,0,38,3.17,3.04,-0.13,31,1,1,750000,0.00909090909090909
Alex Stalock,183,0,112,2.96,3.02,0.06,34,1,1,750000,0.00909090909090909
Mikhail Berdin,188,0,157,0.00,0.00,0.00,23,2,0,750000,0.00909090909090909
Joey Daccord,188,0,199,2.89,2.59,-0.30,23,3,0,750000,0.00909090909090909
Daniel Vladar,196,0,75,2.91,2.71,-0.20,22,3,0,750000,0.00909090909090909
Connor Ingram,183,0,88,3.37,3.70,0.33,23,3,0,733333,0.008888884848484848
