PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,GA60,xGA60,GSAx60,SIGNING AGE,CLAUSE,LENGTH,SIGNING,CAP HIT,CAP HIT %
1. Connor McDavid,185,Left,1 - Round 1 - 2015 (EDM),45.55,315,481,393,1.55,10.71,16.35,13.36,1310,790,62.38,2259,1361,62.40,1746,1067,62.07,157.93,76.54,67.36,-,-,-,21,,8,RFA,12500000,0.167
2. Artemi Panarin,180,Right,-,18.48,177,370,265,0.77,7.37,15.40,11.03,872,671,56.51,1600,1226,56.62,1229,939,56.69,95.23,62.67,60.31,-,-,-,27,NMC,7,UFA,11642857,0.143
3. Auston Matthews,191,Left,1 - Round 1 - 2016 (TOR),40.69,348,599,484,1.62,13.88,23.89,19.30,1083,638,62.93,1955,1103,63.93,1520,861,63.84,123.18,60.11,67.20,-,-,-,21,,5,RFA,11640250,0.146
4. Erik Karlsson,183,Right,15 - Round 1 - 2008 (OTT),6.79,117,248,170,0.35,5.98,12.68,8.69,697,611,53.29,1247,1118,52.73,955,838,53.26,67.50,67.97,49.83,-,-,-,29,NMC,8,UFA,11500000,0.145
5. Drew Doughty,185,Right,2 - Round 1 - 2008 (LAK),5.45,99,183,127,0.33,5.92,10.94,7.59,615,434,58.63,1092,769,58.68,831,592,58.40,59.52,48.65,55.02,-,-,-,29,NMC,8,UFA,11000000,0.138
6. John Tavares,185,Left,1 - Round 1 - 2009 (NYI),34.61,237,429,347,1.45,9.96,18.03,14.58,976,714,57.75,1781,1211,59.53,1383,936,59.64,110.93,61.71,64.26,-,-,-,27,NMC,7,UFA,11000000,0.138
7. Mitchell Marner,183,Right,4 - Round 1 - 2015 (TOR),26.52,224,420,315,1.06,8.94,16.76,12.57,1002,710,58.53,1845,1227,60.06,1430,962,59.78,119.57,69.66,63.19,-,-,-,22,,6,RFA,10903000,0.134
8. Carey Price,191,Left,5 - Round 1 - 2005 (MTL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.63,3.04,-0.59,29,NMC,8,UFA,10500000,0.14
9. Jonathan Toews,188,Left,3 - Round 1 - 2006 (CHI),12.87,125,188,158,0.62,6.04,9.09,7.64,639,677,48.56,1191,1198,49.85,875,903,49.21,62.49,62.13,50.14,-,-,-,26,NMC,8,UFA,10500000,0.152
10. Patrick Kane,178,Left,1 - Round 1 - 2007 (CHI),23.85,287,514,371,0.84,10.11,18.12,13.08,1023,785,56.58,1789,1409,55.94,1328,1047,55.92,90.38,79.59,53.17,-,-,-,26,NMC,8,UFA,10500000,0.152
11. Sergei Bobrovsky,188,Left,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.67,2.90,0.23,30,NMC,7,UFA,10000000,0.123
12. Jack Eichel,188,Right,2 - Round 1 - 2015 (BUF),11.28,133,193,160,1.03,12.10,17.55,14.56,421,312,57.44,741,567,56.65,556,411,57.50,39.86,32.84,54.83,-,-,-,21,,8,RFA,10000000,0.133
13. Anze Kopitar,191,Left,11 - Round 1 - 2005 (LAK),20.58,210,353,280,0.73,7.49,12.59,9.99,1032,774,57.14,1855,1394,57.09,1410,1039,57.57,107.03,83.76,56.10,-,-,-,28,M-NTC,8,UFA,10000000,0.14
14. Tyler Seguin,185,Right,2 - Round 1 - 2010 (BOS),21.72,218,345,280,0.90,9.06,14.34,11.64,829,755,52.34,1478,1351,52.24,1105,1026,51.85,87.01,72.97,54.39,-,-,-,27,NMC,8,UFA,9850000,0.124
15. Andrei Vasilevskiy,191,Left,19 - Round 1 - 2012 (TBL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.49,2.77,0.28,25,NMC,8,RFA,9500000,0.117
16. Mark Stone,191,Right,178 - Round 6 - 2010 (OTT),12.47,71,118,94,1.10,6.28,10.43,8.31,421,320,56.82,742,605,55.09,567,435,56.59,46.71,33.56,58.19,-,-,-,27,NMC,8,UFA,9500000,0.119
17. Nikita Kucherov,180,Left,58 - Round 2 - 2011 (TBL),16.19,156,276,214,1.03,9.97,17.63,13.67,651,443,59.51,1119,750,59.87,897,604,59.76,74.91,48.98,60.46,-,-,-,26,NMC,8,RFA,9500000,0.119
18. Jamie Benn,188,Left,129 - Round 5 - 2007 (DAL),23.12,182,317,250,1.01,7.95,13.85,10.92,735,769,48.87,1344,1400,48.98,997,1063,48.40,79.23,72.02,52.38,-,-,-,27,NMC,8,UFA,9500000,0.13
19. Evgeni Malkin,191,Left,2 - Round 1 - 2004 (PIT),14.31,129,203,158,1.13,10.30,16.21,12.61,509,339,60.02,906,560,61.80,695,441,61.18,61.11,34.71,63.78,-,-,-,27,NMC,8,UFA,9500000,0.148
20. Mikko Rantanen,193,Left,10 - Round 1 - 2015 (COL),30.37,254,459,364,1.15,9.68,17.50,13.88,1155,731,61.24,2041,1230,62.40,1556,953,62.02,123.62,68.31,64.41,-,-,-,22,,6,RFA,9250000,0.113
21. Nicklas Bäckström,185,Left,4 - Round 1 - 2006 (WSH),7.90,68,121,98,0.57,4.96,8.83,7.15,481,369,56.59,898,673,57.16,689,507,57.61,51.67,36.47,58.62,-,-,-,32,NMC,5,UFA,9200000,0.113
22. Roman Josi,185,Left,38 - Round 2 - 2008 (NSH),15.57,281,563,385,0.46,8.25,16.52,11.30,1228,1028,54.43,2264,1821,55.42,1709,1386,55.22,122.19,98.45,55.38,-,-,-,30,NMC,8,UFA,9059000,0.111
23. Kirill Kaprizov,178,Left,135 - Round 5 - 2015 (MIN),29.59,289,515,400,1.14,11.20,19.96,15.51,995,665,59.94,1802,1165,60.73,1352,887,60.38,99.06,63.06,61.10,-,-,-,24,,5,RFA,9000000,0.11
24. Dougie Hamilton,198,Right,9 - Round 1 - 2011 (BOS),10.84,197,402,285,0.49,8.98,18.32,13.00,798,667,54.47,1469,1183,55.39,1115,905,55.20,73.02,66.67,52.27,-,-,-,28,NMC,7,UFA,9000000,0.11
25. Cale Makar,180,Right,4 - Round 1 - 2017 (COL),13.33,240,494,319,0.40,7.29,15.00,9.68,1349,933,59.11,2387,1628,59.45,1809,1249,59.16,138.99,88.90,60.99,-,-,-,22,,6,RFA,9000000,0.11
26. Jeff Skinner,180,Left,7 - Round 1 - 2010 (CAR),29.84,262,404,330,1.31,11.51,17.73,14.49,898,708,55.92,1531,1179,56.49,1191,965,55.24,82.65,73.62,52.89,-,-,-,27,NMC,8,UFA,9000000,0.113
27. P.K. Subban,183,Right,43 - Round 2 - 2007 (MTL),4.42,114,264,172,0.19,4.86,11.24,7.33,751,753,49.93,1342,1343,49.98,1016,1023,49.83,62.48,63.66,49.53,-,-,-,25,,8,RFA,9000000,0.13
28. Alex Pietrangelo,191,Right,4 - Round 1 - 2008 (STL),12.50,227,456,311,0.38,6.91,13.87,9.46,1168,1001,53.85,2083,1887,52.47,1568,1377,53.24,119.79,117.15,50.56,-,-,-,30,NMC,7,UFA,8800000,0.108
29. Sidney Crosby,180,Left,1 - Round 1 - 2005 (PIT),27.14,208,334,272,1.18,9.06,14.54,11.84,982,699,58.42,1712,1162,59.57,1315,912,59.05,113.16,68.70,62.22,-,-,-,25,NMC,12,UFA,8700000,0.145
30. Leon Draisaitl,188,Left,3 - Round 1 - 2014 (EDM),38.79,278,482,387,1.30,9.33,16.18,12.99,1165,921,55.85,2020,1545,56.66,1559,1231,55.88,140.82,91.87,60.52,-,-,-,21,,8,RFA,8500000,0.113
