PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,GA60,xGA60,GSAx60,SIGNING AGE,CLAUSE,LENGTH,SIGNING,CAP HIT,CAP HIT %
31. Steven Stamkos,185,Right,1 - Round 1 - 2008 (TBL),27.96,241,401,323,1.12,9.66,16.07,12.94,919,689,57.15,1656,1197,58.04,1308,937,58.26,105.18,73.72,58.79,-,-,-,26,NMC,8,UFA,8500000,0.116
32. Sebastian Aho,183,Left,35 - Round 2 - 2015 (CAR),37.39,221,402,329,1.50,8.86,16.11,13.18,935,693,57.43,1704,1203,58.62,1316,960,57.82,112.82,76.28,59.66,-,-,-,21,,5,RFA,8460250,0.104
33. Miro Heiskanen,185,Left,3 - Round 1 - 2017 (DAL),10.76,156,312,218,0.37,5.37,10.75,7.51,928,861,51.87,1684,1531,52.38,1276,1170,52.17,98.69,80.23,55.16,-,-,-,21,,8,RFA,8450000,0.104
34. Brady Tkachuk,193,Left,4 - Round 1 - 2018 (OTT),36.06,288,461,373,1.46,11.64,18.62,15.07,939,713,56.84,1698,1247,57.66,1267,975,56.51,101.01,77.37,56.63,-,-,-,21,,7,RFA,8330674,0.101
35. Claude Giroux,180,Right,22 - Round 1 - 2006 (PHI),16.64,205,339,268,0.70,8.60,14.22,11.24,949,656,59.13,1694,1147,59.63,1274,878,59.20,94.16,72.79,56.40,-,-,-,26,NMC,8,RFA,8275000,0.129
36. Blake Wheeler,196,Right,5 - Round 1 - 2004 (ARI),21.62,167,263,210,1.02,7.89,12.43,9.92,758,631,54.57,1372,1115,55.17,1056,865,54.97,81.79,70.43,53.73,-,-,-,32,NMC,5,UFA,8250000,0.104
37. Oliver Ekman-Larsson,188,Left,6 - Round 1 - 2009 (ARI),6.34,168,352,234,0.22,5.72,11.98,7.97,927,999,48.13,1663,1765,48.51,1275,1341,48.74,87.34,89.05,49.52,-,-,-,27,NMC,8,UFA,8250000,0.104
38. Jakub Voracek,188,Left,7 - Round 1 - 2007 (CBJ),11.67,147,253,190,0.51,6.39,11.01,8.27,762,718,51.49,1443,1194,54.72,1081,946,53.33,72.97,71.48,50.52,-,-,-,25,,8,UFA,8250000,0.116
39. Thomas Chabot,188,Left,18 - Round 1 - 2015 (OTT),9.17,173,330,227,0.36,6.72,12.81,8.81,905,728,55.42,1631,1347,54.77,1232,999,55.22,87.08,73.34,54.28,-,-,-,23,,8,RFA,8000000,0.098
40. Jacob Trouba,191,Right,9 - Round 1 - 2012 (WPG),11.53,204,388,277,0.38,6.74,12.81,9.15,903,969,48.24,1614,1778,47.58,1245,1324,48.46,91.40,90.25,50.32,-,-,-,25,NMC,7,RFA,8000000,0.098
41. Matt Duchene,180,Left,3 - Round 1 - 2009 (COL),31.88,229,383,318,1.29,9.26,15.49,12.87,927,678,57.76,1726,1195,59.09,1320,911,59.17,99.00,69.00,58.93,-,-,-,28,,7,UFA,8000000,0.098
42. Logan Couture,185,Left,9 - Round 1 - 2007 (SJS),23.54,199,314,260,0.97,8.19,12.92,10.70,833,789,51.36,1491,1491,50.00,1147,1092,51.23,87.59,92.32,48.69,-,-,-,30,M-NTC,8,UFA,8000000,0.101
43. John Carlson,191,Right,27 - Round 1 - 2008 (WSH),12.58,195,388,278,0.41,6.30,12.53,8.98,1109,858,56.38,1941,1604,54.75,1520,1220,55.47,119.64,89.92,57.09,-,-,-,28,M-NTC,8,UFA,8000000,0.101
44. Ryan Johansen,191,Right,4 - Round 1 - 2010 (CBJ),12.91,118,182,153,0.59,5.41,8.35,7.02,773,621,55.45,1457,1107,56.83,1105,829,57.14,85.31,63.44,57.35,-,-,-,24,,8,RFA,8000000,0.107
45. Brent Burns,196,Right,20 - Round 1 - 2003 (MIN),8.50,203,446,293,0.24,5.68,12.48,8.19,1066,1182,47.42,1936,2263,46.11,1476,1641,47.35,105.69,129.50,44.94,-,-,-,32,M-NTC,8,UFA,8000000,0.11
46. Phil Kessel,183,Right,5 - Round 1 - 2006 (BOS),17.36,175,310,230,0.76,7.68,13.60,10.09,712,720,49.72,1274,1239,50.70,973,963,50.26,69.15,66.54,50.96,-,-,-,25,"M-NTC, NMC",8,UFA,8000000,0.124
47. Victor Hedman,198,Left,2 - Round 1 - 2009 (TBL),13.27,219,462,331,0.39,6.39,13.48,9.66,1221,928,56.82,2157,1684,56.16,1700,1293,56.80,134.43,98.18,57.79,-,-,-,25,NMC,8,UFA,7875000,0.108
48. Shea Weber,193,Right,49 - Round 2 - 2003 (NSH),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,26,,14,RFA,7857143,0.131
49. Quinn Hughes,178,Left,7 - Round 1 - 2018 (VAN),6.80,150,342,202,0.21,4.69,10.70,6.32,1134,860,56.87,2102,1549,57.57,1549,1181,56.74,111.20,90.18,55.22,-,-,-,21,,6,RFA,7850000,0.096
50. Evgeny Kuznetsov,188,Left,26 - Round 1 - 2010 (WSH),23.88,208,345,289,0.89,7.79,12.92,10.82,928,714,56.52,1664,1316,55.84,1300,999,56.55,104.93,75.03,58.31,-,-,-,25,M-NTC,8,RFA,7800000,0.104
51. Andrei Svechnikov,188,Left,2 - Round 1 - 2018 (CAR),32.79,249,467,363,1.46,11.10,20.81,16.18,932,594,61.07,1713,1050,62.00,1319,839,61.12,109.07,62.91,63.42,-,-,-,21,,8,RFA,7750000,0.095
52. Jared Spurgeon,175,Right,156 - Round 6 - 2008 (NYI),6.34,116,234,157,0.28,5.05,10.21,6.85,825,635,56.51,1460,1143,56.09,1117,871,56.19,82.96,65.61,55.84,-,-,-,30,NMC,7,UFA,7575000,0.093
53. Patrik Laine,196,Right,2 - Round 1 - 2016 (WPG),16.64,167,317,238,0.95,9.50,18.04,13.54,613,595,50.75,1089,972,52.84,836,788,51.48,57.49,62.20,48.03,-,-,-,23,,1,RFA,7500000,0.092
54. Aaron Ekblad,193,Right,1 - Round 1 - 2014 (FLA),10.60,180,317,233,0.42,7.10,12.51,9.19,978,743,56.83,1703,1254,57.59,1293,936,58.01,106.97,74.20,59.04,-,-,-,20,NMC,8,RFA,7500000,0.103
55. Vladimir Tarasenko,183,Left,16 - Round 1 - 2010 (STL),25.80,230,382,305,1.22,10.88,18.07,14.43,744,681,52.21,1280,1153,52.61,1006,910,52.51,82.49,70.52,53.91,-,-,-,23,NTC,8,RFA,7500000,0.105
56. Ryan O'Reilly,185,Left,33 - Round 2 - 2009 (COL),21.97,168,252,215,0.89,6.77,10.16,8.67,793,707,52.87,1363,1284,51.49,1043,1014,50.70,83.52,78.20,51.64,-,-,-,25,,7,UFA,7500000,0.105
57. Elias Pettersson,188,Left,5 - Round 1 - 2017 (VAN),24.40,192,387,290,0.98,7.74,15.61,11.70,922,696,56.98,1719,1215,58.59,1288,936,57.91,100.40,69.98,58.92,-,-,-,22,,3,RFA,7350000,0.09
58. Nico Hischier,185,Left,1 - Round 1 - 2017 (NJD),20.26,153,270,214,0.90,6.78,11.96,9.48,760,647,54.02,1405,1187,54.21,1073,907,54.19,77.45,72.50,51.65,-,-,-,21,,7,RFA,7250000,0.089
59. Kris Letang,183,Right,62 - Round 3 - 2005 (PIT),9.99,214,403,272,0.30,6.39,12.03,8.11,1257,1043,54.65,2163,1807,54.48,1671,1394,54.52,137.34,101.34,57.54,-,-,-,27,"M-NTC, NMC",8,UFA,7250000,0.113
60. Clayton Keller,178,Left,7 - Round 1 - 2016 (ARI),20.84,177,274,228,0.93,7.87,12.18,10.14,675,736,47.84,1190,1238,49.01,944,970,49.32,72.87,71.20,50.58,-,-,-,21,,8,RFA,7150000,0.088
61. Kyle Connor,185,Left,17 - Round 1 - 2015 (WPG),35.76,317,499,395,1.25,11.06,17.39,13.78,1068,938,53.24,1878,1590,54.15,1457,1265,53.53,118.58,100.78,54.06,-,-,-,22,,7,RFA,7142857,0.088
62. Kevin Hayes,196,Left,24 - Round 1 - 2010 (CHI),9.61,126,209,160,0.67,8.78,14.58,11.16,458,497,47.96,824,862,48.87,609,659,48.03,43.19,49.82,46.44,-,-,-,27,NMC,7,UFA,7142857,0.09
63. Gabriel Landeskog,185,Left,2 - Round 1 - 2011 (COL),23.49,150,251,194,1.36,8.69,14.53,11.23,748,466,61.61,1352,793,63.03,1012,603,62.66,80.95,40.90,66.43,-,-,-,28,NMC,8,UFA,7000000,0.086
64. Mathew Barzal,183,Right,16 - Round 1 - 2015 (NYI),18.32,161,252,208,0.84,7.34,11.49,9.49,789,665,54.26,1428,1173,54.90,1068,909,54.02,77.88,67.93,53.41,-,-,-,23,,3,RFA,7000000,0.086
65. Matthew Tkachuk,188,Left,6 - Round 1 - 2016 (CGY),37.74,253,455,374,1.54,10.34,18.60,15.29,1069,600,64.05,1935,1038,65.09,1472,818,64.28,117.77,55.61,67.93,-,-,-,21,,3,RFA,7000000,0.086
66. Anders Lee,191,Left,152 - Round 6 - 2009 (NYI),25.08,159,266,228,1.19,7.55,12.63,10.83,737,676,52.16,1356,1181,53.45,1011,918,52.41,80.45,68.02,54.19,-,-,-,28,NTC,7,UFA,7000000,0.086
67. Joe Pavelski,180,Right,205 - Round 7 - 2003 (SJS),30.77,216,374,312,1.22,8.56,14.81,12.36,948,689,57.91,1759,1253,58.40,1322,934,58.60,106.98,64.05,62.55,-,-,-,34,M-NTC,3,UFA,7000000,0.086
68. Max Pacioretty,188,Left,22 - Round 1 - 2007 (MTL),15.93,148,262,204,1.41,13.10,23.19,18.05,461,292,61.22,816,549,59.78,628,408,60.62,47.46,31.30,60.26,-,-,-,30,M-NTC,4,UFA,7000000,0.088
69. Marc-André Fleury,188,Left,1 - Round 1 - 2003 (PIT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.90,2.70,-0.20,34,M-NTC,3,UFA,7000000,0.088
70. James van Riemsdyk,191,Left,2 - Round 1 - 2007 (PHI),25.43,187,285,245,1.14,8.49,12.94,11.13,777,665,53.88,1401,1170,54.49,1056,887,54.35,76.91,72.29,51.55,-,-,-,29,,5,UFA,7000000,0.088
71. Evander Kane,188,Left,4 - Round 1 - 2009 (ATL),19.25,152,260,206,1.38,10.90,18.64,14.78,550,414,57.05,977,750,56.57,745,582,56.14,60.85,41.48,59.46,-,-,-,26,M-NTC,7,UFA,7000000,0.093
72. Marc-Édouard Vlasic,185,Left,35 - Round 2 - 2005 (SJS),2.06,63,145,99,0.11,3.31,7.62,5.21,470,568,45.28,840,1146,42.30,646,831,43.74,35.82,51.41,41.06,-,-,-,31,NMC,8,UFA,7000000,0.093
73. William Nylander,183,Right,8 - Round 1 - 2014 (TOR),29.57,256,467,365,1.20,10.38,18.93,14.80,1022,731,58.30,1838,1224,60.03,1439,949,60.26,113.11,64.25,63.77,-,-,-,22,,6,RFA,6962366,0.088
74. Brent Seabrook,191,Right,14 - Round 1 - 2003 (CHI),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,31,NMC,8,UFA,6875000,0.096
75. Ryan Kesler,188,Right,23 - Round 1 - 2003 (VAN),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,31,M-NTC,6,UFA,6875000,0.096
76. Patrice Bergeron,185,Right,45 - Round 2 - 2003 (BOS),28.91,293,427,369,1.31,13.25,19.30,16.69,1042,558,65.12,1723,963,64.15,1378,740,65.06,97.34,50.29,65.94,-,-,-,28,"M-NTC, NMC",8,UFA,6875000,0.107
77. Brayden Point,178,Right,79 - Round 3 - 2014 (TBL),26.15,176,291,253,1.22,8.22,13.59,11.82,822,597,57.93,1449,1029,58.47,1153,811,58.71,93.94,63.14,59.80,-,-,-,23,,3,RFA,6750000,0.083
78. Ivan Provorov,185,Left,7 - Round 1 - 2015 (PHI),7.34,170,322,221,0.22,5.19,9.83,6.74,993,1061,48.34,1727,1955,46.90,1316,1453,47.53,84.88,110.18,43.51,-,-,-,22,,6,RFA,6750000,0.083
79. Ryan McDonagh,185,Left,12 - Round 1 - 2007 (MTL),5.37,85,180,131,0.20,3.20,6.78,4.93,635,896,41.48,1177,1634,41.87,906,1241,42.20,67.25,87.13,43.56,-,-,-,30,NTC,7,UFA,6750000,0.085
80. Johnny Gaudreau,175,Left,104 - Round 4 - 2011 (CGY),30.16,262,463,348,1.19,10.32,18.23,13.71,1077,650,62.36,1938,1138,63.00,1492,897,62.45,120.85,59.28,67.09,-,-,-,22,M-NTC,6,RFA,6750000,0.092
81. Mark Giordano,185,Left,-,6.25,151,348,221,0.24,5.79,13.33,8.47,807,683,54.16,1535,1314,53.88,1139,966,54.11,77.59,72.58,51.67,-,-,-,32,M-NTC,6,UFA,6750000,0.095
82. David Pastrnak,183,Right,25 - Round 1 - 2014 (BOS),30.19,312,560,438,1.35,13.98,25.09,19.62,1013,558,64.48,1700,967,63.74,1337,753,63.97,96.50,53.68,64.26,-,-,-,21,"M-NTC, NMC",6,RFA,6666667,0.089
83. Sam Reinhart,185,Right,2 - Round 1 - 2014 (BUF),29.55,186,325,266,1.28,8.06,14.08,11.52,938,611,60.56,1633,1021,61.53,1255,791,61.34,105.22,55.31,65.55,-,-,-,25,,3,RFA,6500000,0.08
84. Brendan Gallagher,175,Right,147 - Round 5 - 2010 (MTL),19.32,142,250,194,1.38,10.13,17.84,13.84,501,395,55.92,928,711,56.62,671,530,55.87,51.06,41.52,55.15,-,-,-,29,"M-NTC, NMC",6,UFA,6500000,0.08
85. Torey Krug,175,Left,-,6.35,119,245,173,0.28,5.43,11.17,7.89,799,667,54.50,1385,1140,54.85,1063,933,53.26,78.04,64.87,54.61,-,-,-,29,NTC,7,UFA,6500000,0.08
86. Chris Kreider,191,Left,19 - Round 1 - 2009 (NYR),36.65,258,412,343,1.45,10.19,16.29,13.57,888,669,57.03,1560,1270,55.12,1223,946,56.39,102.95,67.31,60.46,-,-,-,29,NMC,7,UFA,6500000,0.08
87. Brayden Schenn,185,Left,5 - Round 1 - 2009 (LAK),15.44,111,197,152,0.84,6.04,10.72,8.27,589,582,50.30,1019,1001,50.45,772,795,49.27,66.81,53.12,55.71,-,-,-,28,NTC,8,UFA,6500000,0.08
88. Justin Faulk,183,Right,37 - Round 2 - 2010 (CAR),9.19,167,318,219,0.31,5.68,10.82,7.45,889,933,48.79,1541,1619,48.77,1186,1302,47.67,87.88,88.26,49.89,-,-,-,28,NTC,7,UFA,6500000,0.08
89. Cam Fowler,188,Left,12 - Round 1 - 2010 (ANA),6.97,124,300,170,0.23,4.01,9.69,5.50,893,1037,46.27,1665,1852,47.34,1231,1440,46.09,82.91,107.35,43.58,-,-,-,26,M-NTC,8,UFA,6500000,0.087
90. Alex DeBrincat,170,Right,39 - Round 2 - 2016 (CHI),32.31,270,470,354,1.12,9.47,16.48,12.42,1024,781,56.73,1772,1414,55.62,1320,1053,55.63,99.31,75.70,56.75,-,-,-,22,,3,RFA,6400000,0.079
91. John Gibson,188,Left,39 - Round 2 - 2011 (ANA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.19,3.09,-0.10,25,M-NTC,8,RFA,6400000,0.081
92. Sean Monahan,188,Left,6 - Round 1 - 2013 (CGY),12.55,111,197,151,0.82,7.29,12.93,9.91,606,412,59.53,1084,720,60.09,825,565,59.35,53.67,34.68,60.75,-,-,-,21,M-NTC,7,RFA,6375000,0.087
93. Nathan MacKinnon,183,Right,1 - Round 1 - 2013 (COL),26.61,299,501,385,1.17,13.10,21.96,16.87,995,676,59.55,1775,1148,60.73,1339,892,60.02,104.82,65.38,61.59,-,-,-,20,M-NTC,7,RFA,6300000,0.086
94. Matt Murray,193,Left,83 - Round 3 - 2012 (PIT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.05,3.17,0.12,26,M-NTC,4,RFA,6250000,0.077
95. Jeff Petry,191,Right,45 - Round 2 - 2006 (EDM),4.55,124,266,160,0.18,4.95,10.61,6.38,784,833,48.48,1363,1485,47.86,1003,1117,47.31,70.72,86.74,44.91,-,-,-,33,"M-NTC, NMC",4,UFA,6250000,0.077
96. Joshua Morrissey,183,Left,13 - Round 1 - 2013 (WPG),11.35,173,351,251,0.36,5.55,11.27,8.06,1079,935,53.57,1912,1632,53.95,1454,1264,53.50,118.50,96.08,55.22,-,-,-,25,,8,RFA,6250000,0.077
97. Ryan Ellis,178,Right,11 - Round 1 - 2009 (NSH),0.19,6,13,8,0.12,3.95,8.55,5.26,42,43,49.41,83,82,50.30,58,60,49.15,3.49,4.19,45.44,-,-,-,28,,8,UFA,6250000,0.079
98. Alexander Radulov,185,Left,15 - Round 1 - 2004 (NSH),14.11,92,189,148,0.85,5.52,11.33,8.86,556,458,54.83,1044,866,54.66,781,648,54.65,58.54,42.28,58.06,-,-,-,30,"M-NTC, NMC",5,UFA,6250000,0.083
99. Connor Hellebuyck,193,Left,130 - Round 5 - 2012 (WPG),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.97,3.15,0.19,25,,6,RFA,6166666,0.078
100. Brad Marchand,175,Left,71 - Round 3 - 2006 (BOS),26.93,242,398,306,1.20,10.78,17.72,13.63,1033,588,63.73,1693,1003,62.80,1351,782,63.34,99.33,57.81,63.21,-,-,-,29,NMC,8,UFA,6125000,0.084
101. Mark Scheifele,191,Right,7 - Round 1 - 2011 (WPG),19.72,159,264,215,0.84,6.74,11.19,9.11,896,699,56.18,1589,1247,56.03,1223,963,55.95,96.44,79.29,54.88,-,-,-,23,M-NTC,8,RFA,6125000,0.084
102. Jesperi Kotkaniemi,188,Left,3 - Round 1 - 2018 (MTL),9.67,81,146,111,0.73,6.12,11.04,8.39,467,336,58.16,889,581,60.48,664,455,59.34,42.19,33.54,55.70,-,-,-,20,,1,RFA,6100035,0.075
103. Dylan Larkin,185,Left,15 - Round 1 - 2014 (DET),22.07,212,385,281,0.95,9.11,16.55,12.08,846,731,53.65,1449,1231,54.07,1103,986,52.80,89.55,85.40,51.19,-,-,-,21,,5,RFA,6100000,0.077
104. Rasmus Dahlin,191,Left,1 - Round 1 - 2018 (BUF),8.66,171,322,224,0.27,5.34,10.05,6.99,1053,968,52.10,1829,1581,53.64,1406,1310,51.77,91.42,94.07,49.29,-,-,-,21,,3,RFA,6000000,0.074
105. Taylor Hall,185,Left,1 - Round 1 - 2010 (EDM),20.48,217,322,261,0.92,9.78,14.53,11.78,940,569,62.29,1571,1010,60.87,1256,777,61.78,81.81,50.16,61.99,-,-,-,29,NMC,4,UFA,6000000,0.074
106. Jordan Binnington,185,Left,88 - Round 3 - 2011 (STL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.13,2.85,-0.28,27,NTC,6,UFA,6000000,0.074
107. Jacob Markström,198,Left,31 - Round 2 - 2008 (FLA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.22,2.48,0.25,30,NMC,6,UFA,6000000,0.074
108. Jonas Brodin,185,Left,10 - Round 1 - 2011 (MIN),5.29,126,232,157,0.19,4.42,8.14,5.51,885,885,50.00,1566,1624,49.09,1179,1235,48.84,82.89,85.40,49.25,-,-,-,27,NMC,7,UFA,6000000,0.074
109. Tyler Myers,203,Right,12 - Round 1 - 2008 (BUF),5.79,128,257,173,0.19,4.26,8.56,5.76,865,1055,45.05,1564,1934,44.71,1193,1454,45.07,78.68,101.82,43.59,-,-,-,29,NTC,5,UFA,6000000,0.074
110. Timo Meier,183,Left,9 - Round 1 - 2015 (SJS),30.76,326,573,448,1.25,13.26,23.31,18.22,957,719,57.10,1699,1347,55.78,1310,998,56.76,96.00,78.06,55.15,-,-,-,22,,4,RFA,6000000,0.074
111. Mats Zuccarello,173,Left,-,13.73,159,268,203,0.63,7.33,12.36,9.36,839,592,58.63,1494,1023,59.36,1142,769,59.76,81.41,53.44,60.37,-,-,-,31,NMC,5,UFA,6000000,0.074
