PLAYER,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Carey Price,191,0,5,2.79,2.61,-0.18,29,8,1,10500000,0.12883435582822086
Sergei Bobrovsky,188,0,300,3.23,2.93,-0.30,30,7,1,10000000,0.12269938650306748
Henrik Lundqvist,185,0,205,3.16,3.29,0.13,32,7,1,8500000,0.10429447852760736
Marc-André Fleury,188,0,1,2.77,2.50,-0.27,34,3,1,7000000,0.08588957055214724
Tuukka Rask,191,0,21,2.12,2.32,0.19,26,8,0,7000000,0.08588957055214724
John Gibson,188,0,39,3.00,2.79,-0.21,25,8,0,6400000,0.0785276073619632
Connor Hellebuyck,193,0,130,2.57,2.95,0.38,25,6,0,6166666,0.07566461349693251
Braden Holtby,188,0,93,3.11,2.82,-0.29,25,5,0,6100000,0.07484662576687116
Cory Schneider,191,0,26,3.53,2.86,-0.67,29,7,1,6000000,0.0736196319018405
Corey Crawford,188,0,52,2.77,2.94,0.18,29,6,1,6000000,0.0736196319018405
Jonathan Quick,185,0,72,2.79,2.60,-0.19,27,10,1,5800000,0.07116564417177915
Martin Jones,193,0,300,3.00,2.79,-0.21,28,6,1,5750000,0.0705521472392638
Semyon Varlamov,188,0,23,2.62,2.66,0.04,31,4,1,5000000,0.06134969325153374
Robin Lehner,193,0,46,2.89,3.01,0.12,27,1,1,5000000,0.06134969325153374
Frederik Andersen,193,0,87,2.85,2.65,-0.21,26,5,0,5000000,0.06134969325153374
Ben Bishop,201,0,85,2.50,2.61,0.11,30,6,1,4916667,0.06032720245398773
Mikko Koskinen,201,0,31,2.75,2.93,0.18,30,3,1,4500000,0.05521472392638037
Jordan Binnington,185,0,88,2.57,2.63,0.07,25,2,0,4400000,0.053987730061349694
Jake Allen,188,0,34,2.15,2.49,0.34,25,4,0,4350000,0.05337423312883435
Devan Dubnyk,198,0,14,3.35,2.37,-0.99,29,6,1,4333333,0.053169730061349695
Antti Raanta,183,0,300,2.63,2.82,0.19,29,3,1,4250000,0.05214723926380368
Matt Murray,193,0,83,2.87,2.46,-0.40,22,3,0,3750000,0.046012269938650305
Jacob Markström,198,0,31,2.75,2.82,0.07,27,3,1,3666667,0.044989779141104295
Andrei Vasilevskiy,191,0,19,2.56,2.41,-0.14,21,3,0,3500000,0.04294478527607362
James Reimer,188,0,99,2.66,2.98,0.33,28,5,1,3400000,0.04171779141104295
Philipp Grubauer,185,0,112,2.63,2.59,-0.04,26,3,0,3333333,0.04089979141104295
Thomas Greiss,188,0,94,2.75,2.64,-0.10,31,3,1,3333333,0.04089979141104295
Petr Mrázek,185,0,141,2.69,2.76,0.07,27,2,1,3125000,0.03834355828220859
Jonathan Bernier,183,0,11,2.95,2.95,-0.01,29,3,1,3000000,0.03680981595092025
David Rittich,191,0,300,2.97,2.76,-0.21,26,2,0,2750000,0.03374233128834356
Cam Talbot,193,0,300,2.63,2.65,0.01,31,1,1,2750000,0.03374233128834356
Jaroslav Halák,180,0,271,2.39,2.49,0.10,33,2,1,2750000,0.03374233128834356
Carter Hutton,183,0,300,3.18,2.72,-0.46,32,3,1,2750000,0.03374233128834356
Anders Nilsson,198,0,62,3.18,2.79,-0.39,29,2,1,2600000,0.03190184049079755
Anton Khudobin,180,0,206,2.22,2.43,0.21,32,2,1,2500000,0.03067484662576687
Mike Condon,188,0,300,0.00,0.00,0.00,27,3,1,2400000,0.029447852760736196
Brian Elliott,188,0,291,2.87,2.65,-0.22,34,1,1,2000000,0.024539877300613498
Aaron Dell,183,0,300,2.98,2.99,0.02,29,2,1,1900000,0.023312883435582823
Darcy Kuemper,196,0,161,2.22,2.53,0.31,28,2,1,1850000,0.022699386503067485
Keith Kinkaid,191,0,300,4.24,2.54,-1.70,29,1,1,1750000,0.02147239263803681
Juuse Saros,180,0,99,2.70,2.74,0.04,23,3,0,1500000,0.018404907975460124
Linus Ullmark,193,0,163,2.69,2.53,-0.16,25,1,0,1325000,0.01625766871165644
Casey DeSmith,183,0,300,0.00,0.00,0.00,27,3,1,1250000,0.015337423312883436
Laurent Brossoit,191,0,164,3.28,3.06,-0.22,26,1,0,1225000,0.015030674846625767
Joonas Korpisalo,191,0,62,2.60,2.34,-0.26,25,1,0,1150000,0.01411042944785276
Louis Domingue,191,1,138,3.81,2.84,-0.97,26,2,0,1150000,0.01411042944785276
Pheonix Copley,193,0,300,0.00,0.00,0.00,27,3,1,1100000,0.013496932515337423
Thatcher Demko,193,0,36,3.06,2.96,-0.10,23,2,0,1050000,0.012883435582822086
Collin Delia,188,0,300,0.00,0.00,0.00,25,3,0,1000000,0.012269938650306749
Pavel Francouz,183,1,300,2.42,2.52,0.11,29,1,1,950000,0.011656441717791411
Elvis Merzlikins,191,0,76,2.35,2.33,-0.02,25,1,0,874125,0.010725460122699386
Malcolm Subban,188,0,24,3.17,2.86,-0.31,25,1,0,850000,0.010429447852760737
Alex Stalock,183,0,112,2.67,2.23,-0.44,31,3,1,785000,0.009631901840490797
Anton Forsberg,191,0,188,3.35,2.65,-0.70,26,1,0,775000,0.00950920245398773
