PLAYER,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Anthony Stolarz,198,0,45,2.04,2.89,0.84,25,2,1,750000,0.009202453987730062
Calvin Pickard,185,0,49,5.46,3.02,-2.43,27,2,1,750000,0.009202453987730062
Garret Sparks,191,0,190,4.38,2.19,-2.19,26,1,0,750000,0.009202453987730062
Jon Gillies,196,0,75,0.00,0.00,0.00,24,2,0,750000,0.009202453987730062
Alex Lyon,185,0,300,3.55,3.08,-0.47,25,2,0,750000,0.009202453987730062
Charlie Lindgren,185,1,300,3.33,3.14,-0.19,24,3,0,750000,0.009202453987730062
Andrew Hammond,185,0,300,0.00,0.00,0.00,31,1,1,700000,0.008588957055214725
Michael Hutchinson,191,1,77,3.47,2.96,-0.51,29,1,1,700000,0.008588957055214725
Tristan Jarry,188,0,44,2.43,2.47,0.03,23,2,0,675000,0.008282208588957056
Jack Campbell,188,0,11,2.80,2.53,-0.26,26,2,0,675000,0.008282208588957056
