Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Justin Abdelkader,32,LW,49,0,3,3,-14,25,-0.9,0,0,0,0,3,0,0,40,0.0,565,692,26,103,38,31,55.1
Noel Acciari,28,C,66,20,7,27,2,21,2.9,19,0,1,5,7,0,0,108,18.5,1054,958,103,121,381,414,47.9
Andrew Agozzino,29,LW,22,1,2,3,3,4,0.3,1,0,0,0,2,0,0,10,10.0,162,441,7,25,38,37,50.7
Sebastian Aho,22,F,68,38,28,66,10,26,8.6,26,8,4,5,18,9,1,206,18.4,1321,1165,20,55,409,480,46.0
Michael Amadio,23,C,68,6,10,16,-11,10,0.5,6,0,0,0,7,3,0,99,6.1,885,781,22,21,233,249,48.3
Josh Anderson,25,RW,26,1,3,4,-8,17,-0.4,1,0,0,0,3,0,0,63,1.6,418,964,13,68,7,12,36.8
Rasmus Andersson,23,D,70,5,17,22,-7,57,3.8,5,0,0,0,13,4,0,124,4.0,1396,1196,83,51,0,0,0.0
Artem Anisimov,31,C,49,15,5,20,-15,8,1.9,10,5,0,1,4,1,0,87,17.2,679,831,25,6,185,185,50.0
Mason Appleton,24,C,46,5,3,8,-9,20,0.1,4,0,1,0,3,0,0,55,9.1,513,670,12,20,5,8,38.5
Josh Archibald,27,RW,62,12,9,21,-8,12,1.8,10,0,2,3,8,0,1,64,18.8,820,794,44,165,0,2,0.0
Joel Armia,26,RW,58,16,14,30,2,28,3.2,10,3,3,2,12,1,1,155,10.3,999,1034,25,146,4,7,36.4
Viktor Arvidsson,26,LW,57,15,13,28,-4,26,2.6,11,4,0,1,9,4,0,127,11.8,924,972,24,27,11,8,57.9
Rasmus Asplund,22,F,29,1,2,3,-4,6,-0.3,1,0,0,0,1,0,1,36,2.8,314,650,7,20,49,65,43.0
Zach Aston-Reese,25,C,57,6,7,13,6,28,0.8,5,0,1,0,7,0,0,98,6.1,822,866,30,136,7,16,30.4
Andreas Athanasiou,25,C,55,11,15,26,-46,30,0.8,8,3,0,2,11,4,0,129,8.5,871,951,24,36,43,60,41.7
Cam Atkinson,30,RW,44,12,14,26,2,6,2.9,9,3,0,2,9,5,0,148,8.1,785,1071,21,18,27,30,47.4
Nicolas Aubé-Kubel,23,RW,36,7,8,15,1,19,1.6,5,2,0,1,7,1,0,48,14.6,406,677,16,82,1,2,33.3
David Backes,35,C,22,1,5,6,-1,22,0.4,0,1,0,1,5,0,0,34,2.9,207,564,8,38,27,44,38.0
Mikael Backlund,30,C,70,16,29,45,3,26,4.4,10,3,3,3,22,7,0,157,10.2,1256,1077,11,44,368,410,47.3
Nicklas Bäckström,32,C,61,12,42,54,-1,14,4.6,10,2,0,0,26,16,0,132,9.1,1160,1141,45,30,516,532,49.2
Josh Bailey,30,C,68,14,29,43,-12,10,3.5,11,2,1,2,22,7,0,94,14.9,1149,1014,48,20,128,129,49.8
Ivan Barbashev,24,C,69,11,15,26,3,23,2.4,9,0,2,2,14,0,1,75,14.7,928,807,33,144,149,179,45.4
Mark Barberio,29,D,21,0,2,2,3,16,0.6,0,0,0,0,2,0,0,29,0.0,296,846,19,13,0,0,0.0
Aleksander Barkov,24,C,66,20,42,62,2,18,5.9,13,7,0,2,28,13,1,172,11.6,1321,1201,35,21,653,550,54.3
Tyson Barrie,28,D,70,5,34,39,-7,16,4.5,4,1,0,0,23,11,0,169,3.0,1531,1313,76,47,0,0,0.0
Mathew Barzal,22,C,68,19,41,60,5,44,6.0,15,4,0,2,33,8,0,171,11.1,1363,1203,43,22,228,320,41.6
Drake Batherson,21,C,23,3,7,10,-12,13,0.3,2,1,0,0,2,5,0,32,9.4,358,934,11,51,4,3,57.1
Jay Beagle,34,RW,55,2,6,8,-9,38,-0.5,1,0,1,1,5,0,1,49,4.1,691,754,42,69,401,277,59.1
Ethan Bear,22,D,71,5,16,21,-4,33,4.0,4,1,0,1,15,1,0,99,5.1,1560,1318,106,59,0,0,0.0
J.C. Beaudin,22,C,22,0,1,1,-4,7,-0.4,0,0,0,0,1,0,0,18,0.0,190,518,11,51,62,56,52.5
Nathan Beaulieu,27,D,38,1,7,8,15,29,2.6,1,0,0,1,7,0,0,38,2.6,646,1020,47,62,0,0,0.0
Anthony Beauvillier,22,LW,68,18,21,39,-11,15,3.5,14,3,1,3,17,4,0,132,13.6,1174,1036,36,86,9,4,69.2
Pierre-Édouard Bellemare,34,LW,69,9,13,22,2,17,1.5,7,0,2,0,11,0,2,85,10.6,926,805,46,43,419,371,53.0
Emil Bemström,20,C,56,10,10,20,-10,8,1.7,5,5,0,4,7,3,0,97,10.3,687,736,17,52,4,9,30.8
Jamie Benn,30,LW,69,19,20,39,-4,53,4.2,11,8,0,4,14,6,0,163,11.7,1134,986,57,167,244,193,55.8
Jordie Benn,32,D,44,1,6,7,-7,17,0.8,1,0,0,1,6,0,0,58,1.7,717,977,62,45,0,0,0.0
Sam Bennett,23,C,52,8,4,12,-1,36,1.0,8,0,0,0,3,1,0,82,9.8,651,751,13,101,89,83,51.7
Matt Benning,25,D,43,1,7,8,8,15,2.1,1,0,0,0,7,0,0,38,2.6,569,794,34,78,0,0,0.0
Patrice Bergeron,34,C,61,31,25,56,23,28,7.9,19,11,1,5,16,9,0,203,15.3,1143,1124,46,46,758,553,57.8
Tyler Bertuzzi,24,LW,71,21,27,48,-23,40,4.3,18,3,0,1,16,11,0,129,16.3,1371,1159,30,71,4,2,66.7
Alex Biega,31,D,49,0,3,3,-9,24,0.9,0,0,0,0,3,0,0,55,0.0,805,985,46,115,0,0,0.0
Anthony Bitetto,29,D,51,0,8,8,3,32,1.7,0,0,0,0,7,0,1,54,0.0,773,910,50,145,0,0,0.0
Anders Bjork,23,LW,58,9,10,19,5,10,1.8,8,1,0,0,10,0,0,66,13.6,750,776,21,43,2,4,33.3
Oliver Bjorkstrand,24,RW,49,21,15,36,8,12,4.9,18,3,0,5,12,3,0,162,13.0,879,1076,16,43,6,13,31.6
Colin Blackwell,26,C,27,3,7,10,7,10,1.1,3,0,0,0,7,0,0,31,9.7,296,657,23,43,37,29,56.1
Sammy Blais,23,LW,40,6,7,13,-2,20,1.0,6,0,0,1,7,0,0,56,10.7,503,755,15,155,0,0,0.0
Joseph Blandisi,25,C,21,2,3,5,-3,10,0.3,2,0,0,1,3,0,0,12,16.7,172,493,9,26,33,48,40.7
Teddy Blueger,25,C,69,9,13,22,2,25,1.4,9,0,0,2,11,0,2,102,8.8,1091,949,35,83,402,489,45.1
Brock Boeser,22,RW,57,16,29,45,4,14,4.4,11,5,0,3,20,9,0,169,9.5,1059,1114,14,28,11,19,36.7
Zach Bogosian,29,D,27,1,6,7,0,22,1.2,1,0,0,0,5,0,1,29,3.4,449,998,27,30,0,0,0.0
Nick Bonino,31,C,67,18,17,35,17,16,4.1,17,1,0,3,17,0,0,104,17.3,1107,991,89,17,488,440,52.6
Adam Boqvist,19,D,41,4,9,13,-3,6,2.0,4,0,0,1,7,2,0,50,8.0,665,973,43,33,0,0,0.0
Jesper Boqvist,21,C,35,4,0,4,-11,8,-0.2,3,1,0,0,0,0,0,41,9.8,383,657,16,37,5,11,31.3
Mark Borowiecki,30,D,53,7,11,18,1,58,3.4,6,0,1,0,11,0,0,63,11.1,951,1076,120,199,0,0,0.0
Robert Bortuzzo,30,D,42,2,4,6,12,21,2.2,2,0,0,1,4,0,0,36,5.6,551,787,43,66,0,0,0.0
Gabriel Bourque,29,LW,52,2,4,6,-1,7,0.0,2,0,0,0,4,0,0,33,6.1,447,516,40,125,2,3,40.0
Jay Bouwmeester,36,D,56,1,8,9,6,20,2.4,1,0,0,0,7,0,1,53,1.9,1208,1294,68,42,0,0,0.0
Madison Bowey,24,D,53,3,14,17,-16,34,2.3,3,0,0,0,13,1,0,70,4.3,949,1074,58,53,0,0,0.0
