Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Johnny Boychuk,36,D,64,2,9,11,-11,14,1.7,1,1,0,0,9,0,0,96,2.1,1106,1037,128,135,0,0,0.0
Travis Boyd,26,C,24,3,7,10,9,2,1.1,3,0,0,0,6,1,0,26,11.5,282,705,9,14,50,69,42.0
Brian Boyle,35,C,39,6,9,15,-5,17,1.0,5,1,0,1,9,0,0,56,10.7,483,743,34,65,197,179,52.4
Tyler Bozak,33,C,67,13,16,29,0,10,2.6,10,2,1,2,14,2,0,109,11.9,1026,919,33,32,363,297,55.0
Erik Brännström,20,D,31,0,4,4,-9,16,0.1,0,0,0,0,3,1,0,38,0.0,460,891,36,15,0,0,0.0
Derick Brassard,32,C,66,10,22,32,-2,16,2.7,7,3,0,1,15,7,0,110,9.1,904,822,24,115,197,160,55.2
Jesper Bratt,21,W,60,16,16,32,-6,6,3.4,15,1,0,2,11,5,0,101,15.8,839,839,22,29,3,10,23.1
Justin Braun,32,D,62,3,16,19,-2,18,2.9,3,0,0,0,15,1,0,70,4.3,1071,1036,84,91,0,0,0.0
T.J. Brodie,29,D,64,4,15,19,7,36,4.3,4,0,0,1,14,1,0,65,6.2,1309,1227,87,20,0,0,0.0
Jonas Brodin,26,D,69,2,26,28,15,24,5.2,2,0,0,0,23,1,2,103,1.9,1487,1293,112,41,0,0,0.0
Connor Brown,26,RW,71,16,27,43,-6,24,3.4,13,3,0,1,24,1,2,173,9.2,1428,1207,35,39,29,39,42.6
Dustin Brown,35,RW,66,17,18,35,-1,22,3.5,16,1,0,1,14,4,0,169,10.1,1215,1104,15,143,7,9,43.8
Josh Brown,26,D,56,3,5,8,1,39,1.5,3,0,0,1,5,0,0,48,6.3,751,805,53,77,0,0,0.0
Logan Brown,21,C,23,1,7,8,0,4,0.5,0,1,0,1,5,2,0,23,4.3,270,705,11,13,55,79,41.0
Pavel Buchnevich,24,LW,68,16,30,46,2,24,4.1,12,4,0,1,25,5,0,148,10.8,1151,1016,22,80,4,19,17.4
Connor Bunnaman,21,F,21,1,1,2,7,2,0.2,1,0,0,0,1,0,0,18,5.6,195,557,2,29,36,60,37.5
André Burakovsky,24,LW,58,20,25,45,11,22,5.4,18,2,0,6,16,9,0,103,19.4,882,912,34,26,5,9,35.7
Brent Burns,34,D,70,12,33,45,-22,34,6.7,7,5,0,1,20,12,1,225,5.3,1779,1525,115,72,0,0,0.0
Will Butcher,25,D,56,4,17,21,-8,6,3.1,4,0,0,1,16,1,0,62,6.5,1003,1075,75,31,0,0,0.0
Paul Byron,30,C,29,4,6,10,5,4,0.9,3,0,1,0,6,0,0,29,13.8,415,860,18,42,1,5,16.7
Drake Caggiula,25,LW,40,9,6,15,-3,32,1.5,8,1,0,0,5,0,1,56,16.1,473,709,16,81,4,10,28.6
Matt Calvert,30,LW,50,12,13,25,13,39,3.0,9,0,3,1,12,0,1,89,13.5,705,845,22,58,12,14,46.2
Brandon Carlo,23,D,67,4,15,19,16,33,4.7,4,0,0,0,15,0,0,111,3.6,1372,1229,76,126,0,0,0.0
John Carlson,30,D,69,15,60,75,12,26,10.7,13,2,0,6,36,24,0,189,7.9,1700,1478,108,55,0,1,0.0
Ryan Carpenter,29,C,69,3,12,15,-6,28,-0.1,2,0,1,0,10,0,2,80,3.8,971,844,48,117,263,347,43.1
Connor Carrick,25,D,29,1,5,6,-6,17,0.8,1,0,0,1,5,0,0,25,4.0,418,865,39,27,0,0,0.0
William Carrier,25,LW,71,7,12,19,0,39,1.4,7,0,0,1,12,0,0,99,7.1,701,592,11,213,9,5,64.3
Jeff Carter,35,C,60,17,10,27,-21,36,2.2,14,3,0,7,8,2,0,182,9.3,1016,1016,23,66,382,364,51.2
Cody Ceci,26,D,56,1,7,8,7,20,1.9,1,0,0,1,7,0,0,48,2.1,1150,1232,79,92,0,0,0.0
Erik Černák,22,D,67,5,7,12,11,59,3.2,5,0,0,1,7,0,0,125,4.0,1270,1137,97,172,0,0,0.0
Thomas Chabot,23,D,71,6,33,39,-18,42,4.6,6,0,0,0,22,11,0,186,3.2,1846,1560,85,79,0,0,0.0
Zdeno Chára,42,D,68,5,9,14,26,60,5.1,5,0,0,2,9,0,0,86,5.8,1429,1261,101,78,0,0,0.0
Ben Chiarot,28,D,69,9,12,21,5,61,4.9,9,0,0,3,12,0,0,130,6.9,1596,1388,128,152,0,0,0.0
Alex Chiasson,29,RW,65,11,13,24,-3,42,2.2,5,6,0,3,6,7,0,97,11.3,853,787,15,56,0,4,0.0
Filip Chlapík,22,C,31,3,3,6,-7,10,0.2,3,0,0,1,3,0,0,27,11.1,272,526,11,71,12,19,38.7
Dennis Cholowski,21,D,36,2,6,8,-26,6,0.1,1,1,0,1,2,4,0,51,3.9,692,1153,35,15,0,0,0.0
Jakob Chychrun,21,D,63,12,14,26,4,38,6.0,7,5,0,2,11,3,0,149,8.1,1413,1346,95,75,0,0,0.0
Filip Chytil,20,C,60,14,9,23,-7,10,1.8,13,1,0,2,7,2,0,114,12.3,890,890,31,13,198,317,38.4
Anthony Cirelli,22,C,68,16,28,44,28,30,4.7,14,1,1,3,23,4,1,113,14.2,1255,1108,47,89,434,480,47.5
Casey Cizikas,28,C,48,10,4,14,12,41,1.8,7,0,3,1,2,0,2,67,14.9,686,858,39,133,368,320,53.5
Kyle Clifford,29,LW,69,7,10,17,-7,68,1.0,7,0,0,0,10,0,0,110,6.4,772,671,15,133,6,4,60.0
Connor Clifton,24,D,31,2,0,2,4,12,1.1,2,0,0,0,0,0,0,20,10.0,447,865,33,90,0,0,0.0
Cal Clutterbuck,32,RW,37,3,4,7,6,22,0.5,2,0,1,0,3,0,1,35,8.6,497,805,38,127,4,5,44.4
Braydon Coburn,34,D,40,1,3,4,5,16,1.2,1,0,0,0,3,0,0,44,2.3,562,843,28,59,0,0,0.0
Andrew Cogliano,32,LW,68,3,11,14,2,30,0.6,3,0,0,0,11,0,0,68,4.4,848,748,31,86,17,20,45.9
Ian Cole,30,D,65,4,22,26,21,36,5.1,4,0,0,1,22,0,0,92,4.3,1150,1062,122,83,0,0,0.0
Blake Coleman,28,C,66,21,11,32,0,56,3.7,17,1,3,2,8,2,1,200,10.5,1103,1003,46,191,47,102,31.5
Blake Comeau,33,RW,55,8,8,16,-6,36,1.1,7,0,1,2,7,0,1,74,10.8,822,896,24,107,42,54,43.8
J.T. Compher,24,LW,67,11,20,31,9,18,2.6,10,1,0,3,13,4,3,106,10.4,1122,1005,60,36,341,374,47.7
Max Comtois,21,LW,29,5,6,11,-4,24,0.9,3,2,0,0,5,1,0,32,15.6,405,838,8,61,3,13,18.8
Brett Connolly,27,RW,69,19,14,33,-3,26,3.3,15,4,0,3,12,2,0,117,16.2,1000,870,17,56,6,11,35.3
Kyle Connor,23,LW,71,38,35,73,4,34,8.7,28,9,1,7,26,8,1,239,15.9,1497,1265,17,18,2,11,15.4
Andrew Copp,25,C,63,10,16,26,-3,10,1.6,9,1,0,5,13,0,3,121,8.3,1115,1062,27,59,310,275,53.0
Nick Cousins,26,C,65,10,15,25,0,35,2.2,7,3,0,0,13,2,0,115,8.7,878,811,31,91,35,38,47.9
Logan Couture,30,C,52,16,23,39,0,18,4.2,16,0,0,3,12,9,2,126,12.7,963,1112,45,54,195,248,44.0
Sean Couturier,27,C,69,22,37,59,21,30,6.6,18,4,0,4,28,9,0,185,11.9,1368,1190,26,60,543,367,59.7
Charlie Coyle,27,C,70,16,21,37,9,21,3.8,13,1,2,3,17,4,0,145,11.0,1175,1007,34,83,326,373,46.6
Sidney Crosby,32,C,41,16,31,47,-8,15,4.7,12,4,0,4,18,13,0,109,14.7,831,1216,17,28,494,394,55.6
Lawson Crouse,22,LW,66,15,10,25,0,33,2.8,14,0,1,3,10,0,0,109,13.8,896,815,29,201,24,23,51.1
Kirby Dach,19,C,64,8,15,23,-1,24,1.5,8,0,0,2,12,3,0,101,7.9,913,856,23,33,75,147,33.8
Evgenii Dadonov,30,RW,69,25,22,47,-7,10,4.8,14,11,0,2,16,6,0,167,15.0,1180,1026,24,29,0,0,0.0
Rasmus Dahlin,19,D,59,4,36,40,-7,38,5.1,2,2,0,1,19,17,0,90,4.4,1138,1158,51,72,0,0,0.0
Michael Dal Colle,23,LW,53,4,6,10,-8,12,0.1,4,0,0,0,6,0,0,59,6.8,625,708,21,81,5,2,71.4
Trevor Daley,36,D,43,0,7,7,-22,20,0.1,0,0,0,0,5,2,0,37,0.0,673,939,44,9,0,0,0.0
Phillip Danault,26,LW,71,13,34,47,18,32,4.7,12,1,0,1,31,3,0,131,9.9,1338,1131,37,119,728,608,54.5
Calvin de Haan,28,D,29,1,5,6,10,10,1.9,1,0,0,0,5,0,0,42,2.4,577,1195,73,93,0,0,0.0
Jacob de La Rose,24,LW,50,2,7,9,2,10,0.4,2,0,0,0,7,0,0,46,4.3,536,643,16,120,118,156,43.1
Anthony DeAngelo,24,D,68,15,38,53,12,47,8.4,12,3,0,3,22,16,0,149,10.1,1312,1157,57,48,0,0,0.0
Alex DeBrincat,22,RW,70,18,27,45,-10,15,3.9,8,10,0,4,21,6,0,207,8.7,1225,1050,19,58,7,13,35.0
Jake DeBrusk,23,LW,65,19,16,35,-1,14,3.8,12,7,0,5,13,3,0,161,11.8,1043,963,15,35,9,17,34.6
Michael Del Zotto,29,D,49,2,13,15,5,14,3.1,2,0,0,0,12,1,0,57,3.5,917,1123,55,101,0,0,0.0
Dylan DeMelo,26,D,59,0,10,10,4,37,2.2,0,0,0,0,8,0,2,74,0.0,1188,1209,77,105,0,0,0.0
Jason Demers,31,D,50,0,11,11,5,25,2.8,0,0,0,0,10,0,1,53,0.0,1025,1230,70,76,0,0,0.0
Travis Dermott,23,D,56,4,7,11,14,37,2.9,4,0,0,1,7,0,0,65,6.2,969,1039,58,76,0,0,0.0
Nicolas Deslauriers,28,LW,59,7,6,13,-1,92,1.1,7,0,0,1,6,0,0,64,10.9,577,587,32,137,0,0,0.0
Jason Dickinson,24,C,65,9,12,21,7,6,1.9,9,0,0,1,11,0,1,85,10.6,973,899,55,89,196,251,43.8
Brenden Dillon,29,D,69,1,13,14,-2,104,3.1,1,0,0,0,12,0,1,58,1.7,1343,1167,74,194,0,0,0.0
Noah Dobson,20,D,34,1,6,7,-1,8,1.2,1,0,0,0,5,1,0,37,2.7,451,797,31,25,0,0,0.0
Max Domi,24,LW,71,17,27,44,-3,35,4.2,16,1,0,3,17,10,0,179,9.5,1214,1026,13,32,385,403,48.9
Ryan Donato,23,C,62,14,9,23,5,12,2.8,14,0,0,1,7,2,0,95,14.7,659,638,14,53,40,62,39.2
Joonas Donskoi,27,RW,65,16,17,33,2,26,3.1,12,4,0,2,16,1,0,111,14.4,1056,975,38,25,9,12,42.9
Drew Doughty,30,D,67,7,28,35,-16,36,5.4,2,5,0,2,18,9,1,141,5.0,1730,1549,87,106,0,0,0.0
Nic Dowd,29,C,56,7,8,15,11,28,1.5,4,0,3,1,8,0,0,52,13.5,607,650,26,117,274,277,49.7
Justin Dowling,29,C,29,3,3,6,-3,8,0.4,3,0,0,1,3,0,0,29,10.3,318,657,12,25,42,54,43.8
Leon Draisaitl,24,C,71,43,67,110,-7,18,12.8,27,16,0,10,39,28,0,218,19.7,1605,1357,19,27,662,608,52.1
Jonathan Drouin,24,LW,27,7,8,15,-6,14,1.4,6,1,0,1,5,3,0,51,13.7,424,942,5,25,4,8,33.3
Dillon Dubé,21,C,45,6,10,16,0,6,1.4,5,1,0,2,9,1,0,60,10.0,571,761,13,59,0,2,0.0
Pierre-Luc Dubois,21,LW,70,18,31,49,-2,49,5.0,17,1,0,4,22,9,0,158,11.4,1255,1076,50,85,359,446,44.6
Matt Duchene,29,C,66,13,29,42,-4,24,3.5,8,5,0,1,23,6,0,136,9.6,1114,1013,22,40,390,305,56.1
Anthony Duclair,24,LW,66,23,17,40,-5,18,4.5,16,5,2,2,14,3,0,184,12.5,1073,976,39,53,3,3,50.0
Mathew Dumba,25,D,69,6,18,24,-7,41,3.6,5,1,0,1,10,7,1,167,3.6,1552,1350,88,98,0,0,0.0
Brian Dumoulin,28,D,28,1,7,8,17,10,2.7,0,0,1,0,6,1,0,35,2.9,590,1263,35,44,0,0,0.0
Vince Dunn,23,D,71,9,14,23,15,27,5.3,5,4,0,1,8,6,0,138,6.5,1155,976,47,50,0,0,0.0
Christian Dvorak,23,C,70,18,20,38,6,12,4.3,12,6,0,2,16,4,0,134,13.4,1169,1002,36,39,523,426,55.1
Ryan Dzingel,27,C,64,8,21,29,3,30,2.3,4,4,0,1,16,5,0,98,8.2,906,849,25,36,9,20,31.0
Cody Eakin,28,C,49,5,10,15,-3,16,0.7,5,0,0,1,9,1,0,61,8.2,714,875,16,49,311,330,48.5
Jordan Eberle,29,RW,58,16,24,40,1,12,4.1,12,4,0,1,17,7,0,136,11.8,1033,1069,39,37,3,6,33.3
Alexander Edler,33,D,59,5,28,33,13,62,5.8,4,1,0,1,22,6,0,118,4.2,1334,1357,162,108,0,0,0.0
Joel Edmundson,26,D,68,7,13,20,7,72,4.3,7,0,0,0,13,0,0,97,7.2,1255,1107,91,118,0,0,0.0
Nikolaj Ehlers,23,LW,71,25,33,58,14,30,6.8,21,3,1,5,31,2,0,203,12.3,1173,991,28,36,0,2,0.0
Christoffer Ehn,23,C,54,2,2,4,-21,2,-0.9,2,0,0,0,2,0,0,36,5.6,562,625,18,59,96,130,42.5
Jack Eichel,23,C,68,36,42,78,5,34,9.5,24,11,1,9,26,16,0,227,15.9,1503,1326,42,40,615,696,46.9
Aaron Ekblad,23,D,67,5,36,41,12,26,6.2,5,0,0,1,29,6,1,147,3.4,1539,1379,84,34,0,0,0.0
Mattias Ekholm,29,D,68,8,25,33,-1,32,4.9,7,0,1,2,19,5,1,154,5.2,1589,1402,100,49,0,0,0.0
Oliver Ekman-Larsson,28,D,66,9,21,30,-3,38,5.7,6,2,1,1,16,5,0,135,6.7,1519,1381,65,129,0,0,0.0
Lars Eller,30,C,69,16,23,39,3,48,3.6,13,2,1,1,18,4,1,151,10.6,1174,1021,44,59,536,497,51.9
Ryan Ellis,29,D,49,8,30,38,16,19,6.5,6,2,0,3,23,7,0,114,7.0,1152,1410,96,48,0,0,0.0
Deryk Engelland,37,D,49,1,5,6,6,37,1.8,1,0,0,1,4,0,1,59,1.7,860,1053,86,114,0,0,0.0
Andreas Englund,24,D,24,0,3,3,-8,12,-0.1,0,0,0,0,3,0,0,10,0.0,262,654,16,58,0,0,0.0
Pierre Engvall,23,LW,48,8,7,15,4,6,1.4,7,0,1,3,6,0,1,72,11.1,573,716,10,29,41,64,39.0
Tyler Ennis,30,C,70,16,21,37,-6,20,3.5,11,5,0,1,16,5,0,159,10.1,1030,883,26,96,7,8,46.7
Loui Eriksson,34,LW,49,6,7,13,-2,12,0.8,6,0,0,0,7,0,0,59,10.2,606,742,15,10,2,0,100.0
Joel Eriksson Ek,23,C,62,8,21,29,7,22,2.3,7,1,0,4,20,0,1,102,7.8,974,943,43,93,367,428,46.2
Adam Erne,24,LW,56,2,3,5,-24,28,-1.0,2,0,0,0,3,0,0,63,3.2,662,709,25,142,20,13,60.6
Robby Fabbri,24,C,61,15,17,32,-33,20,2.2,9,6,0,3,14,3,0,111,13.5,985,969,14,75,27,40,40.3
Dante Fabbro,21,D,64,5,6,11,-7,38,1.7,4,1,0,0,6,0,0,92,5.4,1218,1142,85,54,0,0,0.0
Radek Faksa,26,C,66,11,9,20,-6,42,1.4,8,3,0,3,9,0,0,109,10.1,1049,953,44,84,404,407,49.8
Oscar Fantenberg,28,D,36,1,5,6,-10,6,0.4,1,0,0,0,4,1,0,45,2.2,573,955,62,67,0,0,0.0
Joel Farabee,19,LW,52,8,13,21,6,39,1.9,7,1,0,1,12,1,0,81,9.9,733,846,18,31,3,7,30.0
Jesper Fast,28,RW,69,12,17,29,16,20,2.5,10,0,2,1,17,0,0,84,14.3,1146,996,53,125,9,17,34.6
Justin Faulk,27,D,69,5,11,16,-3,32,3.0,4,1,0,1,8,2,1,147,3.4,1419,1234,76,82,0,0,0.0
Taylor Fedun,31,D,27,2,7,9,3,8,1.9,2,0,0,0,7,0,0,40,5.0,371,825,19,16,0,0,0.0
Mario Ferraro,21,D,61,2,9,11,-15,30,1.6,2,0,0,0,8,0,1,63,3.2,969,953,58,120,0,0,0.0
Kevin Fiala,23,LW,64,23,31,54,-1,42,6.0,14,9,0,4,22,9,0,175,13.1,986,924,18,25,2,7,22.2
Valtteri Filppula,35,C,70,6,15,21,-42,24,-0.4,4,1,1,0,11,4,0,63,9.5,1163,997,31,28,324,398,44.9
Christian Fischer,22,RW,56,6,3,9,2,16,0.7,6,0,0,1,3,0,0,83,7.2,617,661,22,140,3,8,27.3
Cale Fleury,21,D,41,1,0,1,-4,6,0.4,1,0,0,0,0,0,0,45,2.2,588,861,45,102,0,0,0.0
Haydn Fleury,23,D,45,4,10,14,-2,8,2.2,4,0,0,0,9,0,1,65,6.2,615,820,45,48,0,0,0.0
Warren Foegele,23,LW,68,13,17,30,9,34,3.1,10,0,3,1,17,0,0,129,10.1,932,823,17,64,18,21,46.2
Marcus Foligno,28,LW,59,11,14,25,8,30,2.4,11,0,0,0,14,0,0,86,12.8,861,875,36,184,9,15,37.5
Nick Foligno,32,LW,67,10,21,31,-3,62,2.3,8,2,0,1,18,2,1,131,7.6,1251,1120,50,212,159,160,49.8
Filip Forsberg,25,C,63,21,27,48,-7,29,4.8,14,7,0,2,20,7,0,198,10.6,1093,1041,27,82,1,2,33.3
Cam Fowler,28,D,59,9,20,29,0,20,5.3,7,2,0,2,14,6,0,117,7.7,1297,1319,58,25,0,0,0.0
Adam Fox,21,D,70,8,34,42,22,32,7.4,7,1,0,4,22,12,0,125,6.4,1323,1134,92,35,0,0,0.0
Michael Frolík,31,LW,57,6,8,14,-12,28,0.5,4,0,2,1,7,0,1,70,8.6,709,746,22,32,6,15,28.6
Sam Gagner,30,C,42,6,7,13,-10,12,0.7,4,2,0,0,6,1,0,79,7.6,561,801,10,22,45,57,44.1
Alex Galchenyuk,25,C,59,8,16,24,-5,16,1.8,6,2,0,0,11,5,0,86,9.3,726,738,17,52,67,64,51.1
Brendan Gallagher,27,RW,59,22,21,43,9,29,5.5,21,1,0,1,17,4,0,226,9.7,998,1015,29,53,12,17,41.4
Dylan Gambrell,23,C,50,5,6,11,-8,17,0.5,5,0,0,1,5,1,0,43,11.6,598,717,29,40,170,200,45.9
Jake Gardiner,29,D,68,4,20,24,-24,30,2.0,3,1,0,2,10,10,0,87,4.6,1133,1000,42,43,0,0,0.0
Conor Garland,23,RW,68,22,17,39,1,20,4.9,18,4,0,5,11,6,0,158,13.9,962,849,20,26,4,7,36.4
Adam Gaudette,23,C,59,12,21,33,-7,37,3.0,8,4,0,1,13,8,0,75,16.0,731,743,20,29,187,267,41.2
Johnny Gaudreau,26,LW,70,18,40,58,-10,12,5.4,12,6,0,2,28,12,0,209,8.6,1315,1127,11,1,1,3,25.0
Frederik Gauthier,24,C,61,7,5,12,-4,10,0.7,7,0,0,0,5,0,0,42,16.7,573,563,23,66,208,172,54.7
Vladislav Gavrikov,24,D,69,5,13,18,1,18,4.3,5,0,0,1,13,0,0,81,6.2,1310,1139,92,79,0,0,0.0
Nathan Gerbe,32,C,30,4,6,10,-7,22,0.6,4,0,0,0,6,0,0,55,7.3,413,825,8,46,6,6,50.0
Ryan Getzlaf,34,C,69,13,29,42,-16,58,3.1,10,3,0,5,23,6,0,143,9.1,1292,1124,69,125,530,504,51.3
Dennis Gilbert,23,D,21,1,2,3,-8,38,0.0,1,0,0,0,2,0,0,12,8.3,330,942,33,74,0,0,0.0
Mark Giordano,36,D,60,5,26,31,2,34,5.4,3,2,0,0,15,9,2,157,3.2,1433,1433,148,42,0,0,0.0
