player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Justin Abdelkader,32,LW,49,0,3,3,-14,25,-0.9,0,0,0,0,3,0,0,40,0.0,565,692,26,103,38,31,55.1,188,0,42,3.53,40,76,61,0.37,4.25,8.07,6.48,213.0,287.0,42.6,399.0,533.0,42.81,308.0,392.0,44.0,17.7,29.65,37.38,29,7,1,4250000,0.0521472392638036
Noel Acciari,28,C,66,20,7,27,2,21,2.9,19,0,1,5,7,0,0,108,18.5,1054,958,103,121,381,414,47.9,178,1,300,11.75,108,189,142,0.67,6.16,10.78,8.1,475.0,630.0,42.99,832.0,1210.0,40.74,630.0,858.0,42.34,39.18,60.36,39.36,27,3,1,1666667,0.0204499018404907
Sebastian Aho,22,F,68,38,28,66,10,26,8.6,26,8,4,5,18,9,1,206,18.4,1321,1165,20,55,409,480,46.0,183,0,35,33.11,206,333,268,1.5,9.36,15.13,12.18,880.0,589.0,59.9,1566.0,1020.0,60.56,1190.0,824.0,59.09,99.13,69.79,58.68,21,5,0,8454000,0.1037300613496932
Josh Anderson,25,RW,26,1,3,4,-8,17,-0.4,1,0,0,0,3,0,0,63,1.6,418,964,13,68,7,12,36.8,191,1,95,6.44,63,98,83,0.93,9.05,14.08,11.93,221.0,221.0,50.0,373.0,406.0,47.88,300.0,296.0,50.34,19.55,17.7,52.48,23,3,0,1850000,0.0226993865030674
Artem Anisimov,31,C,49,15,5,20,-15,8,1.9,10,5,0,1,4,1,0,87,17.2,679,831,25,6,185,185,50.0,193,0,54,11.87,87,177,135,1.05,7.69,15.65,11.94,333.0,356.0,48.33,674.0,650.0,50.91,480.0,493.0,49.33,31.78,30.94,50.67,27,5,1,4550000,0.0558282208588957
Josh Archibald,27,RW,62,12,9,21,-8,12,1.8,10,0,2,3,8,0,1,64,18.8,820,794,44,165,0,2,0.0,178,1,174,9.01,64,119,97,0.66,4.68,8.69,7.09,303.0,509.0,37.32,558.0,963.0,36.69,428.0,692.0,38.21,27.48,46.85,36.97,26,1,1,1000000,0.0122699386503067
Joel Armia,26,RW,58,16,14,30,2,28,3.2,10,3,3,2,12,1,1,155,10.3,999,1034,25,146,4,7,36.4,193,1,16,16.87,155,265,207,1.01,9.31,15.91,12.43,542.0,529.0,50.61,1015.0,928.0,52.24,761.0,724.0,51.25,51.24,49.8,50.71,26,2,0,2600000,0.0319018404907975
Viktor Arvidsson,26,LW,57,15,13,28,-4,26,2.6,11,4,0,1,9,4,0,127,11.8,924,972,24,27,11,8,57.9,175,1,112,14.06,127,263,198,0.91,8.25,17.09,12.87,532.0,451.0,54.12,1033.0,810.0,56.05,770.0,619.0,55.44,48.84,45.19,51.94,24,7,0,4250000,0.0521472392638036
Zach Aston-Reese,25,C,57,6,7,13,6,28,0.8,5,0,1,0,7,0,0,98,6.1,822,866,30,136,7,16,30.4,183,0,300,10.56,98,157,132,0.77,7.16,11.47,9.64,364.0,373.0,49.39,643.0,703.0,47.77,477.0,525.0,47.6,30.2,28.55,51.4,24,2,0,1000000,0.0122699386503067
Andreas Athanasiou,25,C,55,11,15,26,-46,30,0.8,8,3,0,2,11,4,0,129,8.5,871,951,24,36,43,60,41.7,188,0,110,13.66,129,208,175,0.94,8.88,14.32,12.05,448.0,438.0,50.56,769.0,759.0,50.33,624.0,589.0,51.44,42.5,46.62,47.69,23,2,0,3000000,0.0368098159509202
Cam Atkinson,30,RW,44,12,14,26,2,6,2.9,9,3,0,2,9,5,0,148,8.1,785,1071,21,18,27,30,47.4,173,1,157,11.68,148,220,179,0.89,11.31,16.8,13.68,452.0,371.0,54.92,743.0,701.0,51.45,579.0,521.0,52.64,37.04,32.08,53.59,29,7,1,5875000,0.0720858895705521
David Backes,35,C,22,1,5,6,-1,22,0.4,0,1,0,1,5,0,0,34,2.9,207,564,8,38,27,44,38.0,191,1,62,2.54,34,50,45,0.74,9.86,14.51,13.06,112.0,99.0,53.08,198.0,186.0,51.56,156.0,137.0,53.24,8.03,5.87,57.8,32,5,1,6000000,0.0736196319018405
