player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Mikael Backlund,30,C,70,16,29,45,3,26,4.4,10,3,3,3,22,7,0,157,10.2,1256,1077,11,44,368,410,47.3,183,0,24,18.91,157,285,223,0.9,7.5,13.62,10.66,672.0,655.0,50.64,1227.0,1211.0,50.33,926.0,935.0,49.76,63.38,62.65,50.29,29,6,1,5350000,0.0656441717791411
Nicklas Bäckström,32,C,61,12,42,54,-1,14,4.6,10,2,0,0,26,16,0,132,9.1,1160,1141,45,30,516,532,49.2,185,0,4,13.25,132,220,173,0.69,6.83,11.39,8.94,769.0,528.0,59.29,1405.0,943.0,59.84,1073.0,707.0,60.28,82.94,51.94,61.49,22,10,0,6700000,0.0822085889570552
Josh Bailey,30,C,68,14,29,43,-12,10,3.5,11,2,1,2,22,7,0,94,14.9,1149,1014,48,20,128,129,49.8,185,0,9,10.93,94,161,122,0.56,4.91,8.41,6.37,522.0,609.0,46.15,1004.0,1164.0,46.31,727.0,848.0,46.16,56.72,55.97,50.33,28,6,1,5000000,0.0613496932515337
Ivan Barbashev,24,C,69,11,15,26,3,23,2.4,9,0,2,2,14,0,1,75,14.7,928,807,33,144,149,179,45.4,183,0,33,10.14,76,133,113,0.66,4.91,8.6,7.3,404.0,507.0,44.35,707.0,905.0,43.86,539.0,690.0,43.86,33.71,49.23,40.64,23,2,0,1475000,0.0180981595092024
Mark Barberio,29,D,21,0,2,2,3,16,0.6,0,0,0,0,2,0,0,29,0.0,296,846,19,13,0,0,0.0,185,0,152,0.85,29,46,32,0.17,5.88,9.32,6.48,147.0,156.0,48.51,280.0,307.0,47.7,200.0,222.0,47.39,9.3,12.36,42.94,28,2,1,1450000,0.0177914110429447
Aleksander Barkov,24,C,66,20,42,62,2,18,5.9,13,7,0,2,28,13,1,172,11.6,1321,1201,35,21,653,550,54.3,191,0,2,20.38,172,267,228,0.93,7.81,12.13,10.36,847.0,683.0,55.36,1481.0,1122.0,56.9,1124.0,895.0,55.67,81.06,70.51,53.48,20,6,0,5900000,0.0723926380368098
Tyson Barrie,28,D,70,5,34,39,-7,16,4.5,4,1,0,0,23,11,0,169,3.0,1531,1313,76,47,0,0,0.0,180,1,64,7.07,169,373,234,0.28,6.62,14.61,9.17,925.0,755.0,55.06,1748.0,1312.0,57.12,1299.0,1039.0,55.56,84.27,72.7,53.69,24,4,0,5500000,0.0674846625766871
Jay Beagle,34,RW,55,2,6,8,-9,38,-0.5,1,0,1,1,5,0,1,49,4.1,691,754,42,69,401,277,59.1,191,1,300,5.2,49,73,67,0.45,4.25,6.34,5.82,237.0,490.0,32.6,395.0,938.0,29.63,319.0,663.0,32.47,19.42,45.43,29.95,32,4,1,3000000,0.0368098159509202
Nathan Beaulieu,27,D,38,1,7,8,15,29,2.6,1,0,0,1,7,0,0,38,2.6,646,1020,47,62,0,0,0.0,188,0,17,1.14,38,75,55,0.11,3.53,6.97,5.11,275.0,382.0,41.86,475.0,726.0,39.54,370.0,542.0,40.57,19.59,33.83,36.67,26,1,1,1000000,0.0122699386503067
Anthony Beauvillier,22,LW,68,18,21,39,-11,15,3.5,14,3,1,3,17,4,0,132,13.6,1174,1036,36,86,9,4,69.2,180,0,28,17.82,132,235,189,0.91,6.75,12.01,9.66,612.0,575.0,51.56,1106.0,1113.0,49.84,824.0,822.0,50.06,56.75,49.27,53.53,22,2,0,2100000,0.0257668711656441
Pierre-Édouard Bellemare,34,LW,69,9,13,22,2,17,1.5,7,0,2,0,11,0,2,85,10.6,926,805,46,43,419,371,53.0,183,0,300,5.96,85,138,107,0.39,5.51,8.94,6.93,431.0,484.0,47.1,795.0,933.0,46.01,577.0,676.0,46.05,33.11,45.95,41.89,34,2,1,1800000,0.0220858895705521
Jamie Benn,30,LW,69,19,20,39,-4,53,4.2,11,8,0,4,14,6,0,163,11.7,1134,986,57,167,244,193,55.8,188,0,129,20.59,164,280,230,1.09,8.68,14.81,12.17,685.0,551.0,55.42,1277.0,982.0,56.53,949.0,735.0,56.35,73.12,45.37,61.71,27,8,1,9500000,0.1165644171779141
Jordie Benn,32,D,44,1,6,7,-7,17,0.8,1,0,0,1,6,0,0,58,1.7,717,977,62,45,0,0,0.0,188,0,300,1.32,58,115,76,0.11,4.86,9.63,6.36,297.0,461.0,39.18,524.0,823.0,38.9,413.0,610.0,40.36,22.66,40.08,36.11,31,2,1,2000000,0.0245398773006134
Sam Bennett,23,C,52,8,4,12,-1,36,1.0,8,0,0,0,3,1,0,82,9.8,651,751,13,101,89,83,51.7,185,0,4,8.78,82,150,119,0.81,7.56,13.83,10.97,335.0,335.0,50.0,643.0,593.0,52.02,473.0,454.0,51.02,32.69,25.08,56.59,23,2,0,2550000,0.0312883435582822
Patrice Bergeron,34,C,61,31,25,56,23,28,7.9,19,11,1,5,16,9,0,203,15.3,1143,1124,46,46,758,553,57.8,185,1,45,23.93,203,326,268,1.26,10.66,17.12,14.08,754.0,497.0,60.27,1325.0,888.0,59.87,1012.0,683.0,59.71,83.27,47.16,63.84,28,8,1,6875000,0.0843558282208589
Tyler Bertuzzi,24,LW,71,21,27,48,-23,40,4.3,18,3,0,1,16,11,0,129,16.3,1371,1159,30,71,4,2,66.7,185,0,58,19.95,129,222,184,0.87,5.65,9.73,8.06,761.0,701.0,52.05,1380.0,1141.0,54.74,1051.0,898.0,53.93,73.73,71.22,50.87,23,2,0,1400000,0.0171779141104294
Alex Biega,31,D,49,0,3,3,-9,24,0.9,0,0,0,0,3,0,0,55,0.0,805,985,46,115,0,0,0.0,178,1,147,2.04,55,123,89,0.15,4.09,9.17,6.64,322.0,458.0,41.28,591.0,783.0,43.01,462.0,617.0,42.82,24.13,39.0,38.22,30,2,1,825000,0.010122699386503
Oliver Bjorkstrand,24,RW,49,21,15,36,8,12,4.9,18,3,0,5,12,3,0,162,13.0,879,1076,16,43,6,13,31.6,183,1,89,15.83,162,277,220,1.08,11.06,18.91,15.01,550.0,365.0,60.11,962.0,678.0,58.66,745.0,492.0,60.23,46.59,27.0,63.31,23,3,0,2500000,0.0306748466257668
Teddy Blueger,25,C,69,9,13,22,2,25,1.4,9,0,0,2,11,0,2,102,8.8,1091,949,35,83,402,489,45.1,183,0,52,8.71,102,157,126,0.48,5.61,8.63,6.93,438.0,545.0,44.56,801.0,955.0,45.62,593.0,726.0,44.96,36.61,44.12,45.36,24,2,0,750000,0.00920245398773
Brock Boeser,22,RW,57,16,29,45,4,14,4.4,11,5,0,3,20,9,0,169,9.5,1059,1114,14,28,11,19,36.7,185,1,23,17.68,169,282,218,1.0,9.58,15.98,12.36,656.0,435.0,60.13,1219.0,767.0,61.38,921.0,569.0,61.81,61.82,42.55,59.23,22,3,0,5875000,0.0720858895705521
Zach Bogosian,29,D,27,1,6,7,0,22,1.2,1,0,0,0,5,0,1,29,3.4,449,998,27,30,0,0,0.0,191,1,3,1.49,29,55,39,0.2,3.89,7.37,5.23,194.0,252.0,43.5,340.0,435.0,43.87,261.0,345.0,43.07,14.8,22.11,40.1,22,7,0,5142857,0.0631025398773006
Zach Bogosian,29,D,27,1,6,7,0,22,1.2,1,0,0,0,5,0,1,29,3.4,449,998,27,30,0,0,0.0,191,1,3,1.49,29,55,39,0.2,3.89,7.37,5.23,194.0,252.0,43.5,340.0,435.0,43.87,261.0,345.0,43.07,14.8,22.11,40.1,28,1,1,1300000,0.0159509202453987
Nick Bonino,31,C,67,18,17,35,17,16,4.1,17,1,0,3,17,0,0,104,17.3,1107,991,89,17,488,440,52.6,185,0,173,12.67,104,169,142,0.69,5.64,9.16,7.7,578.0,598.0,49.15,999.0,1163.0,46.21,785.0,843.0,48.22,57.04,56.62,50.18,29,4,1,4100000,0.0503067484662576
Mark Borowiecki,30,D,53,7,11,18,1,58,3.4,6,0,1,0,11,0,0,63,11.1,951,1076,120,199,0,0,0.0,188,0,139,2.5,63,117,89,0.16,3.98,7.38,5.62,422.0,555.0,43.19,732.0,1107.0,39.79,584.0,788.0,42.57,39.22,49.97,43.98,28,2,1,1200000,0.014723926380368
Robert Bortuzzo,30,D,42,2,4,6,12,21,2.2,2,0,0,1,4,0,0,36,5.6,551,787,43,66,0,0,0.0,193,1,78,1.6,36,65,50,0.17,3.92,7.08,5.44,237.0,306.0,43.65,400.0,550.0,42.11,316.0,434.0,42.13,17.93,30.89,36.72,30,3,1,1375000,0.0168711656441717
Madison Bowey,24,D,53,3,14,17,-16,34,2.3,3,0,0,0,13,1,0,70,4.3,949,1074,58,53,0,0,0.0,188,1,53,3.12,70,133,100,0.2,4.43,8.41,6.32,393.0,537.0,42.26,689.0,939.0,42.32,541.0,737.0,42.33,32.69,54.19,37.63,23,2,0,1000000,0.0122699386503067
Johnny Boychuk,36,D,64,2,9,11,-11,14,1.7,1,1,0,0,9,0,0,96,2.1,1106,1037,128,135,0,0,0.0,188,1,61,3.12,96,212,139,0.17,5.21,11.5,7.54,476.0,672.0,41.46,907.0,1304.0,41.02,667.0,940.0,41.51,46.01,63.01,42.2,31,7,1,6000000,0.0736196319018405
Travis Boyd,26,C,24,3,7,10,9,2,1.1,3,0,0,0,6,1,0,26,11.5,282,705,9,14,50,69,42.0,183,1,177,2.47,26,36,34,0.53,5.53,7.66,7.23,137.0,112.0,55.02,255.0,206.0,55.31,189.0,159.0,54.31,10.84,11.73,48.03,24,2,0,800000,0.0098159509202454
Brian Boyle,35,C,39,6,9,15,-5,17,1.0,5,1,0,1,9,0,0,56,10.7,483,743,34,65,197,179,52.4,198,0,26,5.86,56,100,84,0.73,6.96,12.43,10.44,217.0,262.0,45.3,393.0,498.0,44.11,300.0,368.0,44.91,18.66,22.93,44.87,34,1,1,940000,0.0115337423312883
Tyler Bozak,33,C,67,13,16,29,0,10,2.6,10,2,1,2,14,2,0,109,11.9,1026,919,33,32,363,297,55.0,185,1,300,10.84,109,158,131,0.63,6.37,9.24,7.66,521.0,483.0,51.89,912.0,871.0,51.15,681.0,670.0,50.41,46.93,42.42,52.52,32,3,1,5000000,0.0613496932515337
Derick Brassard,32,C,66,10,22,32,-2,16,2.7,7,3,0,1,15,7,0,110,9.1,904,822,24,115,197,160,55.2,185,0,6,10.85,110,182,136,0.72,7.3,12.08,9.02,486.0,448.0,52.03,850.0,838.0,50.36,637.0,620.0,50.68,44.19,37.2,54.29,31,1,1,1200000,0.014723926380368
Justin Braun,32,D,62,3,16,19,-2,18,2.9,3,0,0,0,15,1,0,70,4.3,1071,1036,84,91,0,0,0.0,188,1,201,2.29,70,147,96,0.13,3.92,8.24,5.38,496.0,521.0,48.77,879.0,956.0,47.9,648.0,716.0,47.51,39.26,45.84,46.13,27,5,1,3800000,0.0466257668711656
Jonas Brodin,26,D,69,2,26,28,15,24,5.2,2,0,0,0,23,1,2,103,1.9,1487,1293,112,41,0,0,0.0,185,0,10,3.53,103,194,141,0.14,4.16,7.83,5.69,666.0,725.0,47.88,1204.0,1397.0,46.29,917.0,1009.0,47.61,55.42,55.53,49.95,21,6,0,4166667,0.0511247484662576
Connor Brown,26,RW,71,16,27,43,-6,24,3.4,13,3,0,1,24,1,2,173,9.2,1428,1207,35,39,29,39,42.6,183,1,156,18.73,173,287,238,0.79,7.27,12.06,10.0,701.0,803.0,46.61,1306.0,1474.0,46.98,997.0,1101.0,47.52,72.56,73.98,49.52,23,3,0,2100000,0.0257668711656441
Dustin Brown,35,RW,66,17,18,35,-1,22,3.5,16,1,0,1,14,4,0,169,10.1,1215,1104,15,143,7,9,43.8,183,1,13,18.63,169,292,235,0.92,8.35,14.42,11.61,664.0,564.0,54.07,1237.0,1027.0,54.64,939.0,793.0,54.21,60.27,56.67,51.54,29,8,1,5875000,0.0720858895705521
Pavel Buchnevich,24,LW,68,16,30,46,2,24,4.1,12,4,0,1,25,5,0,148,10.8,1151,1016,22,80,4,19,17.4,191,0,75,17.5,148,254,203,0.91,7.71,13.24,10.58,693.0,521.0,57.08,1251.0,985.0,55.95,958.0,737.0,56.52,70.86,52.77,57.32,24,2,0,3250000,0.0398773006134969
André Burakovsky,24,LW,58,20,25,45,11,22,5.4,18,2,0,6,16,9,0,103,19.4,882,912,34,26,5,9,35.7,191,0,23,9.63,103,184,135,0.66,7.01,12.53,9.19,550.0,457.0,54.62,1021.0,756.0,57.46,742.0,583.0,56.0,45.35,35.54,56.06,24,1,0,3250000,0.0398773006134969
Brent Burns,34,D,70,12,33,45,-22,34,6.7,7,5,0,1,20,12,1,225,5.3,1779,1525,115,72,0,0,0.0,196,1,20,11.55,225,517,324,0.39,7.6,17.45,10.94,917.0,939.0,49.41,1749.0,1674.0,51.1,1277.0,1265.0,50.24,92.24,99.13,48.2,32,8,1,8000000,0.0981595092024539
Will Butcher,25,D,56,4,17,21,-8,6,3.1,4,0,0,1,16,1,0,62,6.5,1003,1075,75,31,0,0,0.0,178,0,123,3.33,62,148,104,0.2,3.72,8.86,6.23,530.0,532.0,49.91,947.0,989.0,48.92,740.0,739.0,50.03,42.36,43.3,49.45,24,3,0,3733333,0.0458077668711656
Paul Byron,30,C,29,4,6,10,5,4,0.9,3,0,1,0,6,0,0,29,13.8,415,860,18,42,1,5,16.7,175,0,179,3.78,29,46,41,0.55,4.19,6.64,5.92,201.0,224.0,47.29,388.0,408.0,48.74,275.0,305.0,47.41,17.64,20.17,46.67,30,4,1,3400000,0.0417177914110429
Drake Caggiula,25,LW,40,9,6,15,-3,32,1.5,8,1,0,0,5,0,1,56,16.1,473,709,16,81,4,10,28.6,178,0,300,6.91,56,85,74,0.88,7.11,10.79,9.39,229.0,278.0,45.17,424.0,474.0,47.22,316.0,359.0,46.81,21.93,22.73,49.1,24,2,0,1500000,0.0184049079754601
Matt Calvert,30,LW,50,12,13,25,13,39,3.0,9,0,3,1,12,0,1,89,13.5,705,845,22,58,12,14,46.2,180,0,127,8.57,89,141,104,0.73,7.58,12.01,8.86,367.0,398.0,47.97,633.0,704.0,47.34,471.0,526.0,47.24,29.59,36.09,45.05,28,3,1,2850000,0.0349693251533742
Brandon Carlo,23,D,67,4,15,19,16,33,4.7,4,0,0,0,15,0,0,111,3.6,1372,1229,76,126,0,0,0.0,196,1,37,4.01,111,180,141,0.18,4.86,7.88,6.17,616.0,741.0,45.39,1084.0,1323.0,45.04,834.0,1036.0,44.6,50.89,64.76,44.0,22,2,0,2850000,0.0349693251533742
John Carlson,30,D,69,15,60,75,12,26,10.7,13,2,0,6,36,24,0,189,7.9,1700,1478,108,55,0,1,0.0,191,1,27,11.33,189,369,272,0.4,6.67,13.03,9.6,1024.0,840.0,54.94,1854.0,1494.0,55.38,1433.0,1128.0,55.95,109.57,84.52,56.45,28,8,1,8000000,0.0981595092024539
Ryan Carpenter,29,C,69,3,12,15,-6,28,-0.1,2,0,1,0,10,0,2,80,3.8,971,844,48,117,263,347,43.1,183,1,300,9.63,80,127,111,0.6,4.94,7.85,6.86,434.0,564.0,43.49,729.0,1025.0,41.56,558.0,755.0,42.5,33.86,53.75,38.65,28,3,1,1000000,0.0122699386503067
Connor Carrick,25,D,29,1,5,6,-6,17,0.8,1,0,0,1,5,0,0,25,4.0,418,865,39,27,0,0,0.0,180,1,137,0.74,25,51,34,0.11,3.59,7.32,4.88,171.0,259.0,39.77,303.0,461.0,39.65,228.0,351.0,39.38,14.07,21.05,40.06,25,2,0,1500000,0.0184049079754601
William Carrier,25,LW,71,7,12,19,0,39,1.4,7,0,0,1,12,0,0,99,7.1,701,592,11,213,9,5,64.3,188,0,57,9.65,99,158,131,0.83,8.47,13.52,11.21,379.0,333.0,53.23,679.0,587.0,53.63,520.0,437.0,54.34,33.36,26.13,56.08,23,2,0,725000,0.0088957055214723
Jeff Carter,35,C,60,17,10,27,-21,36,2.2,14,3,0,7,8,2,0,182,9.3,1016,1016,23,66,382,364,51.2,191,1,11,17.37,182,292,253,1.03,10.75,17.23,14.94,602.0,524.0,53.46,1088.0,943.0,53.57,839.0,739.0,53.17,53.08,58.13,47.73,25,11,0,5272727,0.0646960368098159
Cody Ceci,26,D,56,1,7,8,7,20,1.9,1,0,0,1,7,0,0,48,2.1,1150,1232,79,92,0,0,0.0,188,1,15,2.4,48,117,82,0.13,2.5,6.1,4.28,499.0,670.0,42.69,960.0,1228.0,43.88,712.0,941.0,43.07,47.23,57.39,45.14,25,1,0,4500000,0.0552147239263803
Ben Chiarot,28,D,69,9,12,21,5,61,4.9,9,0,0,3,12,0,0,130,6.9,1596,1388,128,152,0,0,0.0,191,0,120,6.35,130,294,186,0.24,4.88,11.05,6.99,847.0,900.0,48.48,1569.0,1644.0,48.83,1166.0,1246.0,48.34,71.64,86.95,45.17,28,3,1,3500000,0.0429447852760736
Alex Chiasson,29,RW,65,11,13,24,-3,42,2.2,5,6,0,3,6,7,0,97,11.3,853,787,15,56,0,4,0.0,193,1,38,13.24,97,158,132,0.93,6.82,11.11,9.27,467.0,354.0,56.88,889.0,669.0,57.06,643.0,504.0,56.06,47.84,30.78,60.85,28,2,1,2150000,0.0263803680981595
Jakob Chychrun,21,D,63,12,14,26,4,38,6.0,7,5,0,2,11,3,0,149,8.1,1413,1346,95,75,0,0,0.0,188,0,16,7.66,149,309,217,0.33,6.33,13.12,9.21,745.0,668.0,52.72,1336.0,1289.0,50.9,1014.0,946.0,51.73,62.65,60.22,50.99,21,6,0,4600000,0.056441717791411
Casey Cizikas,28,C,48,10,4,14,12,41,1.8,7,0,3,1,2,0,2,67,14.9,686,858,39,133,368,320,53.5,180,0,92,8.96,67,114,88,0.78,5.86,9.97,7.7,265.0,357.0,42.6,473.0,730.0,39.32,352.0,510.0,40.84,25.86,31.7,44.93,25,5,0,3350000,0.0411042944785276
Kyle Clifford,29,LW,69,7,10,17,-7,68,1.0,7,0,0,0,10,0,0,110,6.4,772,671,15,133,6,4,60.0,188,0,35,9.99,110,188,158,0.78,8.55,14.61,12.28,413.0,360.0,53.43,777.0,679.0,53.37,601.0,516.0,53.8,33.42,29.64,53.0,24,5,0,1600000,0.0196319018404908
Cal Clutterbuck,32,RW,37,3,4,7,6,22,0.5,2,0,1,0,3,0,1,35,8.6,497,805,38,127,4,5,44.4,180,1,72,3.73,35,55,50,0.45,4.23,6.64,6.04,177.0,283.0,38.47,304.0,549.0,35.64,240.0,391.0,38.03,17.55,25.52,40.75,29,5,1,3500000,0.0429447852760736
Braydon Coburn,34,D,40,1,3,4,5,16,1.2,1,0,0,0,3,0,0,44,2.3,562,843,28,59,0,0,0.0,196,0,8,1.32,44,95,62,0.14,4.7,10.15,6.62,279.0,313.0,47.13,512.0,533.0,49.0,376.0,418.0,47.36,21.82,23.16,48.51,34,2,1,1700000,0.0208588957055214
Andrew Cogliano,32,LW,68,3,11,14,2,30,0.6,3,0,0,0,11,0,0,68,4.4,848,748,31,86,17,20,45.9,178,0,25,6.93,68,105,88,0.49,4.8,7.43,6.23,369.0,423.0,46.59,654.0,793.0,45.2,476.0,584.0,44.91,27.25,35.52,43.41,31,3,1,3250000,0.0398773006134969
Ian Cole,30,D,65,4,22,26,21,36,5.1,4,0,0,1,22,0,0,92,4.3,1150,1062,122,83,0,0,0.0,185,0,18,3.45,92,191,133,0.18,4.8,9.96,6.94,577.0,620.0,48.2,1011.0,1210.0,45.52,753.0,849.0,47.0,46.17,55.8,45.28,29,3,1,4250000,0.0521472392638036
Blake Coleman,28,C,66,21,11,32,0,56,3.7,17,1,3,2,8,2,1,200,10.5,1103,1003,46,191,47,102,31.5,180,0,75,20.47,200,306,252,1.11,10.88,16.64,13.7,539.0,595.0,47.53,948.0,1103.0,46.22,741.0,833.0,47.08,46.28,51.97,47.1,26,3,0,1800000,0.0220858895705521
Blake Comeau,33,RW,55,8,8,16,-6,36,1.1,7,0,1,2,7,0,1,74,10.8,822,896,24,107,42,54,43.8,185,1,47,7.63,74,121,91,0.56,5.4,8.84,6.64,337.0,448.0,42.93,625.0,826.0,43.07,442.0,609.0,42.06,28.59,40.61,41.31,32,3,1,2400000,0.0294478527607361
J.T. Compher,24,LW,67,11,20,31,9,18,2.6,10,1,0,3,13,4,3,106,10.4,1122,1005,60,36,341,374,47.7,183,1,35,10.63,106,179,139,0.56,5.68,9.59,7.44,535.0,610.0,46.72,997.0,1147.0,46.5,724.0,836.0,46.41,47.62,54.59,46.59,24,4,0,3500000,0.0429447852760736
Brett Connolly,27,RW,69,19,14,33,-3,26,3.3,15,4,0,3,12,2,0,117,16.2,1000,870,17,56,6,11,35.3,191,1,6,10.6,117,193,145,0.64,7.02,11.58,8.69,535.0,450.0,54.31,953.0,798.0,54.43,714.0,583.0,55.05,41.13,39.35,51.11,27,4,1,3500000,0.0429447852760736
Kyle Connor,23,LW,71,38,35,73,4,34,8.7,28,9,1,7,26,8,1,239,15.9,1497,1265,17,18,2,11,15.4,185,0,17,31.3,239,369,303,1.25,9.58,14.79,12.14,926.0,802.0,53.59,1642.0,1371.0,54.5,1264.0,1104.0,53.38,93.11,87.87,51.45,22,7,0,7142857,0.0876424171779141
Andrew Copp,25,C,63,10,16,26,-3,10,1.6,9,1,0,5,13,0,3,121,8.3,1115,1062,27,59,310,275,53.0,185,0,104,11.55,121,203,158,0.62,6.51,10.93,8.5,551.0,580.0,48.72,1004.0,1035.0,49.24,738.0,807.0,47.77,46.73,55.08,45.9,24,2,0,2280000,0.0279754601226993
Nick Cousins,26,C,65,10,15,25,0,35,2.2,7,3,0,0,13,2,0,115,8.7,878,811,31,91,35,38,47.9,180,0,68,12.02,115,180,145,0.82,7.86,12.3,9.91,542.0,379.0,58.85,955.0,708.0,57.43,715.0,508.0,58.46,45.52,29.37,60.78,25,1,1,1000000,0.0122699386503067
Logan Couture,30,C,52,16,23,39,0,18,4.2,16,0,0,3,12,9,2,126,12.7,963,1112,45,54,195,248,44.0,185,0,9,13.8,126,219,162,0.86,7.85,13.64,10.09,557.0,459.0,54.82,1010.0,860.0,54.01,741.0,660.0,52.89,58.94,55.19,51.64,30,8,1,8000000,0.0981595092024539
Sean Couturier,27,C,69,22,37,59,21,30,6.6,18,4,0,4,28,9,0,185,11.9,1368,1190,26,60,543,367,59.7,191,0,8,22.29,185,306,250,0.98,8.11,13.42,10.96,802.0,608.0,56.88,1437.0,1042.0,57.97,1081.0,815.0,57.01,74.65,64.43,53.67,23,6,0,4333333,0.0531697300613496
Charlie Coyle,27,C,70,16,21,37,9,21,3.8,13,1,2,3,17,4,0,145,11.0,1175,1007,34,83,326,373,46.6,191,1,28,16.77,145,240,200,0.86,7.4,12.25,10.21,638.0,534.0,54.44,1141.0,978.0,53.85,871.0,746.0,53.87,56.44,41.72,57.5,23,5,0,3200000,0.0392638036809816
Sidney Crosby,32,C,41,16,31,47,-8,15,4.7,12,4,0,4,18,13,0,109,14.7,831,1216,17,28,494,394,55.6,180,0,1,12.76,109,163,143,0.92,7.88,11.78,10.34,559.0,381.0,59.47,997.0,669.0,59.84,762.0,515.0,59.67,56.29,40.08,58.41,25,12,1,8700000,0.1067484662576687
