player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Jake Allen,30,29,27,11,12,5,76,817,741,0.907,2.68,0,4.7,1703,12,0.444,2,101.0,-0.73,188,0,34,2.68,2.53,-0.15,25,4,0,4350000,0.0533742331288343
Frederik Andersen,31,24,23,13,8,3,70,668,598,0.895,2.96,0,3.0,1420,9,0.391,6,114.0,-8.46,193,0,87,2.91,2.46,-0.45,26,5,0,5000000,0.0613496932515337
Jonathan Bernier,32,24,23,9,11,1,65,757,692,0.914,2.99,0,5.0,1306,15,0.652,4,93.0,4.74,183,0,11,2.99,3.03,0.04,29,3,1,3000000,0.0368098159509202
Jordan Binnington,27,42,41,18,14,8,108,1200,1092,0.91,2.65,0,7.3,2448,21,0.512,5,98.0,2.56,185,0,88,2.64,2.71,0.07,25,2,0,4400000,0.0539877300613496
Mackenzie Blackwood,24,35,35,14,17,4,106,1081,975,0.902,3.04,1,5.7,2091,18,0.514,10,106.0,-6.41,193,0,42,3.04,2.68,-0.37,23,3,0,2800000,0.0343558282208589
Sergei Bobrovsky,32,31,30,19,8,2,88,935,847,0.906,2.91,0,5.3,1816,16,0.533,4,102.0,-1.86,188,0,300,2.91,2.54,-0.37,30,7,1,10000000,0.1226993865030674
Laurent Brossoit,27,14,11,6,6,0,30,368,338,0.918,2.42,1,2.6,744,7,0.636,0,88.0,3.9,191,0,164,2.42,2.43,0.01,27,1,1,1500000,0.0184049079754601
Jack Campbell,29,22,22,17,3,2,46,585,539,0.921,2.15,2,4.3,1284,13,0.591,2,85.0,7.9,188,0,11,2.11,2.41,0.31,28,2,1,1650000,0.0202453987730061
Thatcher Demko,25,35,35,16,18,1,99,1164,1065,0.915,2.85,1,7.8,2087,19,0.543,3,92.0,8.24,193,0,36,2.89,3.1,0.21,23,2,0,1050000,0.012883435582822
Casey DeSmith,29,20,17,11,7,0,48,543,495,0.912,2.54,2,3.4,1132,9,0.529,2,96.0,2.03,183,0,300,2.54,2.74,0.2,27,3,1,1250000,0.0153374233128834
