player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Henrik Lundqvist,37,30,26,10,12,3,84,883,799,0.905,3.16,1,4.5,1597,13,0.5,4,105.0,-4.16,185,0,205,3.16,3.29,0.13,32,7,1,8500000,0.1042944785276073
Jacob Markström,30,43,43,23,16,4,117,1420,1303,0.918,2.75,2,9.2,2552,25,0.581,5,91.0,11.4,198,0,31,2.75,2.82,0.07,27,3,1,3666667,0.0449897791411042
Petr Mrázek,27,40,38,21,16,2,104,1091,987,0.905,2.69,3,5.6,2321,19,0.5,7,105.0,-5.35,185,0,141,2.69,2.76,0.07,27,2,1,3125000,0.0383435582822085
Matt Murray,25,38,38,20,11,5,107,1055,948,0.899,2.87,1,4.7,2238,16,0.421,8,112.0,-11.6,193,0,83,2.87,2.46,-0.4,22,3,0,3750000,0.0460122699386503
Anders Nilsson,29,20,19,9,9,2,58,628,570,0.908,3.18,0,3.4,1093,11,0.579,5,102.0,-1.21,198,0,62,3.18,2.79,-0.39,29,2,1,2600000,0.0319018404907975
Carey Price,32,58,58,27,25,6,160,1755,1595,0.909,2.79,4,9.8,3440,31,0.534,11,101.0,-1.31,191,0,5,2.79,2.61,-0.18,29,8,1,10500000,0.1288343558282208
Jonathan Quick,34,42,42,16,22,4,117,1224,1107,0.904,2.79,1,6.2,2516,21,0.5,5,106.0,-6.32,185,0,72,2.79,2.6,-0.19,27,10,1,5800000,0.0711656441717791
Antti Raanta,30,33,32,15,14,3,80,1014,934,0.921,2.63,2,7.0,1823,19,0.594,3,87.0,11.69,183,0,300,2.63,2.82,0.19,29,3,1,4250000,0.0521472392638036
Tuukka Rask,32,41,41,26,8,6,85,1189,1104,0.929,2.12,5,9.1,2402,28,0.683,3,79.0,22.51,191,0,21,2.12,2.32,0.19,26,8,0,7000000,0.0858895705521472
James Reimer,31,25,24,14,6,2,61,712,651,0.914,2.66,3,4.4,1378,15,0.625,6,95.0,3.38,188,0,99,2.66,2.98,0.33,28,5,1,3400000,0.0417177914110429
David Rittich,27,48,48,24,17,6,138,1478,1340,0.907,2.97,2,7.9,2792,24,0.5,7,103.0,-4.36,191,0,300,2.97,2.76,-0.21,26,2,0,2750000,0.0337423312883435
Juuse Saros,24,40,34,17,12,4,98,1142,1044,0.914,2.7,4,7.0,2177,21,0.618,3,95.0,5.26,180,0,99,2.7,2.74,0.04,23,3,0,1500000,0.0184049079754601
Cory Schneider,33,13,11,3,6,2,40,355,315,0.887,3.53,1,1.2,679,3,0.273,3,125.0,-7.9,191,0,26,3.53,2.86,-0.67,29,7,1,6000000,0.0736196319018405
Alex Stalock,32,38,36,20,11,4,97,1082,985,0.91,2.67,4,6.2,2177,19,0.528,5,99.0,0.84,183,0,112,2.67,2.23,-0.44,31,3,1,785000,0.0096319018404907
Malcolm Subban,26,21,19,9,7,3,60,546,486,0.89,3.17,0,1.9,1134,7,0.368,7,122.0,-10.63,188,0,24,3.17,2.86,-0.31,25,1,0,850000,0.0104294478527607
Cam Talbot,32,26,22,12,10,1,63,780,717,0.919,2.63,2,5.2,1435,11,0.5,2,89.0,7.53,193,0,300,2.63,2.65,0.01,31,1,1,2750000,0.0337423312883435
Linus Ullmark,26,34,34,17,14,3,91,1066,975,0.915,2.69,1,6.6,2027,19,0.559,2,94.0,5.39,193,0,163,2.69,2.53,-0.16,25,1,0,1325000,0.0162576687116564
Semyon Varlamov,31,45,39,19,14,6,110,1278,1168,0.914,2.62,2,7.8,2517,21,0.538,4,95.0,5.56,188,0,23,2.62,2.66,0.04,31,4,1,5000000,0.0613496932515337
Andrei Vasilevskiy,25,52,52,35,14,3,133,1605,1472,0.917,2.56,3,10.4,3122,31,0.596,7,92.0,12.13,191,0,19,2.56,2.41,-0.14,21,3,0,3500000,0.0429447852760736
