player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Josh Bailey,31,C,54,8,27,35,12,4,3.6,8,0,0,1,18,9,0,77,10.4,945,1050,19,13,14,18,43.8,185,0,9,7.23,77,122,98,0.46,4.88,7.74,6.22,462.0,433.0,51.62,820.0,809.0,50.34,627.0,614.0,50.52,50.69,36.13,58.39,28,6,1,5000000,0.0613496932515337
Ivan Barbashev,25,C,38,5,7,12,5,6,1.0,4,1,0,1,7,0,0,43,11.6,507,801,15,49,82,107,43.4,183,0,33,5.93,40,66,54,0.75,5.03,8.3,6.79,191.0,268.0,41.61,344.0,488.0,41.35,256.0,372.0,40.76,17.48,25.8,40.4,23,2,0,1475000,0.0180981595092024
Aleksander Barkov,25,C,50,26,32,58,12,14,7.3,18,7,1,6,20,12,0,176,14.8,1047,1256,37,31,563,463,54.9,191,0,2,20.02,176,261,221,1.14,10.09,14.96,12.67,727.0,436.0,62.51,1212.0,743.0,61.99,949.0,595.0,61.46,71.81,42.87,62.62,20,6,0,5900000,0.0723926380368098
Tyson Barrie,29,D,56,8,40,48,5,10,7.3,4,4,0,2,21,19,0,146,5.5,1198,1284,59,26,0,0,0.0,180,1,64,6.93,144,287,188,0.36,7.44,14.83,9.72,756.0,583.0,56.46,1349.0,995.0,57.55,1020.0,793.0,56.26,74.7,48.67,60.55,28,1,1,3750000,0.0460122699386503
Mathew Barzal,23,C,55,17,28,45,15,48,5.6,16,1,0,1,21,7,0,134,12.7,1030,1124,13,22,152,198,43.4,183,1,16,16.97,134,217,173,0.99,7.8,12.63,10.07,632.0,411.0,60.59,1076.0,770.0,58.29,833.0,565.0,59.59,62.48,37.95,62.21,23,3,0,7000000,0.0858895705521472
Jay Beagle,35,RW,30,1,4,5,-2,8,0.0,1,0,0,0,4,0,0,21,4.8,376,751,8,34,173,135,56.2,191,1,300,3.05,21,38,32,0.49,3.35,6.07,5.11,156.0,235.0,39.9,265.0,418.0,38.79,199.0,327.0,37.83,11.97,26.0,31.52,32,4,1,3000000,0.0368098159509202
Ethan Bear,23,D,43,2,6,8,-1,14,1.7,2,0,0,1,6,0,0,53,3.8,772,1078,55,31,0,0,0.0,180,1,124,1.66,51,96,67,0.13,4.13,7.78,5.43,325.0,370.0,46.76,565.0,668.0,45.82,420.0,492.0,46.05,32.1,35.15,47.73,23,2,0,2000000,0.0245398773006134
Nathan Beaulieu,28,D,25,0,1,1,-5,20,0.1,0,0,0,0,1,0,0,26,0.0,418,1004,30,39,0,0,0.0,188,0,17,0.53,26,52,35,0.08,3.74,7.48,5.03,180.0,253.0,41.57,319.0,451.0,41.43,248.0,352.0,41.33,15.84,23.31,40.46,27,2,1,1250000,0.0153374233128834
Anthony Beauvillier,23,LW,47,15,13,28,15,12,4.0,12,3,0,5,12,1,0,109,13.8,771,984,13,39,2,5,28.6,180,0,28,11.65,109,174,142,0.91,8.48,13.54,11.05,378.0,350.0,51.92,671.0,646.0,50.95,505.0,487.0,50.91,38.77,25.87,59.98,22,2,0,2100000,0.0257668711656441
Pierre-Édouard Bellemare,35,LW,53,9,2,11,6,21,1.2,9,0,0,0,2,0,0,60,15.0,600,680,36,26,260,168,60.7,183,0,300,6.47,58,99,78,0.67,6.02,10.28,8.1,232.0,293.0,44.19,445.0,559.0,44.32,316.0,401.0,44.07,20.65,23.7,46.56,34,2,1,1800000,0.0220858895705521
Jamie Benn,31,LW,52,11,24,35,13,33,3.8,8,3,0,2,18,6,0,124,8.9,925,1067,27,73,268,210,56.1,188,0,129,12.87,124,209,165,0.84,8.05,13.56,10.71,520.0,357.0,59.29,979.0,710.0,57.96,733.0,537.0,57.72,53.1,35.42,59.99,27,8,1,9500000,0.1165644171779141
Jordie Benn,33,D,39,1,9,10,7,9,2.3,1,0,0,0,9,0,0,45,2.2,575,885,51,19,0,0,0.0,188,0,300,1.38,42,87,60,0.15,4.63,9.61,6.63,242.0,305.0,44.24,434.0,553.0,43.97,332.0,410.0,44.74,18.73,27.55,40.47,31,2,1,2000000,0.0245398773006134
Sam Bennett,24,C,48,10,17,27,-2,52,2.6,9,1,0,4,15,2,0,106,9.4,692,865,18,108,124,137,47.5,185,0,4,12.0,106,169,139,1.04,9.19,14.66,12.06,383.0,342.0,52.83,683.0,586.0,53.82,527.0,452.0,53.83,34.9,30.23,53.59,23,2,0,2550000,0.0312883435582822
Patrice Bergeron,35,C,54,23,25,48,27,16,6.9,13,7,3,3,18,6,1,182,12.6,984,1093,36,49,714,433,62.2,185,1,45,18.96,182,298,256,1.15,11.1,18.18,15.62,683.0,356.0,65.73,1172.0,668.0,63.7,929.0,506.0,64.73,60.69,33.85,64.2,28,8,1,6875000,0.0843558282208589
