player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Andreas Athanasiou,27,C,28,11,6,17,7,4,2.4,11,0,0,3,5,1,0,71,15.5,427,914,10,11,13,7,65.0,188,0,110,10.34,71,123,104,1.45,9.99,17.3,14.63,245.0,196.0,55.56,435.0,376.0,53.64,349.0,280.0,55.48,27.33,18.89,59.13,26,1,0,2700000,0.0331288343558282
Cam Atkinson,32,RW,73,23,27,50,-2,10,5.1,18,2,3,6,24,3,0,215,10.7,1332,1095,45,20,5,12,29.4,173,1,157,24.62,215,331,273,1.11,9.68,14.91,12.3,730.0,763.0,48.89,1293.0,1336.0,49.18,982.0,1015.0,49.17,70.03,82.02,46.06,29,7,1,5875000,0.0720858895705521
Nicolas Aubé-Kubel,25,RW,74,11,12,23,11,47,2.3,11,0,0,2,12,0,0,87,12.6,726,589,18,140,3,9,25.0,180,1,48,8.52,87,152,119,0.7,7.19,12.56,9.83,372.0,360.0,50.82,641.0,664.0,49.12,478.0,508.0,48.48,27.88,29.46,48.62,24,2,0,1075000,0.0131901840490797
Mikael Backlund,32,C,82,12,27,39,16,30,3.0,12,0,0,1,20,7,0,214,5.6,1404,1027,27,62,621,608,50.5,183,0,24,19.95,214,355,288,0.85,9.15,15.17,12.31,831.0,672.0,55.29,1475.0,1214.0,54.85,1130.0,926.0,54.96,73.16,62.5,53.93,29,6,1,5350000,0.0656441717791411
Nicklas Bäckström,34,C,47,6,25,31,-8,12,2.0,5,1,0,1,12,13,0,68,8.8,822,1049,16,16,301,348,46.4,185,0,4,7.9,68,121,98,0.57,4.96,8.83,7.15,481.0,369.0,56.59,898.0,673.0,57.16,689.0,507.0,57.61,51.67,36.47,58.62,32,5,1,9200000,0.112883435582822
Josh Bailey,32,C,74,14,30,44,-7,6,3.7,12,2,0,1,21,9,0,87,16.1,1250,1013,26,19,43,67,39.1,185,0,9,10.34,87,156,115,0.5,4.18,7.49,5.52,579.0,644.0,47.34,1037.0,1224.0,45.86,779.0,897.0,46.48,58.83,67.47,46.58,28,6,1,5000000,0.0613496932515337
Alexander Barabanov,27,F,70,10,29,39,-5,14,3.0,8,2,0,1,23,6,0,103,9.7,1203,1031,39,53,0,1,0.0,178,0,300,11.62,103,166,136,0.57,5.14,8.27,6.79,624.0,606.0,50.73,1171.0,1164.0,50.15,864.0,856.0,50.23,56.0,60.89,47.91,27,1,1,1000000,0.0122699386503067
Ivan Barbashev,26,C,81,26,34,60,4,40,5.9,21,4,1,2,28,5,1,111,23.4,1332,986,28,160,131,197,39.9,183,0,33,17.28,111,188,150,0.78,5.0,8.47,6.76,626.0,760.0,45.17,1093.0,1344.0,44.85,829.0,1042.0,44.31,62.89,69.39,47.54,25,2,0,2250000,0.0276073619631901
Aleksander Barkov,26,C,67,39,49,88,36,18,10.6,23,12,4,5,34,14,1,214,18.2,1360,1218,42,50,713,539,56.9,191,0,2,27.08,214,340,274,1.19,9.44,15.0,12.09,941.0,637.0,59.63,1611.0,1090.0,59.64,1236.0,854.0,59.14,103.48,66.9,60.73,20,6,0,5900000,0.0723926380368098
Tyson Barrie,30,D,73,7,34,41,3,18,5.7,4,3,0,0,15,18,1,149,4.7,1384,1138,73,27,0,0,0.0,180,1,64,6.33,149,297,200,0.27,6.46,12.87,8.67,825.0,700.0,54.1,1486.0,1163.0,56.1,1113.0,945.0,54.08,87.56,60.72,59.05,29,3,1,4500000,0.0552147239263803
Mathew Barzal,24,C,73,15,44,59,-15,18,4.9,14,1,0,1,25,19,0,161,9.3,1315,1081,17,36,234,271,46.3,183,1,16,18.32,161,252,208,0.84,7.34,11.49,9.49,789.0,665.0,54.26,1428.0,1173.0,54.9,1068.0,909.0,54.02,77.88,67.93,53.41,23,3,0,7000000,0.0858895705521472
Nathan Bastian,24,RW,72,12,6,18,-12,65,1.1,9,3,0,1,5,1,0,97,12.4,857,714,40,210,23,25,47.9,193,1,41,14.61,97,165,145,1.02,6.79,11.55,10.15,425.0,356.0,54.42,828.0,679.0,54.94,626.0,494.0,55.89,42.87,36.24,54.19,23,2,0,825000,0.010122699386503
Drake Batherson,23,C,46,17,27,44,4,32,4.9,14,3,0,3,16,11,0,110,15.5,871,1136,15,89,18,25,41.9,191,1,121,12.52,111,189,149,0.86,7.65,13.02,10.27,518.0,421.0,55.17,936.0,766.0,54.99,721.0,587.0,55.12,58.15,45.18,56.28,23,6,0,4975000,0.061042944785276
Jay Beagle,36,RW,33,1,1,2,-20,27,-1.2,1,0,0,0,1,0,0,24,4.2,455,827,16,50,265,199,57.1,191,1,300,2.29,24,40,29,0.3,3.17,5.28,3.82,170.0,307.0,35.64,294.0,537.0,35.38,226.0,414.0,35.31,11.42,28.68,28.48,32,4,1,3000000,0.0368098159509202
Jake Bean,23,D,67,7,18,25,-5,26,3.6,7,0,0,2,13,4,1,90,7.8,1378,1234,71,41,0,0,0.0,185,0,13,4.54,90,209,134,0.2,3.92,9.1,5.83,660.0,805.0,45.05,1238.0,1312.0,48.55,923.0,1050.0,46.78,56.09,74.42,42.98,23,3,0,2333333,0.0286298527607361
Ethan Bear,24,D,58,5,9,14,1,20,2.9,5,0,0,2,8,1,0,97,5.2,933,965,41,55,0,0,0.0,180,1,124,4.3,97,186,129,0.28,6.24,11.97,8.3,512.0,448.0,53.33,968.0,757.0,56.12,767.0,600.0,56.11,50.42,40.63,55.38,23,2,0,2000000,0.0245398773006134
Nathan Beaulieu,29,D,24,0,4,4,-7,25,0.1,0,0,0,0,3,0,1,24,0.0,258,646,19,19,0,0,0.0,188,0,17,0.81,24,52,38,0.19,5.57,12.07,8.82,98.0,181.0,35.13,183.0,317.0,36.6,143.0,246.0,36.76,8.1,17.29,31.9,27,2,1,1250000,0.0153374233128834
Anthony Beauvillier,24,LW,75,12,22,34,-10,12,2.4,7,5,0,1,16,6,0,154,7.8,1263,1010,20,39,4,6,40.0,180,0,28,17.93,154,252,201,0.85,7.32,11.98,9.55,637.0,694.0,47.86,1174.0,1207.0,49.31,867.0,935.0,48.11,67.05,63.84,51.23,24,3,0,4150000,0.050920245398773
Kieffer Bellows,23,LW,45,6,13,19,-1,19,1.7,6,0,0,2,9,4,0,79,7.6,534,712,14,103,0,1,0.0,185,0,19,7.14,80,147,108,0.8,8.99,16.52,12.14,256.0,289.0,46.97,483.0,510.0,48.64,354.0,383.0,48.03,22.8,24.64,48.06,23,1,0,750000,0.00920245398773
Jamie Benn,32,LW,82,18,28,46,-13,88,3.7,14,3,1,2,20,8,0,182,9.9,1373,1005,60,143,492,399,55.2,188,0,129,23.12,182,317,250,1.01,7.95,13.85,10.92,735.0,769.0,48.87,1344.0,1400.0,48.98,997.0,1063.0,48.4,79.23,72.02,52.38,27,8,1,9500000,0.1165644171779141
Jordie Benn,34,D,39,1,7,8,1,10,0.9,1,0,0,0,7,0,0,37,2.7,584,899,41,51,0,0,0.0,188,0,300,1.26,37,77,54,0.13,3.8,7.91,5.55,266.0,337.0,44.11,479.0,605.0,44.19,357.0,458.0,43.8,19.62,24.69,44.28,33,1,1,900000,0.011042944785276
Sam Bennett,25,C,71,28,21,49,27,74,5.8,23,5,0,7,16,4,1,241,11.6,1203,1017,27,119,411,466,46.9,185,0,4,26.87,241,398,292,1.34,12.02,19.85,14.57,807.0,557.0,59.16,1392.0,935.0,59.82,1059.0,739.0,58.9,85.39,56.3,60.27,25,4,0,4425000,0.0542944785276073
Patrice Bergeron,36,C,73,25,40,65,26,32,7.6,17,8,0,4,22,15,3,293,8.5,1326,1090,45,78,991,609,61.9,185,1,45,28.91,293,427,369,1.31,13.25,19.3,16.69,1042.0,558.0,65.12,1723.0,963.0,64.15,1378.0,740.0,65.06,97.34,50.29,65.94,28,8,1,6875000,0.0843558282208589
Tyler Bertuzzi,26,LW,68,30,32,62,-11,47,6.4,23,6,1,5,23,8,1,180,16.7,1351,1192,41,65,6,17,26.1,185,0,58,28.52,180,306,246,1.27,8.0,13.59,10.93,767.0,701.0,52.25,1362.0,1167.0,53.86,1037.0,930.0,52.72,86.12,77.51,52.63,26,2,0,4750000,0.058282208588957
Anders Bjork,25,LW,58,5,3,8,-14,10,-0.3,5,0,0,0,3,0,0,51,9.8,698,722,16,11,1,4,20.0,183,0,146,4.61,51,93,64,0.4,4.38,7.98,5.49,255.0,396.0,39.17,476.0,684.0,41.03,346.0,535.0,39.27,18.78,31.22,37.56,23,3,0,1600000,0.0196319018404908
Oliver Bjorkstrand,26,RW,80,28,29,57,-35,16,4.4,19,9,0,1,19,10,0,215,13.0,1436,1077,31,85,10,13,43.5,183,1,89,25.34,215,402,312,1.06,8.98,16.8,13.04,837.0,701.0,54.42,1594.0,1207.0,56.91,1201.0,952.0,55.78,81.99,69.22,54.22,26,5,0,5400000,0.0662576687116564
Nick Bjugstad,29,C,57,7,6,13,-2,20,0.6,6,1,0,0,6,0,0,81,8.6,585,616,14,99,141,114,55.3,198,1,19,8.57,82,130,107,0.88,8.41,13.34,10.98,283.0,277.0,50.54,499.0,530.0,48.49,387.0,413.0,48.38,25.11,22.47,52.77,28,1,1,900000,0.011042944785276
Colin Blackwell,28,C,58,10,10,20,0,14,1.8,8,0,2,1,10,0,0,77,13.0,692,716,24,91,83,86,49.1,175,1,194,7.17,77,126,96,0.62,6.67,10.92,8.32,305.0,336.0,47.58,582.0,631.0,47.98,427.0,478.0,47.18,24.98,33.13,42.99,27,2,1,725000,0.0088957055214723
Teddy Blueger,27,C,65,9,19,28,12,10,2.3,8,0,1,0,18,0,1,93,9.7,976,901,32,87,357,315,53.1,183,0,52,9.21,93,134,114,0.56,5.72,8.24,7.01,439.0,506.0,46.46,720.0,963.0,42.78,582.0,731.0,44.33,36.04,46.6,43.61,26,2,0,2200000,0.0269938650306748
Brock Boeser,24,RW,71,23,23,46,-5,20,4.4,12,11,0,6,16,6,1,195,11.8,1321,1116,26,35,27,26,50.9,185,1,23,23.74,195,391,285,1.08,8.86,17.79,12.97,814.0,596.0,57.73,1565.0,1036.0,60.17,1138.0,796.0,58.84,80.17,59.38,57.45,22,3,0,5875000,0.0720858895705521
Zach Bogosian,31,D,48,3,5,8,2,53,1.8,3,0,0,1,5,0,0,60,5.0,737,922,34,114,0,0,0.0,191,1,3,2.44,60,108,76,0.2,4.88,8.78,6.18,320.0,402.0,44.32,589.0,694.0,45.91,462.0,543.0,45.97,29.81,33.35,47.2,30,3,1,850000,0.0104294478527607
Nick Bonino,33,C,80,16,10,26,-25,18,1.4,12,3,1,0,6,4,0,137,11.7,1336,1002,102,34,475,450,51.4,185,0,173,15.89,137,211,181,0.71,6.15,9.48,8.13,568.0,664.0,46.1,1026.0,1383.0,42.59,788.0,973.0,44.75,53.2,65.78,44.71,33,2,1,2050000,0.0251533742331288
William Borgen,25,D,36,2,6,8,1,28,1.6,2,0,0,0,6,0,0,49,4.1,550,917,33,89,0,0,0.0,191,1,92,1.42,49,97,66,0.15,5.34,10.58,7.2,251.0,248.0,50.3,466.0,473.0,49.63,354.0,358.0,49.72,19.73,21.77,47.54,24,2,0,900000,0.011042944785276
Henrik Borgström,24,C,52,4,3,7,-14,22,-0.2,4,0,0,0,2,1,0,41,9.8,547,631,19,26,82,122,40.2,191,0,23,5.07,41,85,57,0.56,4.5,9.32,6.25,241.0,235.0,50.63,464.0,468.0,49.79,315.0,325.0,49.22,20.39,18.43,52.52,23,2,0,1000000,0.0122699386503067
Mark Borowiecki,32,D,57,0,4,4,-9,151,0.3,0,0,0,0,4,0,0,45,0.0,747,787,79,196,0,0,0.0,188,0,139,1.5,45,91,67,0.12,3.61,7.31,5.38,300.0,434.0,40.86,550.0,801.0,40.71,438.0,602.0,42.12,26.06,39.9,39.5,30,2,1,2000000,0.0245398773006134
Robert Bortuzzo,32,D,73,1,5,6,-4,36,0.8,1,0,0,0,5,0,0,47,2.1,1003,824,98,135,0,0,0.0,193,1,78,2.29,47,87,68,0.14,2.81,5.21,4.07,429.0,532.0,44.64,741.0,1019.0,42.1,581.0,756.0,43.46,39.89,52.33,43.26,30,3,1,1375000,0.0168711656441717
Travis Boyd,28,C,74,17,18,35,-10,34,2.7,15,2,0,2,16,2,0,88,19.3,1222,991,55,71,420,507,45.3,183,1,177,13.25,88,155,131,0.65,4.32,7.61,6.43,515.0,684.0,42.95,979.0,1214.0,44.64,749.0,919.0,44.9,54.78,63.45,46.33,27,1,1,750000,0.00920245398773
Derick Brassard,34,C,46,8,11,19,4,16,1.9,7,1,0,1,10,1,0,62,12.9,594,775,6,82,169,161,51.2,185,0,6,6.49,62,91,70,0.66,6.26,9.19,7.07,307.0,294.0,51.08,571.0,523.0,52.19,420.0,403.0,51.03,28.71,25.28,53.18,33,1,1,825000,0.010122699386503
Jesper Bratt,23,W,76,26,47,73,0,16,7.4,23,3,0,6,32,15,0,197,13.2,1325,1046,30,26,0,3,0.0,178,0,162,19.32,197,324,263,0.88,8.92,14.68,11.91,872.0,579.0,60.1,1587.0,1086.0,59.37,1230.0,833.0,59.62,89.91,61.87,59.24,21,2,0,2750000,0.0337423312883435
Justin Braun,34,D,69,6,12,18,2,36,3.9,6,0,0,0,12,0,0,73,8.2,1349,1173,121,87,0,0,0.0,188,1,201,2.25,73,160,105,0.1,3.25,7.12,4.67,562.0,743.0,43.07,1011.0,1387.0,42.16,749.0,1026.0,42.2,44.11,68.2,39.28,33,2,1,1800000,0.0220858895705521
Jonas Brodin,28,D,73,5,25,30,9,18,4.0,4,1,0,1,18,6,1,126,4.0,1711,1406,126,42,0,0,0.0,185,0,10,5.29,126,232,157,0.19,4.42,8.14,5.51,885.0,885.0,50.0,1566.0,1624.0,49.09,1179.0,1235.0,48.84,82.89,85.4,49.25,27,7,1,6000000,0.0736196319018405
Connor Brown,28,RW,64,10,29,39,-15,10,2.4,9,0,1,0,17,9,3,121,8.3,1284,1203,37,14,48,85,36.1,183,1,156,14.37,121,235,169,0.67,5.66,10.98,7.9,663.0,699.0,48.68,1207.0,1239.0,49.35,908.0,950.0,48.87,69.23,83.06,45.46,26,3,0,3600000,0.0441717791411042
Dustin Brown,37,RW,64,9,19,28,-3,20,2.1,8,1,0,0,17,2,0,146,6.2,943,884,20,88,2,8,20.0,183,1,13,15.24,146,238,196,0.97,9.28,15.14,12.47,582.0,425.0,57.8,994.0,746.0,57.13,774.0,572.0,57.5,53.94,40.46,57.14,29,8,1,5875000,0.0720858895705521
Patrick Brown,29,C,44,4,5,9,-16,11,-0.1,4,0,0,0,5,0,0,51,7.8,547,746,36,100,242,172,58.5,180,1,300,4.61,51,83,69,0.51,5.59,9.1,7.57,230.0,344.0,40.07,396.0,663.0,37.39,304.0,477.0,38.92,15.61,35.72,30.41,29,2,1,750000,0.00920245398773
Pavel Buchnevich,26,LW,73,30,46,76,29,34,8.7,20,8,2,3,33,11,2,199,15.1,1336,1098,15,57,13,26,33.3,191,0,75,21.71,199,304,252,0.98,8.94,13.65,11.32,764.0,667.0,53.39,1293.0,1144.0,53.06,1026.0,926.0,52.56,80.23,69.02,53.76,26,4,0,5800000,0.0711656441717791
Michael Bunting,26,LW,79,23,40,63,27,80,6.9,21,2,0,2,37,3,0,175,13.1,1228,933,21,85,8,8,50.0,180,0,117,23.8,175,296,242,1.15,8.55,14.46,11.83,780.0,567.0,57.91,1449.0,982.0,59.61,1088.0,761.0,58.84,78.72,48.25,62.0,25,2,1,950000,0.0116564417177914
André Burakovsky,26,LW,80,22,39,61,12,18,5.9,18,4,0,5,32,7,0,149,14.8,1301,976,34,49,8,12,40.0,191,0,23,13.75,149,313,215,0.63,6.87,14.44,9.92,865.0,653.0,56.98,1597.0,1114.0,58.91,1177.0,865.0,57.64,72.98,55.95,56.6,25,2,0,4900000,0.060122699386503
Brent Burns,36,D,82,10,44,54,-15,42,8.5,6,4,0,0,29,14,1,203,4.9,2144,1569,150,55,0,1,0.0,196,1,20,8.5,203,446,293,0.24,5.68,12.48,8.19,1066.0,1182.0,47.42,1936.0,2263.0,46.11,1476.0,1641.0,47.35,105.69,129.5,44.94,32,8,1,8000000,0.0981595092024539
Will Butcher,27,D,37,2,6,8,-10,0,0.9,2,0,0,0,4,2,0,35,5.7,610,989,32,11,0,0,0.0,178,0,123,1.98,35,78,60,0.2,3.46,7.71,5.93,302.0,313.0,49.11,528.0,521.0,50.33,411.0,416.0,49.7,22.41,23.34,48.98,24,3,0,3733333,0.0458077668711656
Paul Byron,32,LW,27,4,3,7,-8,2,0.2,4,0,0,2,3,0,0,33,12.1,340,756,7,66,33,36,47.8,175,0,179,3.82,33,43,37,0.67,5.82,7.58,6.53,147.0,208.0,41.41,261.0,376.0,40.97,187.0,287.0,39.45,11.94,21.37,35.85,30,4,1,3400000,0.0417177914110429
Drake Caggiula,27,LW,18,2,3,5,-4,4,0.2,2,0,0,1,2,1,0,23,8.7,263,878,7,17,1,3,25.0,178,0,300,1.84,23,37,31,0.42,5.24,8.43,7.06,100.0,147.0,40.49,188.0,243.0,43.62,139.0,192.0,41.99,7.2,14.71,32.86,27,1,1,750000,0.00920245398773
Kyle Capobianco,24,D,45,2,7,9,-12,38,1.0,1,1,0,1,6,1,0,40,5.0,720,960,46,43,0,0,0.0,185,0,63,2.45,40,85,62,0.2,3.33,7.08,5.17,317.0,405.0,43.91,584.0,697.0,45.59,451.0,554.0,44.88,28.78,37.97,43.12,22,2,0,775000,0.0095092024539877
Brandon Carlo,25,D,79,6,9,15,2,31,3.9,5,0,1,0,8,1,0,125,4.8,1557,1182,104,143,0,0,0.0,196,1,37,3.16,125,213,162,0.12,4.82,8.21,6.24,750.0,799.0,48.42,1267.0,1477.0,46.17,1003.0,1127.0,47.09,57.31,67.23,46.01,24,6,0,4100000,0.0503067484662576
John Carlson,32,D,78,17,54,71,13,20,11.0,10,7,0,2,33,18,3,195,8.7,1857,1429,112,73,0,0,0.0,191,1,27,12.58,195,388,278,0.41,6.3,12.53,8.98,1109.0,858.0,56.38,1941.0,1604.0,54.75,1520.0,1220.0,55.47,119.64,89.92,57.09,28,8,1,8000000,0.0981595092024539
Gabriel Carlsson,25,D,38,2,7,9,6,10,1.8,2,0,0,0,7,0,0,18,11.1,466,736,33,27,0,0,0.0,196,0,29,0.71,18,38,22,0.09,2.31,4.88,2.83,214.0,276.0,43.67,396.0,485.0,44.95,295.0,376.0,43.96,17.98,25.58,41.29,23,2,0,725000,0.0088957055214723
Ryan Carpenter,31,C,67,3,9,12,-11,36,-0.2,3,0,0,2,8,1,0,67,4.5,843,755,44,136,200,188,51.5,183,1,300,7.47,67,117,93,0.53,4.76,8.33,6.62,318.0,475.0,40.1,627.0,864.0,42.05,455.0,632.0,41.86,27.67,44.59,38.29,28,3,1,1000000,0.0122699386503067
Sam Carrick,29,C,64,11,8,19,-12,85,1.4,11,0,0,0,8,0,0,80,13.8,734,688,21,122,204,209,49.4,183,1,144,8.33,80,139,114,0.68,6.54,11.36,9.32,331.0,422.0,43.96,602.0,764.0,44.07,455.0,577.0,44.09,25.58,36.26,41.36,29,1,1,750000,0.00920245398773
William Carrier,27,LW,63,9,11,20,7,34,1.8,9,0,0,0,11,0,0,120,7.5,732,697,24,159,4,4,50.0,188,0,57,14.72,120,194,162,1.21,9.83,15.9,13.27,442.0,328.0,57.4,800.0,651.0,55.13,607.0,465.0,56.62,39.95,32.74,54.96,25,4,0,1400000,0.0171779141104294
Jeff Carter,37,C,76,19,26,45,-8,38,3.6,15,3,1,2,23,3,0,200,9.5,1343,1060,50,99,648,489,57.0,191,1,11,20.39,200,315,245,0.91,8.94,14.07,10.95,747.0,737.0,50.34,1265.0,1292.0,49.47,978.0,972.0,50.15,74.3,69.09,51.82,25,11,0,5272727,0.0646960368098159
Cody Ceci,28,D,78,5,23,28,8,14,4.7,5,0,0,0,20,0,3,102,4.9,1630,1254,121,117,0,0,0.0,188,1,15,3.23,102,213,138,0.12,3.75,7.84,5.08,782.0,966.0,44.74,1396.0,1669.0,45.55,1055.0,1284.0,45.1,77.76,90.58,46.19,27,4,1,3250000,0.0398773006134969
Thomas Chabot,25,D,59,7,31,38,-3,26,6.1,6,1,0,1,19,12,0,173,4.0,1545,1572,93,73,0,0,0.0,188,0,18,9.17,173,330,227,0.36,6.72,12.81,8.81,905.0,728.0,55.42,1631.0,1347.0,54.77,1232.0,999.0,55.22,87.08,73.34,54.28,23,8,0,8000000,0.0981595092024539
Ben Chiarot,30,D,74,9,17,26,-14,48,3.3,7,2,0,1,15,1,1,143,6.3,1691,1371,130,157,0,0,0.0,191,0,120,5.64,143,268,177,0.2,5.07,9.51,6.28,841.0,1032.0,44.9,1468.0,1792.0,45.03,1116.0,1399.0,44.37,78.16,106.09,42.42,28,3,1,3500000,0.0429447852760736
Alex Chiasson,31,RW,67,13,9,22,4,24,2.3,7,6,0,2,5,4,0,98,13.3,779,697,18,68,10,13,43.5,193,1,38,12.62,98,140,117,0.97,7.55,10.79,9.02,447.0,335.0,57.16,819.0,617.0,57.03,607.0,463.0,56.73,43.3,30.06,59.02,30,1,1,750000,0.00920245398773
Jakob Chychrun,23,D,47,7,14,21,-20,47,2.4,6,1,0,2,14,0,0,141,5.0,1081,1380,66,51,0,0,0.0,188,0,16,7.1,141,293,223,0.39,7.83,16.27,12.38,476.0,578.0,45.16,905.0,1028.0,46.82,692.0,788.0,46.76,45.03,53.48,45.71,21,6,0,4600000,0.056441717791411
Filip Chytil,22,C,67,8,14,22,-1,14,1.5,8,0,0,1,13,1,0,135,5.9,883,791,27,24,135,176,43.4,188,0,21,14.24,135,231,188,0.97,9.18,15.7,12.78,473.0,402.0,54.06,843.0,736.0,53.39,643.0,548.0,53.99,44.79,36.61,55.02,21,2,0,2300000,0.0282208588957055
Anthony Cirelli,24,C,76,17,26,43,15,70,3.9,13,3,1,4,21,5,0,146,11.6,1392,1099,67,75,441,507,46.5,183,0,72,19.13,146,260,202,0.82,6.29,11.21,8.71,696.0,659.0,51.37,1288.0,1238.0,50.99,989.0,912.0,52.03,70.45,70.65,49.93,22,3,0,4800000,0.0588957055214723
Casey Cizikas,30,C,74,10,6,16,-3,48,1.0,9,0,1,3,6,0,0,91,11.0,1017,825,43,138,534,427,55.6,180,0,92,10.19,91,147,128,0.6,5.37,8.67,7.55,339.0,535.0,38.79,619.0,1027.0,37.61,460.0,747.0,38.11,32.97,47.52,40.96,30,6,1,2500000,0.0306748466257668
Kyle Clifford,31,LW,25,1,3,4,-5,31,-0.1,1,0,0,0,3,0,0,29,3.4,220,528,5,50,3,4,42.9,188,0,35,2.08,29,44,36,0.56,7.91,12.0,9.82,102.0,119.0,46.15,195.0,203.0,48.99,144.0,159.0,47.52,7.0,9.36,42.79,29,2,1,1000000,0.0122699386503067
Connor Clifton,26,D,60,2,8,10,-2,32,2.1,2,0,0,0,8,0,0,80,2.5,964,964,62,156,0,0,0.0,180,1,133,2.41,80,148,107,0.15,4.98,9.22,6.66,516.0,439.0,54.03,843.0,806.0,51.12,677.0,618.0,52.28,34.9,35.97,49.24,25,3,0,1000000,0.0122699386503067
Cal Clutterbuck,34,RW,59,6,9,15,-6,10,0.7,5,0,1,1,9,0,0,74,8.1,828,843,23,229,11,4,73.3,180,1,72,8.11,74,113,95,0.59,5.36,8.18,6.88,290.0,434.0,40.06,528.0,796.0,39.88,400.0,582.0,40.72,25.94,38.51,40.25,29,5,1,3500000,0.0429447852760736
Dylan Coghlan,23,D,59,3,10,13,-5,18,1.8,1,2,0,1,8,2,0,108,2.8,838,852,61,62,0,0,0.0,188,1,300,4.22,108,218,157,0.3,7.73,15.61,11.24,480.0,409.0,53.99,883.0,744.0,54.27,668.0,530.0,55.76,41.03,35.15,53.85,23,2,0,762500,0.0093558282208588
