player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Noel Acciari,30,C,20,3,5,8,2,11,0.6,3,0,0,1,5,0,0,32,9.4,240,719,16,48,84,82,50.6,178,1,300,4.44,32,52,45,1.11,8.01,13.02,11.27,127.0,122.0,51.0,228.0,230.0,49.78,167.0,169.0,49.7,12.08,13.02,48.13,27,3,1,1666667,0.0204499018404907
Sebastian Aho,24,F,79,37,44,81,18,38,9.5,23,13,1,9,27,15,2,221,16.7,1497,1137,23,76,555,504,52.4,183,0,35,37.39,221,402,329,1.5,8.86,16.11,13.18,935.0,693.0,57.43,1704.0,1203.0,58.62,1316.0,960.0,57.82,112.82,76.28,59.66,21,5,0,8460250,0.1038067484662576
Sebastian Aho,24,F,79,37,44,81,18,38,9.5,23,13,1,9,27,15,2,221,16.7,1497,1137,23,76,555,504,52.4,178,0,139,1.84,34,76,51,0.19,3.44,7.7,5.17,255.0,316.0,44.66,478.0,563.0,45.92,353.0,429.0,45.14,21.71,28.11,43.58,24,2,0,725000,0.0088957055214723
Josh Anderson,27,RW,69,19,13,32,-25,65,2.1,17,2,0,1,12,1,0,151,12.6,1189,1034,35,153,20,22,47.6,191,1,95,20.79,152,283,226,1.05,7.67,14.29,11.41,584.0,607.0,49.03,1123.0,1083.0,50.91,829.0,820.0,50.27,57.08,58.65,49.32,26,7,0,5500000,0.0674846625766871
Rasmus Andersson,25,D,82,4,46,50,30,28,8.6,2,2,0,1,28,17,1,152,2.6,1859,1360,125,63,0,0,0.0,185,1,53,8.52,152,289,214,0.28,4.91,9.33,6.91,1213.0,862.0,58.46,2099.0,1526.0,57.9,1654.0,1190.0,58.16,126.26,81.14,60.88,23,6,0,4550000,0.0558282208588957
Mason Appleton,26,C,68,8,13,21,-1,30,1.2,8,0,0,3,13,0,0,98,8.2,1012,893,20,64,7,15,31.8,188,1,168,10.59,98,171,136,0.63,5.81,10.14,8.06,462.0,529.0,46.62,848.0,951.0,47.14,631.0,727.0,46.47,43.48,51.34,45.86,24,2,0,900000,0.011042944785276
Joel Armia,28,RW,60,6,8,14,-15,14,0.1,4,1,1,0,6,2,0,103,5.8,823,823,27,104,3,14,17.6,193,1,16,10.99,103,179,135,0.8,7.51,13.05,9.84,411.0,466.0,46.86,711.0,807.0,46.84,525.0,611.0,46.21,34.49,45.48,43.13,28,4,1,3400000,0.0417177914110429
Viktor Arvidsson,28,LW,66,20,29,49,1,22,5.2,16,4,0,3,25,4,0,227,8.8,1121,1019,45,23,12,21,36.4,175,1,112,25.69,227,412,324,1.38,12.15,22.06,17.35,794.0,489.0,61.89,1427.0,892.0,61.54,1112.0,656.0,62.9,82.84,48.18,63.23,24,7,0,4250000,0.0521472392638036
Rasmus Asplund,24,F,80,8,19,27,-5,10,1.6,5,2,1,1,17,2,0,130,6.2,1142,857,14,30,26,35,42.6,180,0,33,12.69,130,192,174,0.66,6.8,10.03,9.1,598.0,536.0,52.73,1025.0,917.0,52.78,799.0,718.0,52.67,46.83,46.47,50.19,23,2,0,825000,0.010122699386503
Zach Aston-Reese,27,C,69,5,10,15,9,28,0.8,5,0,0,0,10,0,0,78,6.4,900,782,42,231,4,4,50.0,183,0,300,7.73,78,130,102,0.52,5.2,8.67,6.8,380.0,466.0,44.92,657.0,873.0,42.94,502.0,655.0,43.39,29.17,40.54,41.84,26,1,0,1725000,0.0211656441717791
