player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Jake Allen,32,42,41,15,24,3,145,1335,1190,0.891,3.55,1,5.8,2450,20,0.488,10,113.0,-17.17,188,0,34,3.55,3.49,-0.06,30,2,1,2875000,0.0348484848484848
Frederik Andersen,33,34,33,21,11,1,82,849,767,0.903,2.48,1,4.7,1984,17,0.515,6,101.0,-0.71,193,0,87,2.42,2.45,0.03,31,2,1,4500000,0.0545454545454545
Jordan Binnington,29,61,60,27,27,6,194,1826,1632,0.894,3.31,2,8.4,3516,27,0.45,13,111.0,-19.16,185,0,88,3.39,3.18,-0.2,27,6,1,6000000,0.0727272727272727
Mackenzie Blackwood,26,22,20,10,6,2,60,563,503,0.893,3.2,0,2.6,1126,11,0.55,5,111.0,-6.09,193,0,42,3.1,3.2,0.11,23,3,0,2800000,0.0339393939393939
Sergei Bobrovsky,34,50,49,24,20,3,145,1466,1321,0.901,3.07,1,7.8,2834,30,0.612,10,103.0,-4.63,188,0,300,3.07,3.13,0.06,30,7,1,10000000,0.1212121212121212
Jack Campbell,31,36,34,21,9,4,115,1027,912,0.888,3.41,1,4.1,2026,12,0.353,8,117.0,-16.66,188,0,11,3.48,2.87,-0.61,30,5,1,5000000,0.0606060606060606
Eric Comrie,27,19,19,9,9,1,68,594,526,0.886,3.67,1,2.2,1112,8,0.421,5,120.0,-11.12,185,0,59,3.67,3.26,-0.41,26,2,1,1800000,0.0218181818181818
Pheonix Copley,31,37,35,24,6,3,92,947,855,0.903,2.64,1,5.2,2089,21,0.6,8,101.0,-1.32,193,0,300,2.67,2.81,0.14,30,1,1,825000,0.01
Collin Delia,28,20,18,10,6,2,62,526,464,0.882,3.28,0,1.8,1136,8,0.444,4,123.0,-11.64,188,0,300,3.26,3.17,-0.09,28,1,1,750000,0.009090909090909
Thatcher Demko,27,32,32,14,14,4,99,1005,906,0.901,3.16,1,5.4,1879,14,0.438,6,103.0,-2.77,193,0,36,3.37,2.95,-0.42,25,5,0,5000000,0.0606060606060606
Casey DeSmith,31,38,33,15,16,4,109,1142,1033,0.905,3.17,0,6.5,2066,16,0.485,7,100.0,0.35,183,0,300,3.17,3.41,0.25,30,2,1,1800000,0.0218181818181818
Anton Forsberg,30,28,25,11,11,2,80,817,737,0.902,3.26,2,4.4,1472,12,0.48,6,102.0,-1.77,191,0,188,3.26,3.39,0.13,29,3,1,2750000,0.0333333333333333
Pavel Francouz,32,16,16,8,7,1,42,493,451,0.915,2.61,1,3.3,965,9,0.563,3,89.0,5.2,183,1,300,2.52,2.73,0.19,32,2,1,2000000,0.0242424242424242
Alexandar Georgiev,26,62,62,40,16,6,156,1904,1748,0.918,2.53,5,13.4,3700,41,0.661,6,86.0,26.31,185,0,300,2.54,2.83,0.3,26,3,0,3400000,0.0412121212121212
John Gibson,29,53,52,14,31,8,200,1983,1783,0.899,3.99,1,10.2,3005,25,0.481,13,105.0,-10.13,188,0,39,3.99,3.95,-0.04,25,8,0,6400000,0.0775757575757575
Philipp Grubauer,31,39,36,17,14,4,98,930,832,0.895,2.85,0,4.4,2066,22,0.611,11,110.0,-8.95,185,0,112,3.05,3.12,0.07,29,6,1,5900000,0.0715151515151515
Filip Gustavsson,24,39,37,22,9,7,81,1173,1092,0.931,2.1,3,9.8,2311,27,0.73,4,72.0,31.32,188,0,55,2.0,2.73,0.72,23,2,0,787500,0.0095454545454545
Magnus Hellberg,31,18,14,5,8,1,50,447,397,0.888,3.2,0,1.8,936,6,0.429,2,117.0,-7.2,196,0,38,3.17,3.04,-0.13,31,1,1,750000,0.009090909090909
Connor Hellebuyck,29,64,64,37,25,2,157,1964,1807,0.92,2.49,4,14.3,3778,44,0.688,6,83.0,31.05,193,0,130,2.56,3.02,0.46,25,6,0,6166666,0.0747474666666666
Adin Hill,26,27,25,16,7,1,61,721,660,0.915,2.45,0,4.9,1491,16,0.64,4,88.0,8.04,198,0,76,2.5,2.78,0.28,25,2,0,2175000,0.0263636363636363
Ville Husso,27,56,56,26,22,7,167,1603,1436,0.896,3.11,4,7.7,3220,26,0.464,17,109.0,-13.51,188,0,94,3.02,2.9,-0.11,27,3,1,4750000,0.0575757575757575
Connor Ingram,25,27,26,6,13,8,89,960,871,0.907,3.37,1,5.7,1587,15,0.577,4,97.0,2.92,183,0,88,3.37,3.7,0.33,23,3,0,733333,0.0088888848484848
Tristan Jarry,27,47,47,24,13,7,128,1414,1286,0.909,2.9,2,8.8,2650,27,0.574,5,95.0,7.39,188,0,44,2.93,2.92,-0.01,25,3,0,3500000,0.0424242424242424
Martin Jones,33,48,42,27,13,3,131,1145,1014,0.886,2.99,3,4.3,2626,20,0.476,14,119.0,-21.37,193,0,300,2.99,2.75,-0.25,32,1,1,2000000,0.0242424242424242
Kaapo Kähkönen,26,37,37,9,20,7,135,1149,1014,0.883,3.85,1,4.0,2106,14,0.378,12,123.0,-24.98,188,0,109,3.83,3.19,-0.65,25,2,0,2750000,0.0333333333333333
Joonas Korpisalo,28,39,37,18,14,4,104,1206,1102,0.914,2.87,1,8.0,2172,24,0.649,3,90.0,11.47,191,0,62,2.84,3.41,0.58,28,1,1,1300000,0.0157575757575757
Darcy Kuemper,32,57,56,22,26,7,154,1674,1520,0.908,2.87,5,10.1,3224,28,0.5,7,96.0,6.29,196,0,161,2.79,3.07,0.27,32,5,1,5250000,0.0636363636363636
Kevin Lankinen,27,19,18,9,8,1,49,583,534,0.916,2.75,0,4.0,1069,11,0.611,3,88.0,6.82,188,0,300,2.72,3.19,0.46,27,1,1,1500000,0.0181818181818181
Charlie Lindgren,29,31,26,13,11,3,86,853,767,0.899,3.05,0,4.4,1692,14,0.538,4,105.0,-4.33,185,1,300,3.02,2.86,-0.17,28,3,1,1100000,0.0133333333333333
Jacob Markström,33,59,58,23,21,12,166,1542,1376,0.892,2.92,1,6.9,3411,26,0.448,14,112.0,-18.35,198,0,31,2.98,2.9,-0.07,30,6,1,6000000,0.0727272727272727
Spencer Martin,27,29,27,11,15,1,107,830,723,0.871,3.99,0,1.9,1610,8,0.296,9,135.0,-27.53,191,0,63,3.99,3.15,-0.83,27,2,1,762500,0.0092424242424242
Petr Mrázek,30,39,38,10,22,3,132,1248,1116,0.894,3.66,0,5.8,2165,19,0.5,7,110.0,-12.5,185,0,141,3.63,3.61,-0.02,29,3,1,3800000,0.046060606060606
Matt Murray,28,26,26,14,8,2,74,761,687,0.903,3.01,1,4.2,1473,13,0.5,8,102.0,-1.13,193,0,83,3.01,3.04,0.03,26,4,0,6250000,0.0757575757575757
Alex Nedeljkovic,27,15,13,5,7,2,49,466,417,0.895,3.53,0,2.2,833,5,0.385,2,110.0,-4.38,183,0,37,3.56,3.11,-0.45,25,2,0,3000000,0.0363636363636363
Jake Oettinger,24,62,61,37,11,11,144,1776,1632,0.919,2.37,5,12.7,3645,39,0.639,8,85.0,26.05,193,0,26,2.47,2.79,0.31,23,3,0,4000000,0.0484848484848484
Jonathan Quick,37,41,36,16,15,6,127,1080,953,0.882,3.41,2,3.7,2234,14,0.389,10,123.0,-23.59,185,0,72,3.5,3.05,-0.46,27,10,1,5800000,0.0703030303030303
Antti Raanta,33,27,26,19,3,3,58,644,586,0.91,2.23,4,4.0,1561,13,0.5,5,94.0,3.66,183,0,300,2.22,2.41,0.19,32,2,1,2000000,0.0242424242424242
James Reimer,34,43,41,12,21,8,147,1335,1188,0.89,3.48,3,5.6,2538,18,0.439,11,115.0,-19.17,188,0,99,3.3,3.22,-0.08,33,2,1,2250000,0.0272727272727272
David Rittich,30,21,18,9,8,1,50,506,456,0.901,2.67,0,2.7,1122,8,0.444,2,103.0,-1.55,191,0,300,2.65,2.6,-0.05,29,1,1,900000,0.0109090909090909
Ilya Samsonov,25,42,40,27,10,5,96,1184,1088,0.919,2.33,4,8.5,2476,27,0.675,7,85.0,17.37,191,0,22,2.41,2.87,0.46,25,1,1,1800000,0.0218181818181818
Juuse Saros,27,64,63,33,23,7,171,2099,1928,0.919,2.69,2,14.9,3810,40,0.635,9,85.0,29.98,180,0,99,2.72,3.42,0.69,26,4,0,5000000,0.0606060606060606
Igor Shesterkin,27,58,58,37,13,8,144,1719,1575,0.916,2.48,3,11.8,3489,35,0.603,6,87.0,20.59,188,0,118,2.52,2.93,0.41,25,4,0,5666667,0.0686868727272727
Ilya Sorokin,27,62,60,31,22,7,140,1838,1698,0.924,2.34,6,14.1,3587,42,0.7,8,80.0,35.99,188,0,78,2.4,3.24,0.84,25,3,0,4000000,0.0484848484848484
Alex Stalock,35,27,24,9,15,2,74,804,730,0.908,3.01,2,4.9,1475,13,0.542,2,96.0,2.98,183,0,112,2.96,3.02,0.06,34,1,1,750000,0.009090909090909
Anthony Stolarz,29,19,12,5,6,0,51,494,443,0.897,3.73,0,2.4,820,3,0.25,2,108.0,-3.7,198,0,45,3.73,3.86,0.13,27,2,1,950000,0.0115151515151515
Cam Talbot,35,36,32,17,14,2,95,935,840,0.898,2.93,1,4.7,1947,21,0.656,9,106.0,-5.47,193,0,300,2.89,2.91,0.01,32,3,1,3666667,0.0444444484848484
Daniil Tarasov,23,17,16,4,11,1,57,528,471,0.892,3.91,0,2.3,874,6,0.375,5,113.0,-6.44,191,0,86,3.91,3.39,-0.53,23,3,0,1050000,0.0127272727272727
Linus Ullmark,29,49,48,40,6,1,91,1457,1366,0.938,1.89,2,13.2,2882,43,0.896,1,65.0,48.51,193,0,163,1.91,2.71,0.8,27,4,1,5000000,0.0606060606060606
Semyon Varlamov,34,23,22,11,9,2,60,689,629,0.913,2.7,2,4.5,1335,14,0.636,4,91.0,5.97,188,0,23,2.7,3.03,0.33,31,4,1,5000000,0.0606060606060606
Andrei Vasilevskiy,28,60,60,34,22,4,159,1875,1716,0.915,2.65,4,12.7,3596,35,0.583,11,89.0,20.53,191,0,19,2.57,3.07,0.5,25,8,0,9500000,0.1151515151515151
Karel Vejmelka,26,50,49,18,24,6,168,1670,1502,0.899,3.43,3,8.6,2941,22,0.449,7,105.0,-8.1,191,1,145,3.38,3.56,0.17,26,3,0,2725000,0.033030303030303
Scott Wedgewood,30,21,18,9,8,3,51,603,552,0.915,2.72,1,4.1,1127,13,0.722,1,88.0,6.74,183,0,84,2.92,3.1,0.18,29,2,1,1000000,0.0121212121212121
