player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Jake Allen,31,35,35,9,20,4,107,1123,1016,0.905,3.3,2,6.0,1948,18,0.514,8,102.0,-2.55,188,0,34,3.3,3.37,0.07,30,2,1,2875000,0.0352760736196319
Frederik Andersen,32,52,51,35,14,3,111,1431,1320,0.922,2.17,4,10.2,3071,30,0.588,5,83.0,22.09,193,0,87,2.17,2.72,0.55,31,2,1,4500000,0.0552147239263803
Jordan Binnington,28,37,37,18,14,4,112,1135,1023,0.901,3.13,2,5.6,2145,16,0.432,7,106.0,-6.44,185,0,88,3.13,2.85,-0.28,27,6,1,6000000,0.0736196319018405
Mackenzie Blackwood,25,25,24,9,10,4,79,731,652,0.892,3.39,2,2.9,1399,9,0.375,2,116.0,-11.01,193,0,42,3.39,2.74,-0.65,23,3,0,2800000,0.0343558282208589
Sergei Bobrovsky,33,54,53,39,7,3,137,1566,1429,0.913,2.67,3,9.6,3082,33,0.623,6,94.0,8.65,188,0,300,2.67,2.9,0.23,30,7,1,10000000,0.1226993865030674
Laurent Brossoit,28,24,21,10,9,3,62,588,526,0.895,2.9,1,2.5,1281,10,0.476,4,113.0,-7.31,191,0,164,2.9,2.81,-0.09,28,2,1,2325000,0.0285276073619631
Jack Campbell,30,49,47,31,9,6,123,1430,1307,0.914,2.64,5,8.9,2795,28,0.596,10,92.0,10.0,188,0,11,2.64,2.47,-0.17,28,2,1,1650000,0.0202453987730061
Eric Comrie,26,19,16,10,5,1,44,550,506,0.92,2.58,1,3.8,1025,10,0.625,1,86.0,7.15,185,0,59,2.58,3.15,0.58,25,1,1,750000,0.00920245398773
Thatcher Demko,26,64,61,33,22,7,168,1967,1799,0.915,2.72,1,12.4,3701,35,0.574,7,92.0,14.94,193,0,36,2.72,2.83,0.11,25,5,0,5000000,0.0613496932515337
Casey DeSmith,30,26,24,11,6,5,66,769,703,0.914,2.79,3,4.8,1418,12,0.5,4,92.0,5.52,183,0,300,2.79,2.73,-0.06,27,3,1,1250000,0.0153374233128834
Chris Driedger,27,27,24,9,14,1,73,722,649,0.899,2.96,1,3.4,1478,9,0.375,3,109.0,-5.85,193,0,76,2.96,2.78,-0.18,27,3,1,3500000,0.0429447852760736
Marc-André Fleury,37,56,56,28,23,5,159,1732,1573,0.908,2.9,4,9.8,3285,28,0.5,15,99.0,2.09,188,0,1,2.9,2.7,-0.2,34,3,1,7000000,0.0858895705521472
Anton Forsberg,29,46,44,22,17,4,121,1457,1336,0.917,2.82,1,9.6,2571,29,0.659,5,89.0,14.51,191,0,188,2.82,3.1,0.27,28,1,1,900000,0.011042944785276
Pavel Francouz,31,21,18,15,5,1,51,608,557,0.916,2.55,2,3.9,1200,6,0.333,1,90.0,5.55,183,1,300,2.54,2.58,0.03,30,2,1,2000000,0.0245398773006134
Alexandar Georgiev,25,33,28,15,10,2,85,832,747,0.898,2.92,2,3.8,1746,13,0.464,9,110.0,-7.62,185,0,300,2.92,2.74,-0.18,24,2,0,2425000,0.0297546012269938
John Gibson,28,56,56,18,26,11,172,1789,1617,0.904,3.19,1,9.3,3236,28,0.5,11,103.0,-5.61,188,0,39,3.19,3.09,-0.1,25,8,0,6400000,0.0785276073619632
Thomas Greiss,36,31,28,10,15,1,92,842,750,0.891,3.66,0,3.3,1508,14,0.5,7,117.0,-13.69,188,0,94,3.66,3.09,-0.57,34,2,1,3600000,0.0441717791411042
Philipp Grubauer,30,55,54,18,31,5,164,1479,1315,0.889,3.16,2,5.5,3111,18,0.333,10,119.0,-26.44,185,0,112,3.16,2.53,-0.63,29,6,1,5900000,0.0723926380368098
Carter Hart,23,45,44,13,24,7,137,1441,1304,0.905,3.16,1,7.7,2603,21,0.477,6,102.0,-2.98,188,0,48,3.16,3.0,-0.16,22,3,0,3979000,0.0488220858895705
Connor Hellebuyck,28,66,66,29,27,10,193,2155,1962,0.91,2.97,4,12.7,3904,39,0.591,10,96.0,7.43,193,0,130,2.97,3.15,0.19,25,6,0,6166666,0.0756646134969325
Adin Hill,25,25,22,10,11,1,61,648,587,0.906,2.66,2,3.5,1376,12,0.545,4,101.0,-0.73,198,0,76,2.66,2.37,-0.29,25,2,0,2175000,0.0266871165644171
Braden Holtby,32,24,22,10,10,1,61,700,639,0.913,2.78,0,4.3,1318,13,0.591,3,94.0,4.1,188,0,93,2.78,2.74,-0.04,31,1,1,2000000,0.0245398773006134
Ville Husso,26,40,38,25,7,6,100,1236,1136,0.919,2.56,2,8.4,2341,23,0.605,3,87.0,14.96,188,0,94,2.56,2.91,0.34,25,2,0,750000,0.00920245398773
Tristan Jarry,26,58,56,34,18,6,138,1711,1573,0.919,2.42,4,11.6,3415,35,0.625,6,87.0,21.13,188,0,44,2.42,2.56,0.14,25,3,0,3500000,0.0429447852760736
Martin Jones,32,35,33,12,18,3,114,1141,1027,0.9,3.42,0,5.5,1997,15,0.455,3,107.0,-7.88,193,0,300,3.42,3.1,-0.33,31,1,1,2000000,0.0245398773006134
Kaapo Kähkönen,25,36,33,14,14,4,93,1056,963,0.912,2.87,0,6.4,1947,22,0.667,6,95.0,5.21,188,0,109,2.87,2.94,0.07,23,2,0,725000,0.0088957055214723
Joonas Korpisalo,27,22,17,7,11,0,78,634,556,0.877,4.15,0,1.6,1128,5,0.294,6,132.0,-19.03,191,0,62,4.15,3.36,-0.78,26,2,0,2800000,0.0343558282208589
Mikko Koskinen,33,45,43,27,12,4,136,1397,1261,0.903,3.1,1,7.1,2629,19,0.442,7,105.0,-6.07,201,0,31,3.1,3.03,-0.07,30,3,1,4500000,0.0552147239263803
Darcy Kuemper,31,57,57,37,12,4,138,1754,1616,0.921,2.54,5,12.3,3259,32,0.561,7,85.0,25.13,196,0,161,2.54,2.84,0.3,30,2,1,4500000,0.0552147239263803
Kevin Lankinen,26,32,29,8,15,6,106,973,867,0.891,3.5,0,3.8,1816,12,0.414,6,117.0,-15.51,188,0,300,3.5,2.67,-0.83,25,2,0,800000,0.0098159509202454
Robin Lehner,30,44,44,23,17,2,120,1288,1168,0.907,2.83,1,7.1,2547,20,0.455,7,100.0,-0.21,193,0,46,2.83,3.06,0.23,28,5,1,5000000,0.0613496932515337
Jacob Markström,32,63,63,37,15,9,137,1754,1617,0.922,2.22,9,12.4,3696,38,0.603,6,84.0,26.13,198,0,31,2.22,2.48,0.25,30,6,1,6000000,0.0736196319018405
Petr Mrázek,29,20,18,12,6,0,58,520,462,0.888,3.34,0,1.9,1042,6,0.333,4,120.0,-9.64,185,0,141,3.34,2.57,-0.77,29,3,1,3800000,0.0466257668711656
Matt Murray,27,20,20,5,12,2,60,640,580,0.906,3.05,1,3.5,1182,12,0.6,3,101.0,-0.48,193,0,83,3.05,3.17,0.12,26,4,0,6250000,0.0766871165644171
Alex Nedeljkovic,26,59,52,20,24,9,178,1796,1618,0.901,3.31,4,8.8,3231,28,0.538,10,107.0,-10.96,183,0,37,3.31,3.11,-0.2,25,2,0,3000000,0.0368098159509202
Jonathan Quick,36,46,46,23,13,9,116,1284,1168,0.91,2.59,2,7.5,2686,24,0.522,7,97.0,3.42,185,0,72,2.59,2.87,0.28,27,10,1,5800000,0.0711656441717791
Antti Raanta,32,28,26,15,5,4,62,706,644,0.912,2.45,2,4.3,1517,15,0.577,1,94.0,3.66,183,0,300,2.45,2.76,0.31,32,2,1,2000000,0.0245398773006134
James Reimer,33,48,46,19,17,10,129,1450,1321,0.911,2.9,1,8.6,2673,30,0.652,9,96.0,5.86,188,0,99,2.9,3.01,0.11,33,2,1,2250000,0.0276073619631901
David Rittich,29,17,12,6,3,4,49,431,382,0.886,3.57,0,1.5,823,4,0.333,1,122.0,-8.91,191,0,300,3.57,3.02,-0.55,28,1,1,1250000,0.0153374233128834
Ilya Samsonov,24,44,39,23,12,5,119,1145,1026,0.896,3.02,3,5.1,2361,13,0.333,8,112.0,-12.51,191,0,22,3.02,2.75,-0.28,24,1,0,2000000,0.0245398773006134
Juuse Saros,26,67,67,38,25,3,173,2107,1934,0.918,2.64,4,14.0,3932,43,0.642,8,88.0,22.96,180,0,99,2.64,2.84,0.2,26,4,0,5000000,0.0613496932515337
Igor Shesterkin,26,53,52,36,13,4,106,1622,1516,0.935,2.07,6,13.6,3071,38,0.731,4,70.0,44.86,188,0,118,2.06,2.81,0.74,25,4,0,5666667,0.0695296564417178
Ilya Sorokin,26,52,52,26,18,8,123,1643,1520,0.925,2.4,7,12.1,3072,37,0.712,7,80.0,29.81,188,0,78,2.4,2.81,0.41,25,3,0,4000000,0.0490797546012269
Anthony Stolarz,28,28,23,12,8,3,67,809,742,0.917,2.67,3,5.3,1506,15,0.652,2,89.0,8.24,198,0,45,2.67,2.82,0.15,27,2,1,950000,0.0116564417177914
Cam Talbot,34,49,48,32,12,4,132,1488,1356,0.911,2.76,3,8.9,2864,28,0.583,7,95.0,6.39,193,0,300,2.76,2.43,-0.34,32,3,1,3666667,0.0449897791411042
Linus Ullmark,28,41,39,26,10,2,95,1140,1045,0.917,2.45,1,7.4,2330,20,0.513,3,90.0,11.03,193,0,163,2.45,2.39,-0.05,27,4,1,5000000,0.0613496932515337
Semyon Varlamov,33,31,29,10,17,2,87,978,891,0.911,2.91,2,5.8,1792,16,0.552,3,96.0,3.96,188,0,23,2.91,3.02,0.11,31,4,1,5000000,0.0613496932515337
Andrei Vasilevskiy,27,63,63,39,18,5,156,1868,1712,0.916,2.49,2,12.2,3761,39,0.619,7,90.0,17.73,191,0,19,2.49,2.77,0.28,25,8,0,9500000,0.1165644171779141
