Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Nolan Patrick,22,C,52,4,5,9,-30,20,-1.1,2,2,0,0,4,1,0,49,8.2,690,797,18,45,226,204,52.6
Nick Paul,25,LW,56,5,15,20,5,19,1.3,4,0,1,0,10,2,3,105,4.8,901,965,35,74,219,201,52.1
Joe Pavelski,36,C,56,25,26,51,22,16,7.0,12,13,0,4,18,8,0,139,18.0,1065,1141,39,64,362,334,52.0
Tanner Pearson,28,LW,51,10,8,18,-15,26,1.0,8,2,0,2,6,1,1,110,9.1,871,1024,28,54,6,10,37.5
Lane Pederson,23,F,15,1,2,3,-2,2,0.1,1,0,0,0,1,1,0,15,6.7,166,665,2,39,39,39,50.0
Adam Pelech,26,D,56,4,10,14,15,18,4.7,3,0,1,0,9,0,1,82,4.9,1179,1263,73,66,0,0,0.0
Mathieu Perreault,33,C,56,9,10,19,6,16,2.0,7,2,0,0,8,2,0,57,15.8,656,703,18,84,5,8,38.5
David Perron,32,LW,56,19,39,58,6,22,6.3,13,6,0,2,24,15,0,151,12.6,1039,1113,25,45,0,6,0.0
Corey Perry,35,RW,49,9,12,21,-4,39,1.9,8,1,0,1,6,6,0,62,14.5,673,824,15,56,0,6,0.0
Brett Pesce,26,D,55,4,21,25,14,20,5.4,3,1,0,0,17,4,0,89,4.5,1254,1368,82,17,0,0,0.0
Jeff Petry,33,D,55,12,30,42,6,20,7.2,8,4,0,2,18,11,1,128,9.4,1251,1364,60,97,0,0,0.0
Elias Pettersson,22,C,26,10,11,21,0,6,2.6,6,4,0,1,9,1,1,63,15.9,483,1114,9,11,63,77,45.0
Marcus Pettersson,24,D,47,2,7,9,8,22,1.9,2,0,0,0,7,0,0,46,4.3,775,989,39,51,0,0,0.0
Alex Pietrangelo,31,D,41,7,16,23,20,16,5.4,7,0,0,2,11,4,1,126,5.6,1002,1466,80,28,0,0,0.0
Neal Pionk,25,D,54,3,29,32,6,20,5.2,2,1,0,0,20,9,0,100,3.0,1187,1318,74,137,0,0,0.0
Tyler Pitlick,29,C,38,6,5,11,-1,16,0.8,5,0,1,0,4,1,0,56,10.7,622,982,41,81,6,9,40.0
Brayden Point,24,C,56,23,25,48,2,11,5.8,17,6,0,6,16,9,0,131,17.6,1032,1106,18,23,257,263,49.4
Tucker Poolman,27,D,39,0,1,1,-2,2,0.6,0,0,0,0,1,0,0,50,0.0,714,1098,49,69,0,0,0.0
Ivan Provorov,24,D,56,7,19,26,4,28,4.7,7,0,0,2,9,10,0,126,5.6,1400,1500,106,56,0,0,0.0
Jesse Puljujärvi,22,RW,55,15,10,25,6,16,3.0,13,2,0,0,8,2,0,115,13.0,832,908,20,101,0,3,0.0
Ryan Pulock,26,D,56,2,15,17,15,8,4.9,2,0,0,1,14,1,0,121,1.7,1257,1347,106,97,0,0,0.0
Mark Pysyk,29,D,36,3,1,4,6,20,1.7,3,0,0,0,1,0,0,51,5.9,422,703,16,36,0,0,0.0
Michael Raffl,32,LW,44,4,7,11,-4,33,0.3,4,0,0,3,7,0,0,50,8.0,583,795,28,71,32,28,53.3
Rickard Rakell,27,RW,52,9,19,28,-14,12,2.0,9,0,0,1,15,4,0,144,6.3,927,1070,16,65,5,10,33.3
Mikko Rantanen,24,RW,52,30,36,66,30,34,9.1,21,9,0,7,21,15,0,177,16.9,1036,1195,20,26,32,32,50.0
Victor Rask,27,C,54,10,13,23,1,2,2.0,9,1,0,1,8,5,0,53,18.9,780,867,10,21,218,262,45.4
Michael Rasmussen,21,C,40,3,9,12,-5,26,0.5,3,0,0,1,7,2,0,62,4.8,592,888,28,72,134,168,44.4
Ryan Reaves,34,RW,37,1,4,5,0,27,0.0,1,0,0,0,4,0,0,26,3.8,367,596,15,141,4,9,30.8
Mike Reilly,27,D,55,0,27,27,5,22,4.2,0,0,0,0,23,4,0,98,0.0,1060,1157,43,70,0,0,0.0
Sam Reinhart,25,C,54,25,15,40,-28,10,4.3,15,10,0,5,9,6,0,130,19.2,1055,1172,27,15,126,150,45.7
Dan Renouf,26,D,18,0,3,3,-1,16,0.3,0,0,0,0,3,0,0,12,0.0,183,610,3,20,0,0,0.0
