PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Anze Kopitar,191,0,11,12.62,115,212,158,0.66,6.00,11.07,8.25,609,538,53.10,1137,984,53.61,851,756,52.96,62.61,59.98,51.07,28,8,1,10000000,0.12269938650306748
Tyler Seguin,185,1,2,0.77,8,12,8,0.91,9.44,14.17,9.44,29,24,54.72,40,39,50.63,31,31,50.00,1.51,2.17,41.03,27,8,1,9850000,0.12085889570552147
Alex Ovechkin,191,1,1,17.39,178,342,259,1.22,12.44,23.90,18.10,494,393,55.69,914,708,56.35,695,556,55.56,47.57,37.86,55.68,22,13,0,9538462,0.11703634355828221
Mark Stone,191,1,178,16.28,97,172,144,0.95,5.64,10.01,8.38,634,438,59.14,1148,858,57.23,881,613,58.97,66.98,38.84,63.30,27,8,1,9500000,0.1165644171779141
Nikita Kucherov,180,0,58,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,26,8,0,9500000,0.1165644171779141
Jamie Benn,188,0,129,12.87,124,209,165,0.84,8.05,13.56,10.71,520,357,59.29,979,710,57.96,733,537,57.72,53.10,35.42,59.99,27,8,1,9500000,0.1165644171779141
Evgeni Malkin,191,0,2,6.06,72,126,92,0.62,7.38,12.91,9.43,343,266,56.32,616,443,58.17,464,335,58.07,35.97,28.59,55.72,27,8,1,9500000,0.1165644171779141
Mikko Rantanen,193,0,10,20.03,171,298,230,1.20,10.22,17.80,13.74,716,338,67.93,1338,597,69.15,980,451,68.48,76.39,28.06,73.14,22,6,0,9250000,0.11349693251533742
Nicklas Bäckström,185,0,4,10.39,90,160,125,0.62,5.38,9.56,7.47,550,418,56.82,1009,775,56.56,768,592,56.47,51.31,39.32,56.61,32,5,1,9200000,0.11288343558282209
Roman Josi,185,0,38,8.00,141,290,202,0.41,7.24,14.89,10.38,689,547,55.74,1243,982,55.87,948,742,56.09,60.23,49.84,54.72,30,8,1,9059000,0.11115337423312883
Jeff Skinner,180,0,7,10.42,111,189,153,0.81,8.68,14.78,11.96,364,354,50.70,669,630,51.50,520,499,51.03,29.31,30.60,48.92,27,8,1,9000000,0.11042944785276074
P.K. Subban,183,1,43,4.38,99,195,138,0.27,6.04,11.89,8.42,496,521,48.77,909,833,52.18,689,676,50.48,42.01,49.96,45.68,25,8,0,9000000,0.11042944785276074
Alex Pietrangelo,191,1,4,6.09,119,267,173,0.37,7.27,16.32,10.57,549,477,53.51,1056,928,53.23,764,670,53.28,56.65,46.29,55.03,30,7,1,8800000,0.10797546012269939
Sidney Crosby,180,0,1,19.66,159,251,208,1.05,8.51,13.44,11.13,663,513,56.38,1164,864,57.40,892,684,56.60,67.58,47.88,58.53,25,12,1,8700000,0.1067484662576687
Leon Draisaitl,188,0,3,21.77,162,293,220,1.08,8.07,14.60,10.96,766,555,57.99,1358,991,57.81,1035,758,57.72,87.85,52.86,62.43,21,8,0,8500000,0.10429447852760736
Steven Stamkos,185,1,1,10.81,91,153,120,0.93,7.87,13.23,10.37,410,336,54.96,741,536,58.03,561,430,56.61,40.90,30.59,57.21,26,8,1,8500000,0.10429447852760736
Sebastian Aho,183,0,35,20.49,148,251,208,1.12,8.15,13.82,11.45,697,484,59.02,1286,843,60.40,957,644,59.78,82.48,51.90,61.38,21,5,0,8460250,0.10380674846625768
Claude Giroux,180,1,22,12.76,120,211,176,0.78,7.36,12.95,10.80,591,416,58.69,1082,730,59.71,821,560,59.45,56.04,37.47,59.92,26,8,0,8275000,0.10153374233128834
Blake Wheeler,196,1,5,12.11,110,166,141,0.82,7.48,11.29,9.59,496,426,53.80,884,755,53.94,676,572,54.17,49.99,50.55,49.72,32,5,1,8250000,0.10122699386503067
Oliver Ekman-Larsson,188,0,6,3.18,83,175,122,0.20,5.16,10.89,7.59,431,506,46.00,807,863,48.32,610,693,46.82,36.90,47.36,43.79,27,8,1,8250000,0.10122699386503067
Jakub Voracek,188,0,7,10.06,104,195,142,0.67,6.96,13.05,9.50,503,401,55.64,955,693,57.95,712,533,57.19,47.92,37.32,56.22,25,8,1,8250000,0.10122699386503067
Ryan Getzlaf,191,1,19,8.48,70,133,100,0.64,5.28,10.02,7.54,378,354,51.64,781,644,54.81,558,487,53.40,37.89,34.76,52.15,27,8,1,8250000,0.10122699386503067
Taylor Hall,185,0,1,13.18,136,236,185,0.84,8.61,14.96,11.73,567,397,58.82,1034,654,61.26,806,509,61.29,52.82,39.60,57.15,28,1,1,8000000,0.09815950920245399
Thomas Chabot,188,0,18,5.40,120,241,162,0.25,5.59,11.24,7.55,692,645,51.76,1287,1205,51.65,978,901,52.05,67.23,59.84,52.91,23,8,0,8000000,0.09815950920245399
Jacob Trouba,191,1,9,3.36,70,156,99,0.25,5.14,11.46,7.27,391,395,49.75,694,762,47.66,533,550,49.22,36.42,35.75,50.46,25,7,0,8000000,0.09815950920245399
Matt Duchene,180,0,3,8.39,73,126,102,0.94,8.14,14.04,11.37,373,267,58.28,643,447,58.99,496,343,59.12,30.75,23.80,56.37,28,7,1,8000000,0.09815950920245399
Logan Couture,185,0,9,14.11,114,196,154,0.83,6.70,11.51,9.05,544,555,49.50,1011,971,51.01,757,758,49.97,56.87,53.72,51.42,30,8,1,8000000,0.09815950920245399
John Carlson,191,1,27,7.98,128,251,191,0.39,6.21,12.18,9.27,656,579,53.12,1201,1064,53.02,929,826,52.93,65.87,56.49,53.83,28,8,1,8000000,0.09815950920245399
Ryan Johansen,191,1,4,8.44,67,105,87,0.62,4.94,7.75,6.42,487,366,57.09,854,656,56.56,660,499,56.95,40.59,35.36,53.44,24,8,0,8000000,0.09815950920245399
Brent Burns,196,1,20,7.68,137,288,190,0.32,5.71,12.00,7.92,740,774,48.88,1331,1423,48.33,1005,1069,48.46,79.22,73.72,51.80,32,8,1,8000000,0.09815950920245399
Phil Kessel,183,1,5,11.09,115,206,144,0.70,7.21,12.92,9.02,473,438,51.92,884,784,53.00,651,612,51.54,43.82,47.45,48.01,25,8,1,8000000,0.09815950920245399
Victor Hedman,198,0,2,7.81,136,316,207,0.35,6.03,14.02,9.18,722,619,53.84,1279,1037,55.22,980,805,54.90,68.72,58.97,53.82,25,8,1,7875000,0.09662576687116564
Shea Weber,193,1,49,3.71,104,215,146,0.20,5.73,11.84,8.03,583,549,51.50,1036,985,51.26,777,755,50.72,49.52,53.98,47.85,26,14,0,7857143,0.09640666257668712
Evgeny Kuznetsov,188,0,26,7.26,78,122,102,0.64,6.89,10.77,9.01,367,296,55.35,673,518,56.51,529,414,56.10,36.19,27.52,56.80,25,8,0,7800000,0.09570552147239264
Jared Spurgeon,175,1,156,5.82,94,189,135,0.30,4.80,9.67,6.90,611,581,51.26,1081,1104,49.47,817,807,50.31,55.24,47.24,53.90,30,7,1,7575000,0.09294478527607362
Ryan Suter,188,0,7,3.64,83,193,121,0.18,4.13,9.64,6.04,585,644,47.60,1062,1164,47.71,818,878,48.23,52.85,49.97,51.40,27,13,1,7538462,0.0924964662576687
Zach Parise,180,0,17,9.75,88,119,111,0.96,8.63,11.67,10.89,305,300,50.41,533,568,48.41,413,414,49.94,31.35,24.87,55.76,27,13,1,7538462,0.0924964662576687
Aaron Ekblad,193,1,1,6.81,101,193,144,0.47,6.90,13.19,9.84,527,401,56.79,867,692,55.61,689,552,55.52,52.76,38.31,57.93,20,8,0,7500000,0.09202453987730061
Vladimir Tarasenko,183,0,16,4.84,65,111,81,0.70,9.33,15.93,11.62,248,173,58.91,445,370,54.60,326,257,55.92,19.54,18.21,51.76,23,8,0,7500000,0.09202453987730061
Ryan O'Reilly,185,0,33,12.15,123,178,154,0.64,6.52,9.43,8.16,648,532,54.92,1136,970,53.94,840,736,53.30,57.15,59.49,49.00,25,7,1,7500000,0.09202453987730061
Nico Hischier,185,0,1,5.14,44,77,62,0.79,6.79,11.88,9.57,193,192,50.13,375,351,51.65,267,273,49.44,17.89,18.36,49.35,21,7,0,7250000,0.08895705521472393
David Krejci,183,1,63,7.29,83,141,112,0.50,5.70,9.68,7.69,536,346,60.77,975,616,61.28,753,479,61.12,46.52,24.65,65.36,28,6,1,7250000,0.08895705521472393
Kris Letang,183,1,62,5.14,132,261,179,0.23,5.84,11.55,7.92,734,663,52.54,1265,1135,52.71,977,900,52.05,72.67,61.48,54.17,27,8,1,7250000,0.08895705521472393
Clayton Keller,178,0,7,13.11,124,212,176,0.84,7.98,13.64,11.32,536,391,57.82,1010,694,59.27,762,530,58.98,50.83,39.54,56.25,21,8,0,7150000,0.08773006134969324
Kyle Connor,185,0,17,18.26,159,293,219,1.08,9.38,17.28,12.91,573,452,55.90,1060,829,56.11,782,627,55.50,55.24,52.50,51.27,22,7,0,7142857,0.08764241717791411
Kevin Hayes,196,0,24,14.76,127,226,178,0.92,7.91,14.07,11.08,488,456,51.69,888,805,52.45,689,635,52.04,49.41,42.79,53.59,27,7,1,7142857,0.08764241717791411
Mathew Barzal,183,1,16,16.97,134,217,173,0.99,7.80,12.63,10.07,632,411,60.59,1076,770,58.29,833,565,59.59,62.48,37.95,62.21,23,3,0,7000000,0.08588957055214724
Matthew Tkachuk,188,0,6,17.73,140,235,189,1.12,8.90,14.94,12.02,586,392,59.92,1063,691,60.60,808,546,59.68,56.28,36.34,60.76,21,3,0,7000000,0.08588957055214724
Anders Lee,191,0,152,9.59,80,117,99,1.22,10.14,14.84,12.55,298,194,60.57,520,359,59.16,401,269,59.85,32.15,17.85,64.31,28,7,1,7000000,0.08588957055214724
Joe Pavelski,180,1,205,18.45,139,242,211,1.04,7.83,13.63,11.88,605,403,60.02,1184,751,61.19,889,565,61.14,64.77,38.51,62.71,34,3,1,7000000,0.08588957055214724
Max Pacioretty,188,0,22,16.50,174,285,231,1.14,12.12,19.86,16.10,553,379,59.33,984,723,57.64,749,513,59.35,56.22,33.47,62.68,30,4,1,7000000,0.08588957055214724
James van Riemsdyk,191,0,2,14.76,132,197,169,0.96,8.55,12.76,10.95,538,368,59.38,1034,653,61.29,765,492,60.86,51.30,30.12,63.01,29,5,1,7000000,0.08588957055214724
Evander Kane,188,0,4,20.87,193,321,254,1.12,10.39,17.28,13.67,628,591,51.52,1132,1032,52.31,849,804,51.36,64.89,55.36,53.96,26,7,1,7000000,0.08588957055214724
Marc-Édouard Vlasic,185,0,35,1.39,37,86,62,0.10,2.54,5.91,4.26,371,465,44.38,664,903,42.37,514,670,43.41,30.50,39.32,43.68,31,8,1,7000000,0.08588957055214724
William Nylander,183,1,8,17.69,129,207,174,1.30,9.52,15.27,12.83,491,336,59.37,902,614,59.50,691,471,59.47,55.96,29.70,65.33,22,6,0,6962366,0.0854278036809816
Brent Seabrook,191,1,14,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,31,8,1,6875000,0.0843558282208589
Ryan Kesler,188,1,23,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,31,6,1,6875000,0.0843558282208589
Patrice Bergeron,185,1,45,18.96,182,298,256,1.15,11.10,18.18,15.62,683,356,65.73,1172,668,63.70,929,506,64.73,60.69,33.85,64.20,28,8,1,6875000,0.0843558282208589
Patrik Laine,196,1,2,5.36,82,160,109,0.40,6.13,11.97,8.15,409,429,48.81,675,737,47.80,525,571,47.90,29.51,41.44,41.59,21,2,0,6750000,0.08282208588957055
Brayden Point,178,1,79,17.05,131,213,178,0.99,7.61,12.38,10.35,595,421,58.56,1064,728,59.38,811,546,59.76,61.56,36.47,62.79,23,3,0,6750000,0.08282208588957055
Ivan Provorov,185,0,7,5.54,126,252,166,0.24,5.40,10.80,7.11,673,703,48.91,1236,1266,49.40,931,967,49.05,60.77,67.95,47.21,22,6,0,6750000,0.08282208588957055
Ryan McDonagh,185,0,12,4.53,85,160,114,0.25,4.66,8.77,6.25,508,536,48.66,883,985,47.27,683,727,48.44,48.62,48.65,49.98,30,7,1,6750000,0.08282208588957055
Johnny Gaudreau,175,0,104,11.84,102,180,141,0.74,6.41,11.31,8.86,575,404,58.73,1010,703,58.96,789,549,58.97,57.63,36.61,61.15,22,6,0,6750000,0.08282208588957055
Mark Giordano,185,0,300,4.99,126,279,192,0.25,6.38,14.14,9.73,567,572,49.78,1088,1052,50.84,820,764,51.77,55.47,59.73,48.15,32,6,1,6750000,0.08282208588957055
David Pastrnak,183,1,25,14.65,176,334,247,0.98,11.82,22.42,16.57,610,323,65.38,1090,555,66.26,853,432,66.38,51.70,26.37,66.22,21,6,0,6666667,0.08179959509202454
Torey Krug,175,0,300,5.30,105,200,143,0.28,5.68,10.82,7.73,637,499,56.07,1092,919,54.30,834,702,54.30,55.74,49.55,52.94,29,7,1,6500000,0.07975460122699386
Chris Kreider,191,0,19,17.42,102,177,145,1.20,7.04,12.21,10.00,511,351,59.28,953,645,59.64,720,474,60.30,57.81,29.10,66.52,29,7,1,6500000,0.07975460122699386
Brayden Schenn,185,0,5,14.97,110,176,149,0.86,6.33,10.13,8.58,573,483,54.26,1021,917,52.68,746,662,52.98,53.35,47.35,52.98,28,8,1,6500000,0.07975460122699386
Justin Faulk,183,1,37,5.54,116,218,146,0.25,5.26,9.89,6.63,601,706,45.98,1048,1254,45.53,794,958,45.32,50.27,67.95,42.52,28,7,1,6500000,0.07975460122699386
Paul Stastny,183,0,44,14.58,99,153,131,0.92,6.24,9.65,8.26,561,400,58.38,1002,755,57.03,746,571,56.64,55.24,42.80,56.34,32,3,1,6500000,0.07975460122699386
Cam Fowler,188,0,12,3.79,75,181,105,0.19,3.69,8.91,5.17,542,579,48.35,1094,1024,51.65,787,796,49.72,50.50,61.57,45.06,26,8,1,6500000,0.07975460122699386
Derek Stepan,183,1,51,3.43,44,70,57,0.68,8.76,13.94,11.35,179,154,53.75,293,279,51.22,243,214,53.17,14.96,14.94,50.03,25,6,0,6500000,0.07975460122699386
Alex DeBrincat,170,1,39,19.13,155,268,199,1.08,8.72,15.07,11.19,586,546,51.77,1015,926,52.29,749,712,51.27,60.71,53.47,53.17,22,3,0,6400000,0.0785276073619632
Sean Monahan,188,0,6,13.30,98,154,133,0.90,6.66,10.46,9.03,495,406,54.94,884,697,55.91,692,543,56.03,51.58,35.61,59.15,21,7,0,6375000,0.07822085889570553
Keith Yandle,185,0,105,4.01,113,217,143,0.25,7.02,13.48,8.88,690,391,63.83,1158,623,65.02,901,504,64.13,63.45,34.33,64.89,29,7,1,6350000,0.07791411042944785
Nathan MacKinnon,183,1,1,20.09,206,374,280,1.23,12.64,22.94,17.18,722,333,68.44,1329,591,69.22,992,451,68.75,78.95,30.26,72.29,20,7,0,6300000,0.07730061349693251
Joshua Morrissey,183,0,13,4.83,113,240,156,0.23,5.30,11.26,7.32,650,682,48.80,1179,1229,48.96,896,942,48.75,59.90,70.17,46.05,25,8,0,6250000,0.07668711656441718
Ryan Ellis,178,1,11,3.40,75,145,93,0.25,5.41,10.45,6.71,435,413,51.30,778,729,51.63,588,557,51.35,35.97,39.57,47.62,28,8,1,6250000,0.07668711656441718
Alexander Radulov,185,0,15,3.51,25,45,34,1.08,7.67,13.80,10.43,125,46,73.09,238,109,68.59,179,73,71.03,13.80,4.96,73.56,30,5,1,6250000,0.07668711656441718
Brad Marchand,175,0,71,18.09,143,228,182,1.08,8.56,13.65,10.90,680,373,64.58,1168,685,63.03,921,529,63.52,62.13,35.26,63.80,29,8,1,6125000,0.07515337423312883
Mark Scheifele,191,1,7,15.39,120,195,157,0.81,6.32,10.27,8.27,643,531,54.77,1158,906,56.10,869,697,55.49,63.73,57.69,52.49,23,8,0,6125000,0.07515337423312883
Dylan Larkin,185,0,15,13.18,134,223,176,0.88,8.96,14.90,11.76,484,429,53.01,862,745,53.64,643,595,51.94,45.68,38.67,54.16,21,5,0,6100000,0.07484662576687116
Henrik Zetterberg,183,0,210,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,28,12,1,6083333,0.0746421226993865
Tyler Myers,203,1,12,3.33,97,172,115,0.18,5.27,9.34,6.24,492,675,42.16,886,1201,42.45,666,936,41.57,44.27,70.52,38.57,29,5,1,6000000,0.0736196319018405
Timo Meier,183,0,9,14.06,154,296,217,0.99,10.81,20.78,15.24,470,386,54.91,874,726,54.62,649,543,54.45,45.53,34.19,57.11,22,4,0,6000000,0.0736196319018405
Mats Zuccarello,173,0,300,6.80,69,137,105,0.60,6.07,12.06,9.24,353,313,53.00,666,560,54.32,512,431,54.29,34.11,24.78,57.92,31,5,1,6000000,0.0736196319018405
Alexander Edler,191,0,91,2.11,88,152,116,0.13,5.47,9.44,7.21,446,584,43.30,739,1101,40.15,593,814,42.15,38.57,56.56,40.54,33,2,1,6000000,0.0736196319018405
Brock Nelson,191,0,30,19.86,121,206,171,1.19,7.27,12.37,10.27,508,480,51.42,899,872,50.76,692,659,51.22,52.07,43.30,54.60,27,6,1,6000000,0.0736196319018405
Jake Guentzel,180,0,77,20.46,141,238,184,1.08,7.45,12.58,9.73,669,534,55.61,1184,898,56.87,901,709,55.96,67.84,50.71,57.23,24,5,0,6000000,0.0736196319018405
Matt Dumba,183,1,7,5.62,86,176,129,0.31,4.72,9.66,7.08,485,522,48.16,899,978,47.90,690,726,48.73,46.49,44.48,51.10,23,5,0,6000000,0.0736196319018405
Nikolaj Ehlers,183,0,9,11.98,148,253,194,0.91,11.18,19.12,14.66,501,364,57.92,869,662,56.76,636,503,55.84,43.71,35.69,55.05,22,7,0,6000000,0.0736196319018405
Kyle Okposo,183,1,7,4.04,45,69,59,0.50,5.56,8.52,7.29,213,257,45.32,360,463,43.74,282,372,43.12,16.55,25.35,39.50,28,7,1,6000000,0.0736196319018405
Loui Eriksson,188,0,33,0.25,5,7,5,0.22,4.47,6.26,4.47,26,38,40.61,41,79,34.17,32,62,34.04,2.09,3.68,36.22,30,6,1,6000000,0.0736196319018405
David Backes,191,1,62,2.77,30,49,39,0.87,9.42,15.39,12.25,88,93,48.62,158,175,47.45,120,128,48.39,7.24,9.43,43.43,32,5,1,6000000,0.0736196319018405
Milan Lucic,191,0,50,6.94,67,105,85,0.59,5.67,8.88,7.19,342,328,51.04,665,565,54.07,495,435,53.23,28.75,24.89,53.60,28,7,1,6000000,0.0736196319018405
Filip Forsberg,185,1,11,10.76,129,214,177,0.91,10.85,18.00,14.89,461,313,59.56,850,573,59.73,651,430,60.22,38.40,29.12,56.87,21,6,0,6000000,0.0736196319018405
Erik Johnson,193,1,1,0.13,5,8,5,0.15,5.59,8.94,5.59,30,30,50.00,53,52,50.48,41,41,50.00,3.44,3.07,52.84,28,7,1,6000000,0.0736196319018405
Brandon Saad,185,0,43,8.61,68,129,99,0.83,6.59,12.49,9.59,367,253,59.19,691,465,59.78,504,352,58.88,30.46,20.19,60.14,22,6,0,6000000,0.0736196319018405
Johnny Boychuk,188,1,61,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,31,7,1,6000000,0.0736196319018405
Jordan Staal,193,0,2,15.75,103,168,144,0.97,6.31,10.30,8.83,530,471,52.95,1009,796,55.90,741,632,53.97,57.79,47.54,54.87,23,10,1,6000000,0.0736196319018405
Ryan Nugent-Hopkins,183,0,1,16.66,131,235,183,0.96,7.57,13.58,10.57,635,480,56.95,1136,859,56.94,848,652,56.53,71.13,43.40,62.11,20,7,0,6000000,0.0736196319018405
Nate Schmidt,183,0,300,3.19,71,148,98,0.19,4.30,8.96,5.93,461,552,45.51,833,1040,44.47,636,776,45.04,41.10,52.83,43.76,27,6,1,5950000,0.07300613496932515
William Karlsson,183,0,53,15.18,106,192,140,0.89,6.19,11.22,8.18,605,450,57.35,1189,887,57.27,856,640,57.22,66.72,49.05,57.63,26,8,0,5900000,0.07239263803680981
Jonathan Huberdeau,185,0,3,13.58,123,190,153,0.80,7.29,11.26,9.07,700,426,62.17,1145,677,62.84,915,538,62.97,68.28,38.56,63.91,24,6,0,5900000,0.07239263803680981
Aleksander Barkov,191,0,2,20.02,176,261,221,1.14,10.09,14.96,12.67,727,436,62.51,1212,743,61.99,949,595,61.46,71.81,42.87,62.62,20,6,0,5900000,0.07239263803680981
Brock Boeser,185,1,23,16.48,123,222,172,1.01,7.57,13.67,10.59,569,443,56.23,1076,783,57.88,805,601,57.25,60.42,45.78,56.89,22,3,0,5875000,0.07208588957055215
Cam Atkinson,173,1,157,15.61,158,250,210,0.88,8.94,14.15,11.88,554,553,50.05,939,988,48.73,744,739,50.17,46.57,52.98,46.78,29,7,1,5875000,0.07208588957055215
Dustin Brown,183,1,13,15.35,129,207,168,1.07,8.96,14.38,11.67,517,353,59.43,932,622,59.97,712,487,59.38,52.55,35.06,59.98,29,8,1,5875000,0.07208588957055215
Nick Schmaltz,183,1,20,11.89,105,181,134,0.80,7.10,12.24,9.06,526,377,58.25,988,681,59.20,736,516,58.79,52.49,33.22,61.24,23,7,0,5850000,0.07177914110429448
Brandon Dubinsky,188,0,60,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,29,6,1,5850000,0.07177914110429448
Adam Henrique,183,0,82,8.10,77,129,102,0.67,6.40,10.72,8.48,364,375,49.26,702,639,52.35,511,503,50.39,32.39,35.54,47.68,29,5,1,5825000,0.07147239263803681
Esa Lindell,191,0,74,4.08,100,184,137,0.19,4.62,8.50,6.33,581,622,48.30,1074,1231,46.59,796,910,46.66,47.04,55.43,45.91,25,6,0,5800000,0.07116564417177915
James Neal,191,0,33,4.15,48,84,63,0.77,8.93,15.63,11.72,181,143,55.86,331,254,56.58,243,193,55.73,16.07,10.19,61.19,30,5,1,5750000,0.0705521472392638
T.J. Oshie,183,1,24,13.82,106,170,136,0.87,6.64,10.65,8.52,521,406,56.20,980,718,57.71,740,549,57.41,52.92,36.17,59.40,30,8,1,5750000,0.0705521472392638
Alexander Steen,183,0,24,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,32,4,1,5750000,0.0705521472392638
Dougie Hamilton,198,1,9,9.36,180,362,253,0.45,8.64,17.38,12.15,787,568,58.08,1466,1012,59.16,1112,783,58.68,86.71,55.15,61.12,22,6,0,5750000,0.0705521472392638
Travis Zajac,188,1,20,5.37,50,93,70,0.43,3.97,7.39,5.56,321,447,41.80,602,728,45.26,444,586,43.11,26.24,45.16,36.75,27,8,1,5750000,0.0705521472392638
Matt Niskanen,185,1,28,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,27,7,1,5750000,0.0705521472392638
Anthony Mantha,196,0,20,11.42,134,232,182,0.69,8.07,13.98,10.97,545,437,55.50,970,763,55.97,749,608,55.20,49.43,42.47,53.79,25,4,0,5700000,0.06993865030674846
Marc Staal,193,0,12,3.01,53,99,72,0.18,3.08,5.76,4.19,401,597,40.18,692,1027,40.26,536,801,40.09,33.15,50.75,39.51,28,6,1,5700000,0.06993865030674846
Jake Muzzin,191,0,141,3.61,97,184,127,0.20,5.27,9.99,6.90,527,540,49.39,944,1032,47.77,710,749,48.66,50.53,48.37,51.09,31,4,1,5625000,0.06901840490797546
Tomas Hertl,188,0,17,17.14,111,189,153,1.10,7.09,12.08,9.77,565,442,56.11,1000,840,54.35,757,630,54.58,58.87,42.55,58.05,24,4,0,5625000,0.06901840490797546
Darnell Nurse,193,0,7,7.06,150,280,201,0.31,6.48,12.10,8.68,773,832,48.16,1327,1400,48.66,1029,1099,48.36,75.87,74.43,50.48,25,2,0,5600000,0.0687116564417178
Gabriel Landeskog,185,0,2,20.47,148,261,210,1.18,8.50,14.99,12.06,742,353,67.76,1375,623,68.81,1018,481,67.91,80.52,30.90,72.27,20,7,0,5571429,0.06836109202453988
Duncan Keith,185,0,54,4.30,110,199,134,0.20,5.22,9.44,6.36,658,783,45.66,1076,1295,45.38,803,1020,44.05,57.69,77.20,42.77,26,13,0,5538462,0.06795658895705521
Josh Anderson,191,1,95,13.43,125,218,183,0.94,8.77,15.32,12.86,436,363,54.57,831,666,55.51,614,499,55.17,38.19,32.78,53.81,26,7,0,5500000,0.06748466257668712
Travis Konecny,178,1,24,10.39,100,191,146,0.78,7.55,14.42,11.02,444,355,55.57,866,590,59.48,630,462,57.69,39.13,29.78,56.78,22,6,0,5500000,0.06748466257668712
Anton Strålman,180,1,216,1.81,38,80,55,0.15,3.17,6.67,4.58,358,405,46.92,605,671,47.41,467,532,46.75,32.79,33.27,49.64,32,3,1,5500000,0.06748466257668712
Gustav Nyquist,180,0,121,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,29,4,1,5500000,0.06748466257668712
Jordan Eberle,180,1,22,15.21,128,203,173,0.99,8.33,13.22,11.26,575,373,60.65,990,671,59.60,764,496,60.63,53.64,33.96,61.23,29,5,1,5500000,0.06748466257668712
Jason Zucker,180,0,59,7.22,67,119,95,0.73,6.74,11.98,9.56,296,270,52.30,533,461,53.62,402,349,53.53,23.71,25.16,48.52,26,5,0,5500000,0.06748466257668712
Bo Horvat,183,0,9,14.67,114,204,161,0.89,6.91,12.36,9.75,579,489,54.21,1112,878,55.88,810,651,55.44,57.12,49.80,53.42,22,6,0,5500000,0.06748466257668712
