PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Connor McDavid,185,0,1,24.25,195,307,251,1.20,9.68,15.23,12.45,854,524,61.97,1508,912,62.31,1141,709,61.68,97.47,43.47,69.16,21,8,0,12500000,0.15337423312883436
Artemi Panarin,180,1,300,11.20,106,222,165,0.81,7.71,16.14,12.00,511,355,59.01,936,621,60.12,718,474,60.23,57.54,30.54,65.33,27,7,1,11642857,0.14285714110429448
Auston Matthews,191,0,1,26.46,214,356,306,1.47,11.86,19.73,16.96,644,427,60.13,1182,821,59.01,905,611,59.70,77.02,40.53,65.52,21,5,0,11640250,0.14282515337423313
Erik Karlsson,183,1,15,6.13,109,236,157,0.30,5.42,11.73,7.81,668,622,51.78,1203,1123,51.72,909,863,51.30,62.84,62.42,50.17,29,8,1,11500000,0.1411042944785276
Drew Doughty,185,1,2,6.46,95,224,143,0.27,3.99,9.41,6.00,724,648,52.77,1319,1182,52.74,999,909,52.36,69.88,70.83,49.66,29,8,1,11000000,0.13496932515337423
John Tavares,185,0,1,22.31,154,265,210,1.36,9.36,16.12,12.78,587,430,57.72,1062,786,57.47,805,593,57.58,69.83,39.89,63.64,27,7,1,11000000,0.13496932515337423
Mitchell Marner,183,1,4,19.76,153,290,204,0.98,7.58,14.36,10.10,681,528,56.33,1209,992,54.93,934,742,55.73,81.98,51.27,61.52,22,6,0,10903000,0.13377914110429448
Jonathan Toews,188,0,3,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,26,8,1,10500000,0.12883435582822086
Patrick Kane,178,0,1,16.54,191,323,240,0.80,9.21,15.57,11.57,693,643,51.87,1183,1100,51.82,874,851,50.67,66.87,63.28,51.38,26,8,1,10500000,0.12883435582822086
Jack Eichel,188,1,2,5.76,61,107,92,0.80,8.50,14.91,12.82,254,157,61.80,458,273,62.65,371,212,63.64,23.99,17.84,57.35,21,8,0,10000000,0.12269938650306748
