PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,GA60,xGA60,GSAx60,SIGNING AGE,CLAUSE,LENGTH,SIGNING,CAP HIT,CAP HIT %
1. Connor McDavid,185,Left,1 - Round 1 - 2015 (EDM),24.25,195,307,251,1.20,9.68,15.23,12.45,854,524,61.97,1508,912,62.31,1141,709,61.68,97.47,43.47,69.16,-,-,-,21,,8,RFA,12500000,0.167
2. Artemi Panarin,180,Right,-,11.20,106,222,165,0.81,7.71,16.14,12.00,511,355,59.01,936,621,60.12,718,474,60.23,57.54,30.54,65.33,-,-,-,27,NMC,7,UFA,11642857,0.143
3. Auston Matthews,191,Left,1 - Round 1 - 2016 (TOR),26.46,214,356,306,1.47,11.86,19.73,16.96,644,427,60.13,1182,821,59.01,905,611,59.70,77.02,40.53,65.52,-,-,-,21,,5,RFA,11640250,0.146
4. Erik Karlsson,183,Right,15 - Round 1 - 2008 (OTT),6.13,109,236,157,0.30,5.42,11.73,7.81,668,622,51.78,1203,1123,51.72,909,863,51.30,62.84,62.42,50.17,-,-,-,29,NMC,8,UFA,11500000,0.145
5. Drew Doughty,185,Right,2 - Round 1 - 2008 (LAK),6.46,95,224,143,0.27,3.99,9.41,6.00,724,648,52.77,1319,1182,52.74,999,909,52.36,69.88,70.83,49.66,-,-,-,29,NMC,8,UFA,11000000,0.138
6. John Tavares,185,Left,1 - Round 1 - 2009 (NYI),22.31,154,265,210,1.36,9.36,16.12,12.78,587,430,57.72,1062,786,57.47,805,593,57.58,69.83,39.89,63.64,-,-,-,27,NMC,7,UFA,11000000,0.138
7. Mitchell Marner,183,Right,4 - Round 1 - 2015 (TOR),19.76,153,290,204,0.98,7.58,14.36,10.10,681,528,56.33,1209,992,54.93,934,742,55.73,81.98,51.27,61.52,-,-,-,22,,6,RFA,10903000,0.134
8. Carey Price,191,Left,5 - Round 1 - 2005 (MTL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.64,2.34,-0.30,29,NMC,8,UFA,10500000,0.14
9. Jonathan Toews,188,Left,3 - Round 1 - 2006 (CHI),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,26,NMC,8,UFA,10500000,0.152
10. Patrick Kane,178,Left,1 - Round 1 - 2007 (CHI),16.54,191,323,240,0.80,9.21,15.57,11.57,693,643,51.87,1183,1100,51.82,874,851,50.67,66.87,63.28,51.38,-,-,-,26,NMC,8,UFA,10500000,0.152
11. Sergei Bobrovsky,188,Left,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.91,2.54,-0.37,30,NMC,7,UFA,10000000,0.123
12. Jack Eichel,188,Right,2 - Round 1 - 2015 (BUF),5.76,61,107,92,0.80,8.50,14.91,12.82,254,157,61.80,458,273,62.65,371,212,63.64,23.99,17.84,57.35,-,-,-,21,,8,RFA,10000000,0.133
13. Anze Kopitar,191,Left,11 - Round 1 - 2005 (LAK),12.62,115,212,158,0.66,6.00,11.07,8.25,609,538,53.10,1137,984,53.61,851,756,52.96,62.61,59.98,51.07,-,-,-,28,M-NTC,8,UFA,10000000,0.14
14. Tyler Seguin,185,Right,2 - Round 1 - 2010 (BOS),0.77,8,12,8,0.91,9.44,14.17,9.44,29,24,54.72,40,39,50.63,31,31,50.00,1.51,2.17,41.03,-,-,-,27,NMC,8,UFA,9850000,0.124
15. Alex Ovechkin,191,Right,1 - Round 1 - 2004 (WSH),17.39,178,342,259,1.22,12.44,23.90,18.10,494,393,55.69,914,708,56.35,695,556,55.56,47.57,37.86,55.68,-,-,-,22,M-NTC,13,RFA,9538462,0.19
16. Andrei Vasilevskiy,191,Left,19 - Round 1 - 2012 (TBL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.21,2.51,0.30,25,,8,RFA,9500000,0.117
17. Mark Stone,191,Right,178 - Round 6 - 2010 (OTT),16.28,97,172,144,0.95,5.64,10.01,8.38,634,438,59.14,1148,858,57.23,881,613,58.97,66.98,38.84,63.30,-,-,-,27,NMC,8,UFA,9500000,0.119
18. Nikita Kucherov,180,Left,58 - Round 2 - 2011 (TBL),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,26,NMC,8,RFA,9500000,0.119
19. Jamie Benn,188,Left,129 - Round 5 - 2007 (DAL),12.87,124,209,165,0.84,8.05,13.56,10.71,520,357,59.29,979,710,57.96,733,537,57.72,53.10,35.42,59.99,-,-,-,27,NMC,8,UFA,9500000,0.13
20. Evgeni Malkin,191,Left,2 - Round 1 - 2004 (PIT),6.06,72,126,92,0.62,7.38,12.91,9.43,343,266,56.32,616,443,58.17,464,335,58.07,35.97,28.59,55.72,-,-,-,27,NMC,8,UFA,9500000,0.148
21. Mikko Rantanen,193,Left,10 - Round 1 - 2015 (COL),20.03,171,298,230,1.20,10.22,17.80,13.74,716,338,67.93,1338,597,69.15,980,451,68.48,76.39,28.06,73.14,-,-,-,22,,6,RFA,9250000,0.113
22. Nicklas Bäckström,185,Left,4 - Round 1 - 2006 (WSH),10.39,90,160,125,0.62,5.38,9.56,7.47,550,418,56.82,1009,775,56.56,768,592,56.47,51.31,39.32,56.61,-,-,-,32,NMC,5,UFA,9200000,0.113
