PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,GA60,xGA60,GSAx60,SIGNING AGE,CLAUSE,LENGTH,SIGNING,CAP HIT,CAP HIT %
23. Roman Josi,185,Left,38 - Round 2 - 2008 (NSH),8.00,141,290,202,0.41,7.24,14.89,10.38,689,547,55.74,1243,982,55.87,948,742,56.09,60.23,49.84,54.72,-,-,-,30,NMC,8,UFA,9059000,0.111
24. Jeff Skinner,180,Left,7 - Round 1 - 2010 (CAR),10.42,111,189,153,0.81,8.68,14.78,11.96,364,354,50.70,669,630,51.50,520,499,51.03,29.31,30.60,48.92,-,-,-,27,NMC,8,UFA,9000000,0.113
25. P.K. Subban,183,Right,43 - Round 2 - 2007 (MTL),4.38,99,195,138,0.27,6.04,11.89,8.42,496,521,48.77,909,833,52.18,689,676,50.48,42.01,49.96,45.68,-,-,-,25,,8,RFA,9000000,0.13
26. Alex Pietrangelo,191,Right,4 - Round 1 - 2008 (STL),6.09,119,267,173,0.37,7.27,16.32,10.57,549,477,53.51,1056,928,53.23,764,670,53.28,56.65,46.29,55.03,-,-,-,30,NMC,7,UFA,8800000,0.108
27. Sidney Crosby,180,Left,1 - Round 1 - 2005 (PIT),19.66,159,251,208,1.05,8.51,13.44,11.13,663,513,56.38,1164,864,57.40,892,684,56.60,67.58,47.88,58.53,-,-,-,25,NMC,12,UFA,8700000,0.145
28. Leon Draisaitl,188,Left,3 - Round 1 - 2014 (EDM),21.77,162,293,220,1.08,8.07,14.60,10.96,766,555,57.99,1358,991,57.81,1035,758,57.72,87.85,52.86,62.43,-,-,-,21,,8,RFA,8500000,0.113
29. Steven Stamkos,185,Right,1 - Round 1 - 2008 (TBL),10.81,91,153,120,0.93,7.87,13.23,10.37,410,336,54.96,741,536,58.03,561,430,56.61,40.90,30.59,57.21,-,-,-,26,NMC,8,UFA,8500000,0.116
30. Sebastian Aho,183,Left,35 - Round 2 - 2015 (CAR),20.49,148,251,208,1.12,8.15,13.82,11.45,697,484,59.02,1286,843,60.40,957,644,59.78,82.48,51.90,61.38,-,-,-,21,,5,RFA,8460250,0.104
31. Claude Giroux,180,Right,22 - Round 1 - 2006 (PHI),12.76,120,211,176,0.78,7.36,12.95,10.80,591,416,58.69,1082,730,59.71,821,560,59.45,56.04,37.47,59.92,-,-,-,26,NMC,8,RFA,8275000,0.129
32. Blake Wheeler,196,Right,5 - Round 1 - 2004 (ARI),12.11,110,166,141,0.82,7.48,11.29,9.59,496,426,53.80,884,755,53.94,676,572,54.17,49.99,50.55,49.72,-,-,-,32,NMC,5,UFA,8250000,0.104
33. Oliver Ekman-Larsson,188,Left,6 - Round 1 - 2009 (ARI),3.18,83,175,122,0.20,5.16,10.89,7.59,431,506,46.00,807,863,48.32,610,693,46.82,36.90,47.36,43.79,-,-,-,27,NMC,8,UFA,8250000,0.104
34. Jakub Voracek,188,Left,7 - Round 1 - 2007 (CBJ),10.06,104,195,142,0.67,6.96,13.05,9.50,503,401,55.64,955,693,57.95,712,533,57.19,47.92,37.32,56.22,-,-,-,25,,8,UFA,8250000,0.116
35. Ryan Getzlaf,191,Right,19 - Round 1 - 2003 (ANA),8.48,70,133,100,0.64,5.28,10.02,7.54,378,354,51.64,781,644,54.81,558,487,53.40,37.89,34.76,52.15,-,-,-,27,NMC,8,UFA,8250000,0.128
36. Taylor Hall,185,Left,1 - Round 1 - 2010 (EDM),13.18,136,236,185,0.84,8.61,14.96,11.73,567,397,58.82,1034,654,61.26,806,509,61.29,52.82,39.60,57.15,-,-,-,28,NMC,1,UFA,8000000,0.098
37. Thomas Chabot,188,Left,18 - Round 1 - 2015 (OTT),5.40,120,241,162,0.25,5.59,11.24,7.55,692,645,51.76,1287,1205,51.65,978,901,52.05,67.23,59.84,52.91,-,-,-,23,,8,RFA,8000000,0.098
38. Jacob Trouba,191,Right,9 - Round 1 - 2012 (WPG),3.36,70,156,99,0.25,5.14,11.46,7.27,391,395,49.75,694,762,47.66,533,550,49.22,36.42,35.75,50.46,-,-,-,25,NMC,7,RFA,8000000,0.098
39. Matt Duchene,180,Left,3 - Round 1 - 2009 (COL),8.39,73,126,102,0.94,8.14,14.04,11.37,373,267,58.28,643,447,58.99,496,343,59.12,30.75,23.80,56.37,-,-,-,28,,7,UFA,8000000,0.098
40. Logan Couture,185,Left,9 - Round 1 - 2007 (SJS),14.11,114,196,154,0.83,6.70,11.51,9.05,544,555,49.50,1011,971,51.01,757,758,49.97,56.87,53.72,51.42,-,-,-,30,M-NTC,8,UFA,8000000,0.101
41. John Carlson,191,Right,27 - Round 1 - 2008 (WSH),7.98,128,251,191,0.39,6.21,12.18,9.27,656,579,53.12,1201,1064,53.02,929,826,52.93,65.87,56.49,53.83,-,-,-,28,M-NTC,8,UFA,8000000,0.101
42. Ryan Johansen,191,Right,4 - Round 1 - 2010 (CBJ),8.44,67,105,87,0.62,4.94,7.75,6.42,487,366,57.09,854,656,56.56,660,499,56.95,40.59,35.36,53.44,-,-,-,24,,8,RFA,8000000,0.107
43. Brent Burns,196,Right,20 - Round 1 - 2003 (MIN),7.68,137,288,190,0.32,5.71,12.00,7.92,740,774,48.88,1331,1423,48.33,1005,1069,48.46,79.22,73.72,51.80,-,-,-,32,M-NTC,8,UFA,8000000,0.11
44. Phil Kessel,183,Right,5 - Round 1 - 2006 (BOS),11.09,115,206,144,0.70,7.21,12.92,9.02,473,438,51.92,884,784,53.00,651,612,51.54,43.82,47.45,48.01,-,-,-,25,"M-NTC, NMC",8,UFA,8000000,0.124
45. Victor Hedman,198,Left,2 - Round 1 - 2009 (TBL),7.81,136,316,207,0.35,6.03,14.02,9.18,722,619,53.84,1279,1037,55.22,980,805,54.90,68.72,58.97,53.82,-,-,-,25,NMC,8,UFA,7875000,0.108
46. Shea Weber,193,Right,49 - Round 2 - 2003 (NSH),3.71,104,215,146,0.20,5.73,11.84,8.03,583,549,51.50,1036,985,51.26,777,755,50.72,49.52,53.98,47.85,-,-,-,26,,14,RFA,7857143,0.131
47. Evgeny Kuznetsov,188,Left,26 - Round 1 - 2010 (WSH),7.26,78,122,102,0.64,6.89,10.77,9.01,367,296,55.35,673,518,56.51,529,414,56.10,36.19,27.52,56.80,-,-,-,25,M-NTC,8,RFA,7800000,0.104
48. Jared Spurgeon,175,Right,156 - Round 6 - 2008 (NYI),5.82,94,189,135,0.30,4.80,9.67,6.90,611,581,51.26,1081,1104,49.47,817,807,50.31,55.24,47.24,53.90,-,-,-,30,NMC,7,UFA,7575000,0.093
49. Ryan Suter,188,Left,7 - Round 1 - 2003 (NSH),3.64,83,193,121,0.18,4.13,9.64,6.04,585,644,47.60,1062,1164,47.71,818,878,48.23,52.85,49.97,51.40,-,-,-,27,NMC,13,UFA,7538462,0.126
50. Zach Parise,180,Left,17 - Round 1 - 2003 (NJD),9.75,88,119,111,0.96,8.63,11.67,10.89,305,300,50.41,533,568,48.41,413,414,49.94,31.35,24.87,55.76,-,-,-,27,NMC,13,UFA,7538462,0.126
51. Aaron Ekblad,193,Right,1 - Round 1 - 2014 (FLA),6.81,101,193,144,0.47,6.90,13.19,9.84,527,401,56.79,867,692,55.61,689,552,55.52,52.76,38.31,57.93,-,-,-,20,,8,RFA,7500000,0.103
52. Vladimir Tarasenko,183,Left,16 - Round 1 - 2010 (STL),4.84,65,111,81,0.70,9.33,15.93,11.62,248,173,58.91,445,370,54.60,326,257,55.92,19.54,18.21,51.76,-,-,-,23,NTC,8,RFA,7500000,0.105
53. Ryan O'Reilly,185,Left,33 - Round 2 - 2009 (COL),12.15,123,178,154,0.64,6.52,9.43,8.16,648,532,54.92,1136,970,53.94,840,736,53.30,57.15,59.49,49.00,-,-,-,25,,7,UFA,7500000,0.105
54. Nico Hischier,185,Left,1 - Round 1 - 2017 (NJD),5.14,44,77,62,0.79,6.79,11.88,9.57,193,192,50.13,375,351,51.65,267,273,49.44,17.89,18.36,49.35,-,-,-,21,,7,RFA,7250000,0.089
55. David Krejci,183,Right,63 - Round 2 - 2004 (BOS),7.29,83,141,112,0.50,5.70,9.68,7.69,536,346,60.77,975,616,61.28,753,479,61.12,46.52,24.65,65.36,-,-,-,28,M-NTC,6,UFA,7250000,0.105
56. Kris Letang,183,Right,62 - Round 3 - 2005 (PIT),5.14,132,261,179,0.23,5.84,11.55,7.92,734,663,52.54,1265,1135,52.71,977,900,52.05,72.67,61.48,54.17,-,-,-,27,"M-NTC, NMC",8,UFA,7250000,0.113
57. Clayton Keller,178,Left,7 - Round 1 - 2016 (ARI),13.11,124,212,176,0.84,7.98,13.64,11.32,536,391,57.82,1010,694,59.27,762,530,58.98,50.83,39.54,56.25,-,-,-,21,,8,RFA,7150000,0.088
58. Kyle Connor,185,Left,17 - Round 1 - 2015 (WPG),18.26,159,293,219,1.08,9.38,17.28,12.91,573,452,55.90,1060,829,56.11,782,627,55.50,55.24,52.50,51.27,-,-,-,22,,7,RFA,7142857,0.088
59. Kevin Hayes,196,Left,24 - Round 1 - 2010 (CHI),14.76,127,226,178,0.92,7.91,14.07,11.08,488,456,51.69,888,805,52.45,689,635,52.04,49.41,42.79,53.59,-,-,-,27,NMC,7,UFA,7142857,0.09
60. Mathew Barzal,183,Right,16 - Round 1 - 2015 (NYI),16.97,134,217,173,0.99,7.80,12.63,10.07,632,411,60.59,1076,770,58.29,833,565,59.59,62.48,37.95,62.21,-,-,-,23,,3,RFA,7000000,0.086
61. Matthew Tkachuk,188,Left,6 - Round 1 - 2016 (CGY),17.73,140,235,189,1.12,8.90,14.94,12.02,586,392,59.92,1063,691,60.60,808,546,59.68,56.28,36.34,60.76,-,-,-,21,,3,RFA,7000000,0.086
62. Anders Lee,191,Left,152 - Round 6 - 2009 (NYI),9.59,80,117,99,1.22,10.14,14.84,12.55,298,194,60.57,520,359,59.16,401,269,59.85,32.15,17.85,64.31,-,-,-,28,NTC,7,UFA,7000000,0.086
63. Joe Pavelski,180,Right,205 - Round 7 - 2003 (SJS),18.45,139,242,211,1.04,7.83,13.63,11.88,605,403,60.02,1184,751,61.19,889,565,61.14,64.77,38.51,62.71,-,-,-,34,NMC,3,UFA,7000000,0.086
64. Max Pacioretty,188,Left,22 - Round 1 - 2007 (MTL),16.50,174,285,231,1.14,12.12,19.86,16.10,553,379,59.33,984,723,57.64,749,513,59.35,56.22,33.47,62.68,-,-,-,30,M-NTC,4,UFA,7000000,0.088
65. Marc-André Fleury,188,Left,1 - Round 1 - 2003 (PIT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.04,2.55,0.51,34,M-NTC,3,UFA,7000000,0.088
66. James van Riemsdyk,191,Left,2 - Round 1 - 2007 (PHI),14.76,132,197,169,0.96,8.55,12.76,10.95,538,368,59.38,1034,653,61.29,765,492,60.86,51.30,30.12,63.01,-,-,-,29,,5,UFA,7000000,0.088
67. Evander Kane,188,Left,4 - Round 1 - 2009 (ATL),20.87,193,321,254,1.12,10.39,17.28,13.67,628,591,51.52,1132,1032,52.31,849,804,51.36,64.89,55.36,53.96,-,-,-,26,M-NTC,7,UFA,7000000,0.093
68. Marc-Édouard Vlasic,185,Left,35 - Round 2 - 2005 (SJS),1.39,37,86,62,0.10,2.54,5.91,4.26,371,465,44.38,664,903,42.37,514,670,43.41,30.50,39.32,43.68,-,-,-,31,NMC,8,UFA,7000000,0.093
69. Tuukka Rask,191,Left,21 - Round 1 - 2005 (TOR),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.27,2.25,-0.02,26,,8,RFA,7000000,0.109
70. William Nylander,183,Right,8 - Round 1 - 2014 (TOR),17.69,129,207,174,1.30,9.52,15.27,12.83,491,336,59.37,902,614,59.50,691,471,59.47,55.96,29.70,65.33,-,-,-,22,,6,RFA,6962366,0.088
71. Brent Seabrook,191,Right,14 - Round 1 - 2003 (CHI),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,31,NMC,8,UFA,6875000,0.096
72. Ryan Kesler,188,Right,23 - Round 1 - 2003 (VAN),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,31,NMC,6,UFA,6875000,0.096
73. Patrice Bergeron,185,Right,45 - Round 2 - 2003 (BOS),18.96,182,298,256,1.15,11.10,18.18,15.62,683,356,65.73,1172,668,63.70,929,506,64.73,60.69,33.85,64.20,-,-,-,28,"M-NTC, NMC",8,UFA,6875000,0.107
74. Patrik Laine,196,Right,2 - Round 1 - 2016 (WPG),5.36,82,160,109,0.40,6.13,11.97,8.15,409,429,48.81,675,737,47.80,525,571,47.90,29.51,41.44,41.59,-,-,-,21,,2,RFA,6750000,0.083
75. Brayden Point,178,Right,79 - Round 3 - 2014 (TBL),17.05,131,213,178,0.99,7.61,12.38,10.35,595,421,58.56,1064,728,59.38,811,546,59.76,61.56,36.47,62.79,-,-,-,23,,3,RFA,6750000,0.083
76. Ivan Provorov,185,Left,7 - Round 1 - 2015 (PHI),5.54,126,252,166,0.24,5.40,10.80,7.11,673,703,48.91,1236,1266,49.40,931,967,49.05,60.77,67.95,47.21,-,-,-,22,,6,RFA,6750000,0.083
77. Ryan McDonagh,185,Left,12 - Round 1 - 2007 (MTL),4.53,85,160,114,0.25,4.66,8.77,6.25,508,536,48.66,883,985,47.27,683,727,48.44,48.62,48.65,49.98,-,-,-,30,NTC,7,UFA,6750000,0.085
78. Johnny Gaudreau,175,Left,104 - Round 4 - 2011 (CGY),11.84,102,180,141,0.74,6.41,11.31,8.86,575,404,58.73,1010,703,58.96,789,549,58.97,57.63,36.61,61.15,-,-,-,22,,6,RFA,6750000,0.092
79. Mark Giordano,185,Left,-,4.99,126,279,192,0.25,6.38,14.14,9.73,567,572,49.78,1088,1052,50.84,820,764,51.77,55.47,59.73,48.15,-,-,-,32,M-NTC,6,UFA,6750000,0.095
80. David Pastrnak,183,Right,25 - Round 1 - 2014 (BOS),14.65,176,334,247,0.98,11.82,22.42,16.57,610,323,65.38,1090,555,66.26,853,432,66.38,51.70,26.37,66.22,-,-,-,21,,6,RFA,6666667,0.089
81. Torey Krug,175,Left,-,5.30,105,200,143,0.28,5.68,10.82,7.73,637,499,56.07,1092,919,54.30,834,702,54.30,55.74,49.55,52.94,-,-,-,29,NTC,7,UFA,6500000,0.08
82. Chris Kreider,191,Left,19 - Round 1 - 2009 (NYR),17.42,102,177,145,1.20,7.04,12.21,10.00,511,351,59.28,953,645,59.64,720,474,60.30,57.81,29.10,66.52,-,-,-,29,NMC,7,UFA,6500000,0.08
83. Brayden Schenn,185,Left,5 - Round 1 - 2009 (LAK),14.97,110,176,149,0.86,6.33,10.13,8.58,573,483,54.26,1021,917,52.68,746,662,52.98,53.35,47.35,52.98,-,-,-,28,NTC,8,UFA,6500000,0.08
84. Justin Faulk,183,Right,37 - Round 2 - 2010 (CAR),5.54,116,218,146,0.25,5.26,9.89,6.63,601,706,45.98,1048,1254,45.53,794,958,45.32,50.27,67.95,42.52,-,-,-,28,NTC,7,UFA,6500000,0.08
85. Paul Stastny,183,Left,44 - Round 2 - 2005 (COL),14.58,99,153,131,0.92,6.24,9.65,8.26,561,400,58.38,1002,755,57.03,746,571,56.64,55.24,42.80,56.34,-,-,-,32,M-NTC,3,UFA,6500000,0.082
86. Cam Fowler,188,Left,12 - Round 1 - 2010 (ANA),3.79,75,181,105,0.19,3.69,8.91,5.17,542,579,48.35,1094,1024,51.65,787,796,49.72,50.50,61.57,45.06,-,-,-,26,M-NTC,8,UFA,6500000,0.087
87. Derek Stepan,183,Right,51 - Round 2 - 2008 (NYR),3.43,44,70,57,0.68,8.76,13.94,11.35,179,154,53.75,293,279,51.22,243,214,53.17,14.96,14.94,50.03,-,-,-,25,,6,RFA,6500000,0.091
88. Alex DeBrincat,170,Right,39 - Round 2 - 2016 (CHI),19.13,155,268,199,1.08,8.72,15.07,11.19,586,546,51.77,1015,926,52.29,749,712,51.27,60.71,53.47,53.17,-,-,-,22,,3,RFA,6400000,0.079
89. John Gibson,188,Left,39 - Round 2 - 2011 (ANA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.98,2.87,-0.11,25,,8,RFA,6400000,0.081
90. Sean Monahan,188,Left,6 - Round 1 - 2013 (CGY),13.30,98,154,133,0.90,6.66,10.46,9.03,495,406,54.94,884,697,55.91,692,543,56.03,51.58,35.61,59.15,-,-,-,21,M-NTC,7,RFA,6375000,0.087
91. Keith Yandle,185,Left,105 - Round 4 - 2005 (ARI),4.01,113,217,143,0.25,7.02,13.48,8.88,690,391,63.83,1158,623,65.02,901,504,64.13,63.45,34.33,64.89,-,-,-,29,NMC,7,UFA,6350000,0.087
92. Nathan MacKinnon,183,Right,1 - Round 1 - 2013 (COL),20.09,206,374,280,1.23,12.64,22.94,17.18,722,333,68.44,1329,591,69.22,992,451,68.75,78.95,30.26,72.29,-,-,-,20,M-NTC,7,RFA,6300000,0.086
93. Matt Murray,193,Left,83 - Round 3 - 2012 (PIT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.38,2.72,-0.66,26,,4,RFA,6250000,0.077
94. Joshua Morrissey,183,Left,13 - Round 1 - 2013 (WPG),4.83,113,240,156,0.23,5.30,11.26,7.32,650,682,48.80,1179,1229,48.96,896,942,48.75,59.90,70.17,46.05,-,-,-,25,,8,RFA,6250000,0.077
95. Ryan Ellis,178,Right,11 - Round 1 - 2009 (NSH),3.40,75,145,93,0.25,5.41,10.45,6.71,435,413,51.30,778,729,51.63,588,557,51.35,35.97,39.57,47.62,-,-,-,28,,8,UFA,6250000,0.079
96. Alexander Radulov,185,Left,15 - Round 1 - 2004 (NSH),3.51,25,45,34,1.08,7.67,13.80,10.43,125,46,73.09,238,109,68.59,179,73,71.03,13.80,4.96,73.56,-,-,-,30,"M-NTC, NMC",5,UFA,6250000,0.083
97. Connor Hellebuyck,193,Left,130 - Round 5 - 2012 (WPG),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.66,2.94,0.28,25,,6,RFA,6166666,0.078
98. Brad Marchand,175,Left,71 - Round 3 - 2006 (BOS),18.09,143,228,182,1.08,8.56,13.65,10.90,680,373,64.58,1168,685,63.03,921,529,63.52,62.13,35.26,63.80,-,-,-,29,NMC,8,UFA,6125000,0.084
99. Mark Scheifele,191,Right,7 - Round 1 - 2011 (WPG),15.39,120,195,157,0.81,6.32,10.27,8.27,643,531,54.77,1158,906,56.10,869,697,55.49,63.73,57.69,52.49,-,-,-,23,M-NTC,8,RFA,6125000,0.084
100. Dylan Larkin,185,Left,15 - Round 1 - 2014 (DET),13.18,134,223,176,0.88,8.96,14.90,11.76,484,429,53.01,862,745,53.64,643,595,51.94,45.68,38.67,54.16,-,-,-,21,,5,RFA,6100000,0.077
101. Henrik Zetterberg,183,Left,210 - Round 7 - 1999 (DET),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,28,,12,UFA,6083333,0.107
102. Jacob Markström,198,Left,31 - Round 2 - 2008 (FLA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.66,2.39,-0.27,30,NMC,6,UFA,6000000,0.074
103. Tyler Myers,203,Right,12 - Round 1 - 2008 (BUF),3.33,97,172,115,0.18,5.27,9.34,6.24,492,675,42.16,886,1201,42.45,666,936,41.57,44.27,70.52,38.57,-,-,-,29,NTC,5,UFA,6000000,0.074
104. Timo Meier,183,Left,9 - Round 1 - 2015 (SJS),14.06,154,296,217,0.99,10.81,20.78,15.24,470,386,54.91,874,726,54.62,649,543,54.45,45.53,34.19,57.11,-,-,-,22,,4,RFA,6000000,0.074
105. Mats Zuccarello,173,Left,-,6.80,69,137,105,0.60,6.07,12.06,9.24,353,313,53.00,666,560,54.32,512,431,54.29,34.11,24.78,57.92,-,-,-,31,NMC,5,UFA,6000000,0.074
106. Alexander Edler,191,Left,91 - Round 3 - 2004 (VAN),2.11,88,152,116,0.13,5.47,9.44,7.21,446,584,43.30,739,1101,40.15,593,814,42.15,38.57,56.56,40.54,-,-,-,33,NMC,2,UFA,6000000,0.075
107. Brock Nelson,191,Left,30 - Round 1 - 2010 (NYI),19.86,121,206,171,1.19,7.27,12.37,10.27,508,480,51.42,899,872,50.76,692,659,51.22,52.07,43.30,54.60,-,-,-,27,NTC,6,UFA,6000000,0.075
108. Jake Guentzel,180,Left,77 - Round 3 - 2013 (PIT),20.46,141,238,184,1.08,7.45,12.58,9.73,669,534,55.61,1184,898,56.87,901,709,55.96,67.84,50.71,57.23,-,-,-,24,,5,RFA,6000000,0.075
109. Matt Dumba,183,Right,7 - Round 1 - 2012 (MIN),5.62,86,176,129,0.31,4.72,9.66,7.08,485,522,48.16,899,978,47.90,690,726,48.73,46.49,44.48,51.10,-,-,-,23,,5,RFA,6000000,0.075
110. Nikolaj Ehlers,183,Left,9 - Round 1 - 2014 (WPG),11.98,148,253,194,0.91,11.18,19.12,14.66,501,364,57.92,869,662,56.76,636,503,55.84,43.71,35.69,55.05,-,-,-,22,,7,RFA,6000000,0.08
111. Kyle Okposo,183,Right,7 - Round 1 - 2006 (NYI),4.04,45,69,59,0.50,5.56,8.52,7.29,213,257,45.32,360,463,43.74,282,372,43.12,16.55,25.35,39.50,-,-,-,28,M-NTC,7,UFA,6000000,0.082
112. Loui Eriksson,188,Left,33 - Round 2 - 2003 (DAL),0.25,5,7,5,0.22,4.47,6.26,4.47,26,38,40.61,41,79,34.17,32,62,34.04,2.09,3.68,36.22,-,-,-,30,M-NTC,6,UFA,6000000,0.082
113. David Backes,191,Right,62 - Round 2 - 2003 (STL),2.77,30,49,39,0.87,9.42,15.39,12.25,88,93,48.62,158,175,47.45,120,128,48.39,7.24,9.43,43.43,-,-,-,32,M-NTC,5,UFA,6000000,0.082
114. Milan Lucic,191,Left,50 - Round 2 - 2006 (BOS),6.94,67,105,85,0.59,5.67,8.88,7.19,342,328,51.04,665,565,54.07,495,435,53.23,28.75,24.89,53.60,-,-,-,28,NMC,7,UFA,6000000,0.082
