PLAYER,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Robin Lehner,193,0,46,2.13,2.57,0.44,26,1,1,1500000,0.018867924528301886
Petr Mrázek,185,0,141,2.39,2.50,0.11,26,1,1,1500000,0.018867924528301886
Michael Hutchinson,191,1,77,3.27,2.39,-0.88,28,1,1,1300000,0.016352201257861635
Keith Kinkaid,191,0,300,3.36,2.71,-0.66,27,2,1,1250000,0.015723270440251572
Louis Domingue,191,1,138,2.88,2.56,-0.32,26,2,0,1150000,0.014465408805031447
Al Montoya,188,0,6,0.00,0.00,0.00,31,2,1,1062500,0.013364779874213837
Peter Budaj,185,0,63,5.01,2.43,-2.58,34,2,1,1025000,0.01289308176100629
Antti Niemi,188,0,300,3.78,2.66,-1.12,34,1,1,950000,0.011949685534591196
Joonas Korpisalo,191,0,62,2.95,2.53,-0.42,23,2,0,900000,0.011320754716981131
Curtis McElhinney,185,0,176,2.58,2.83,0.25,34,2,1,850000,0.010691823899371069
David Rittich,191,0,300,2.61,2.62,0.01,25,1,0,800000,0.010062893081761006
Calvin Pickard,185,0,49,3.86,2.92,-0.94,26,1,0,800000,0.010062893081761006
Charlie Lindgren,185,1,300,4.62,4.95,0.33,24,3,0,750000,0.009433962264150943
Anton Forsberg,191,0,188,0.00,0.00,0.00,24,2,0,750000,0.009433962264150943
Linus Ullmark,193,0,163,3.11,2.65,-0.47,23,2,0,750000,0.009433962264150943
Jean-François Bérubé,185,0,95,0.00,0.00,0.00,25,2,1,700000,0.00880503144654088
Pavel Francouz,183,1,300,1.96,3.07,1.10,28,1,1,690000,0.008679245283018867
Garret Sparks,191,0,190,3.15,2.63,-0.52,24,2,0,675000,0.008490566037735849
Laurent Brossoit,191,0,164,2.52,3.06,0.53,25,1,1,650000,0.008176100628930818
Eddie Läck,193,0,300,0.00,0.00,0.00,30,1,1,650000,0.008176100628930818
Pheonix Copley,193,0,300,2.90,2.89,-0.01,25,2,1,650000,0.008176100628930818
