PLAYER,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Carey Price,191,0,5,2.49,2.57,0.08,29,8,1,10500000,0.1320754716981132
Henrik Lundqvist,185,0,205,3.07,2.93,-0.14,32,7,1,8500000,0.1069182389937107
Sergei Bobrovsky,188,0,300,2.58,2.56,-0.02,26,4,0,7425000,0.09339622641509433
Tuukka Rask,191,0,21,2.48,2.39,-0.09,26,8,0,7000000,0.0880503144654088
Pekka Rinne,196,0,258,2.42,2.60,0.18,29,7,1,7000000,0.0880503144654088
Connor Hellebuyck,193,0,130,2.90,2.81,-0.09,25,6,0,6166666,0.07756812578616352
Braden Holtby,188,0,93,2.82,2.98,0.16,25,5,0,6100000,0.07672955974842767
Cory Schneider,191,0,26,3.06,2.69,-0.38,29,7,1,6000000,0.07547169811320754
Corey Crawford,188,0,52,2.93,2.94,0.01,29,6,1,6000000,0.07547169811320754
Semyon Varlamov,188,0,23,2.87,2.72,-0.16,25,5,0,5900000,0.07421383647798742
Jonathan Quick,185,0,72,3.38,2.79,-0.59,27,10,1,5800000,0.0729559748427673
Martin Jones,193,0,300,2.94,2.65,-0.29,28,6,1,5750000,0.07232704402515723
Marc-André Fleury,188,0,1,2.50,2.62,0.11,30,4,1,5750000,0.07232704402515723
Mike Smith,196,0,161,2.72,2.53,-0.20,31,6,1,5666667,0.07127883018867924
Roberto Luongo,191,0,4,3.12,2.76,-0.36,31,12,1,5333333,0.0670859496855346
Jimmy Howard,185,0,64,3.07,3.09,0.02,29,6,1,5291666,0.06656183647798743
Frederik Andersen,193,0,87,2.77,2.92,0.15,26,5,0,5000000,0.06289308176100629
Ben Bishop,201,0,85,1.98,2.48,0.50,30,6,1,4916667,0.0618448679245283
Jake Allen,188,0,34,2.83,2.66,-0.17,25,4,0,4350000,0.05471698113207547
Devan Dubnyk,198,0,14,2.54,2.23,-0.30,29,6,1,4333333,0.05450733333333333
Antti Raanta,183,0,300,2.88,2.86,-0.02,29,3,1,4250000,0.05345911949685535
Cam Talbot,193,0,300,3.40,2.83,-0.57,28,3,1,4166666,0.05241089308176101
Scott Darling,196,0,153,3.34,2.86,-0.48,28,4,1,4150000,0.05220125786163522
Matt Murray,193,0,83,2.69,2.75,0.06,22,3,0,3750000,0.04716981132075472
Jacob Markström,198,0,31,2.77,2.82,0.05,27,3,1,3666667,0.04612159748427673
Andrei Vasilevskiy,191,0,19,2.40,2.55,0.15,21,3,0,3500000,0.0440251572327044
James Reimer,188,0,99,3.09,2.70,-0.39,28,5,1,3400000,0.042767295597484274
Philipp Grubauer,185,0,112,2.64,2.59,-0.05,26,3,0,3333333,0.041928716981132076
Thomas Greiss,188,0,94,2.27,2.62,0.34,31,3,1,3333333,0.041928716981132076
Cam Ward,185,0,25,3.67,3.23,-0.44,34,1,1,3000000,0.03773584905660377
Jonathan Bernier,183,0,11,3.16,3.00,-0.16,29,3,1,3000000,0.03773584905660377
Jaroslav Halák,180,0,271,2.34,2.60,0.26,33,2,1,2750000,0.03459119496855346
Carter Hutton,183,0,300,3.00,2.71,-0.29,32,3,1,2750000,0.03459119496855346
Brian Elliott,188,0,291,2.96,2.89,-0.07,32,2,1,2750000,0.03459119496855346
Anton Khudobin,180,0,206,2.57,2.79,0.22,32,2,1,2500000,0.031446540880503145
Mikko Koskinen,201,0,31,2.93,2.83,-0.10,29,1,1,2500000,0.031446540880503145
Anders Nilsson,198,0,62,2.97,2.71,-0.26,27,2,1,2500000,0.031446540880503145
Michal Neuvirth,185,0,34,4.26,2.71,-1.55,29,2,1,2500000,0.031446540880503145
Mike Condon,188,0,300,6.38,2.41,-3.97,27,3,1,2400000,0.03018867924528302
John Gibson,188,0,39,2.84,3.30,0.46,22,3,0,2300000,0.028930817610062894
Aaron Dell,183,0,300,3.17,2.82,-0.36,29,2,1,1900000,0.02389937106918239
Darcy Kuemper,196,0,161,2.33,2.49,0.16,28,2,1,1850000,0.023270440251572325
Chad Johnson,191,0,125,3.63,2.75,-0.88,32,1,1,1750000,0.0220125786163522
Juuse Saros,180,0,99,2.62,2.80,0.19,23,3,0,1500000,0.018867924528301886
