Player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA
Jake Allen,28,46,45,19,17,8,121,1277,1156,0.905,2.83,3,6.5,2568,25,0.556,11,105.0,-5.9
Frederik Andersen,29,60,60,36,16,7,162,1958,1796,0.917,2.77,1,12.5,3510,38,0.633,7,92.0,14.48
Craig Anderson,37,50,47,17,27,4,163,1676,1513,0.903,3.51,2,8.1,2785,19,0.404,8,108.0,-11.94
Jonathan Bernier,30,35,30,9,18,5,98,1025,927,0.904,3.16,1,5.1,1860,13,0.433,5,106.0,-5.61
Jordan Binnington,25,32,30,24,5,1,59,807,748,0.927,1.89,5,6.0,1876,20,0.667,1,81.0,13.74
Ben Bishop,32,46,45,27,15,2,87,1323,1236,0.934,1.98,7,10.8,2637,31,0.689,1,73.0,32.24
Mackenzie Blackwood,22,23,21,10,10,0,55,669,614,0.918,2.61,2,4.3,1264,14,0.667,4,91.0,5.3
Sergei Bobrovsky,30,62,61,37,24,1,153,1756,1603,0.913,2.58,9,10.4,3557,31,0.508,13,97.0,5.27
Laurent Brossoit,25,21,19,13,6,2,49,652,603,0.925,2.52,1,4.7,1165,12,0.632,2,83.0,9.77
Jack Campbell,27,31,25,10,14,1,61,845,784,0.928,2.3,2,6.3,1593,16,0.64,3,80.0,15.16
Pheonix Copley,27,27,24,16,7,3,74,776,702,0.905,2.9,1,3.9,1529,14,0.583,4,106.0,-4.06
Corey Crawford,34,39,39,14,18,5,108,1176,1068,0.908,2.93,2,6.3,2213,17,0.436,5,102.0,-2.0
Collin Delia,24,16,14,6,4,3,50,545,495,0.908,3.61,0,2.9,831,6,0.429,2,102.0,-0.88
Aaron Dell,29,25,20,10,8,4,70,613,543,0.886,3.17,2,1.9,1323,6,0.3,6,127.0,-14.75
Casey DeSmith,27,36,30,15,11,5,89,1060,971,0.916,2.75,3,6.6,1944,18,0.6,2,93.0,6.54
Louis Domingue,26,26,26,21,5,0,75,812,737,0.908,2.88,0,4.3,1561,14,0.538,2,102.0,-1.81
Devan Dubnyk,32,67,66,31,28,6,163,1877,1714,0.913,2.54,2,11.1,3855,38,0.576,13,96.0,6.18
Brian Elliott,33,26,23,11,11,1,69,741,672,0.907,2.96,1,3.9,1397,12,0.522,4,103.0,-2.21
Marc-André Fleury,34,61,61,35,21,5,152,1745,1593,0.913,2.51,8,10.3,3635,34,0.557,7,97.0,5.28
Alexandar Georgiev,22,33,30,14,13,4,91,1057,966,0.914,2.91,2,6.3,1874,15,0.5,3,96.0,4.27
John Gibson,25,58,57,26,22,8,153,1838,1685,0.917,2.84,2,11.6,3233,34,0.596,8,92.0,12.66
Thomas Greiss,33,43,39,23,14,2,87,1185,1098,0.927,2.28,5,8.7,2294,25,0.641,7,81.0,19.81
Philipp Grubauer,27,37,33,18,9,5,89,1071,982,0.917,2.64,3,6.8,2021,20,0.606,5,92.0,7.53
Jaroslav Halák,33,40,37,22,11,4,90,1158,1068,0.922,2.34,5,8.0,2308,22,0.595,4,86.0,14.37
Carter Hart,20,31,30,16,13,1,81,976,895,0.917,2.83,0,6.2,1717,14,0.467,4,92.0,6.97
Connor Hellebuyck,25,63,62,34,23,3,179,2051,1872,0.913,2.9,2,12.1,3704,28,0.452,6,97.0,5.86
Braden Holtby,29,59,58,32,19,5,160,1795,1635,0.911,2.82,3,10.2,3407,33,0.569,9,99.0,1.79
Jimmy Howard,34,55,52,23,22,5,156,1709,1553,0.909,3.07,0,9.3,3053,30,0.577,6,101.0,-1.96
Carter Hutton,33,50,48,18,25,5,142,1541,1399,0.908,3.0,0,8.3,2840,25,0.521,5,102.0,-3.11
Chad Johnson,32,19,11,2,11,0,49,406,357,0.879,3.63,1,0.9,811,3,0.273,3,134.0,-12.41
Martin Jones,29,62,62,36,19,5,176,1699,1523,0.896,2.94,3,7.0,3597,27,0.435,14,115.0,-22.87
Anton Khudobin,32,41,37,16,17,5,95,1232,1137,0.923,2.57,2,8.6,2220,23,0.622,3,86.0,16.04
Keith Kinkaid,29,41,38,15,18,6,129,1188,1059,0.891,3.36,3,4.3,2302,15,0.395,11,120.0,-21.92
Joonas Korpisalo,24,27,21,10,7,3,67,651,584,0.897,2.95,0,2.7,1361,8,0.381,4,114.0,-8.32
Mikko Koskinen,30,55,51,25,21,6,146,1551,1405,0.906,2.93,4,8.0,2992,24,0.471,8,104.0,-6.21
Darcy Kuemper,28,55,55,27,20,8,126,1677,1551,0.925,2.33,5,12.0,3251,36,0.655,6,83.0,25.06
Robin Lehner,27,46,43,25,13,5,93,1323,1230,0.93,2.13,6,10.2,2616,26,0.605,4,78.0,26.24
Henrik Lundqvist,36,52,52,18,23,10,158,1699,1541,0.907,3.07,0,9.0,3089,30,0.577,7,103.0,-4.87
Roberto Luongo*,39,43,40,18,16,5,122,1205,1083,0.899,3.12,1,5.3,2347,20,0.5,7,112.0,-13.39
Jacob Markström,29,60,60,28,23,9,166,1896,1730,0.912,2.77,1,11.1,3599,34,0.567,7,97.0,4.89
Curtis McElhinney,35,33,33,20,11,2,85,968,883,0.912,2.58,2,5.6,1978,17,0.515,6,97.0,2.25
Ryan Miller,38,20,17,8,7,2,51,578,527,0.912,2.76,1,3.3,1109,10,0.588,2,98.0,1.1
Petr Mrázek,26,40,40,23,14,3,95,1104,1009,0.914,2.39,4,6.6,2387,23,0.575,4,95.0,4.51
Matt Murray,24,50,50,29,14,6,129,1594,1465,0.919,2.69,4,10.4,2880,29,0.58,10,90.0,14.67
Antti Niemi,35,17,17,8,6,2,61,539,478,0.887,3.78,0,1.7,969,4,0.235,5,126.0,-12.42
Anders Nilsson,28,36,34,14,19,1,101,1098,997,0.908,2.97,2,5.9,2040,14,0.412,6,102.0,-2.04
Calvin Pickard,26,17,12,4,6,2,48,384,336,0.875,3.86,1,0.7,747,4,0.333,4,139.0,-13.39
Carey Price,31,66,64,35,24,6,161,1952,1791,0.918,2.49,4,12.5,3880,37,0.578,6,92.0,14.94
Jonathan Quick,33,46,46,16,23,7,149,1329,1180,0.888,3.38,2,4.3,2648,19,0.413,11,124.0,-29.21
Antti Raanta,29,12,12,5,6,0,33,351,318,0.906,2.88,0,1.8,687,6,0.5,1,104.0,-1.36
Tuukka Rask,31,46,45,27,13,5,109,1245,1136,0.912,2.48,4,7.3,2635,24,0.533,5,97.0,3.21
James Reimer,30,36,29,13,12,5,93,929,836,0.9,3.09,0,4.2,1805,10,0.345,6,111.0,-9.27
Pekka Rinne,36,56,55,30,19,4,130,1581,1451,0.918,2.42,4,10.1,3220,30,0.545,7,91.0,12.5
David Rittich,26,45,42,27,9,5,109,1228,1119,0.911,2.61,1,7.0,2503,26,0.619,8,98.0,1.68
Juuse Saros,23,31,27,17,10,2,74,870,796,0.915,2.62,3,5.3,1696,14,0.519,6,94.0,4.41
Cory Schneider,32,26,23,6,13,4,70,718,648,0.903,3.06,1,3.4,1372,10,0.435,5,108.0,-5.29
Mike Smith,36,42,40,23,16,2,109,1069,960,0.898,2.72,2,4.6,2400,20,0.5,9,113.0,-12.65
Garret Sparks,25,20,17,8,9,1,58,592,534,0.902,3.15,1,2.8,1105,8,0.471,3,109.0,-4.64
Alex Stalock,31,21,16,6,8,3,53,525,472,0.899,2.99,0,2.3,1065,9,0.563,1,112.0,-5.68
Anthony Stolarz,25,18,12,4,5,3,50,503,453,0.901,3.45,1,2.3,869,5,0.417,2,110.0,-4.66
Malcolm Subban,25,21,20,8,10,2,60,612,552,0.902,2.93,1,2.9,1227,8,0.4,3,109.0,-4.84
Cam Talbot,31,35,32,11,17,3,108,997,889,0.892,3.4,1,3.6,1906,9,0.281,10,120.0,-18.14
Linus Ullmark,25,37,34,15,14,5,109,1146,1037,0.905,3.11,2,5.8,2102,18,0.529,6,106.0,-5.71
Semyon Varlamov,30,49,49,20,19,9,136,1496,1360,0.909,2.87,2,8.2,2839,25,0.51,9,101.0,-1.16
Andrei Vasilevskiy,24,53,53,39,10,4,128,1713,1585,0.925,2.4,6,12.4,3204,34,0.642,7,83.0,26.4
Cam Ward,34,33,29,16,12,4,115,1113,998,0.897,3.67,0,4.6,1882,15,0.517,5,115.0,-14.68
