PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Kyle Brodziak,188,1,214,6.69,74,129,106,0.49,5.43,9.46,7.77,325,465,41.14,624,859,42.08,464,625,42.61,25.81,41.40,38.40,34,2,1,1150000,0.014465408805031447
Robert Bortuzzo,193,1,78,3.00,75,127,97,0.20,4.94,8.36,6.38,457,449,50.44,771,841,47.83,592,624,48.68,36.40,42.21,46.31,27,2,1,1150000,0.014465408805031447
Carter Rowney,185,1,300,7.04,53,89,74,0.54,4.09,6.86,5.71,301,436,40.84,601,779,43.55,454,605,42.87,27.90,40.68,40.68,29,3,1,1133333,0.014255761006289308
Dmitrij Jaskin,188,0,41,5.14,48,92,75,0.83,7.72,14.79,12.06,180,194,48.13,349,335,51.02,251,251,50.00,14.34,15.75,47.66,25,1,0,1100000,0.013836477987421384
Derrick Pouliot,183,0,8,3.14,58,150,100,0.18,3.27,8.46,5.64,525,546,49.02,1001,939,51.60,758,721,51.25,43.83,47.62,47.93,24,1,1,1100000,0.013836477987421384
Austin Watson,193,1,18,7.55,64,113,97,0.84,7.16,12.64,10.85,234,293,44.40,414,561,42.46,321,403,44.34,22.71,25.87,46.75,25,3,0,1100000,0.013836477987421384
Tom Pyatt,180,0,107,2.69,29,53,41,0.37,4.01,7.34,5.68,140,332,29.66,264,614,30.07,192,445,30.14,10.55,24.12,30.43,30,2,1,1100000,0.013836477987421384
Jordie Benn,188,0,300,3.57,93,198,132,0.15,3.79,8.06,5.37,734,802,47.79,1344,1469,47.78,989,1092,47.53,61.14,69.95,46.64,28,3,1,1100000,0.013836477987421384
Scott Wilson,180,0,209,1.63,25,38,29,0.56,8.73,13.28,10.13,81,101,44.51,133,160,45.39,94,127,42.53,4.05,7.32,35.61,26,2,1,1050000,0.013207547169811321
Martin Frk,185,1,49,3.03,28,58,43,0.66,6.10,12.63,9.36,123,143,46.24,245,256,48.90,179,196,47.73,10.60,12.46,45.97,24,1,1,1050000,0.013207547169811321
Jakub Je?ábek,180,0,300,0.19,1,2,2,1.45,7.62,15.25,15.25,4,6,40.00,7,10,41.18,6,8,42.86,0.41,0.92,30.83,27,1,1,1000000,0.012578616352201259
Madison Bowey,188,1,53,2.22,48,113,78,0.17,3.77,8.89,6.13,313,442,41.46,619,832,42.66,465,619,42.90,27.08,40.77,39.90,23,2,0,1000000,0.012578616352201259
Ross Johnston,196,0,300,1.79,12,17,14,0.80,5.35,7.58,6.24,66,68,49.25,123,126,49.40,88,95,48.09,5.92,5.32,52.67,24,4,0,1000000,0.012578616352201259
Cédric Paquette,185,0,101,9.74,87,142,118,0.61,5.44,8.86,7.37,380,543,41.17,671,1024,39.59,525,745,41.34,31.17,44.13,41.39,24,1,0,1000000,0.012578616352201259
Brian Gibbons,173,0,300,5.25,50,92,73,0.45,4.29,7.90,6.27,278,423,39.65,538,749,41.80,388,567,40.63,22.05,36.86,37.43,30,1,1,1000000,0.012578616352201259
Eric Fehr,193,1,18,9.07,67,129,103,0.68,5.05,9.73,7.77,312,410,43.21,592,822,41.87,451,578,43.83,26.88,33.81,44.29,32,1,1,1000000,0.012578616352201259
Joakim Nordström,185,0,90,7.89,103,162,135,0.50,6.55,10.30,8.58,420,503,45.50,766,925,45.30,591,687,46.24,31.45,41.06,43.37,26,2,1,1000000,0.012578616352201259
Devante Smith-Pelly,183,1,42,8.03,60,114,89,0.82,6.14,11.67,9.11,225,333,40.32,447,658,40.45,329,460,41.70,22.03,32.29,40.54,26,1,1,1000000,0.012578616352201259
