Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Justin Abdelkader,31,LW,71,6,13,19,-14,38,0.1,4,1,1,0,12,1,0,95,6.3,1093,924,34,185,52,51,50.5
Pontus Åberg,25,LW,59,12,13,25,-14,20,2.0,9,3,0,1,9,4,0,101,11.9,861,876,11,45,2,17,10.5
Noel Acciari,27,C,72,6,8,14,-3,47,0.4,6,0,0,2,8,0,0,99,6.1,935,779,36,221,200,203,49.6
Kenny Agostino,26,LW,63,6,18,24,-3,34,1.6,6,0,0,0,13,5,0,79,7.6,814,775,14,143,15,27,35.7
Sebastian Aho,21,C,82,30,53,83,25,26,9.8,23,3,4,7,31,21,1,243,12.3,1652,1209,34,65,585,619,48.6
Michael Amadio,22,C,43,6,7,13,-1,6,1.3,6,0,0,0,7,0,0,37,16.2,439,612,13,16,96,127,43.0
Joey Anderson,20,RW,34,4,3,7,-7,6,0.2,3,0,1,1,3,0,0,49,8.2,439,774,11,42,9,8,52.9
Josh Anderson,24,RW,82,27,20,47,25,60,6.2,22,3,2,5,15,4,1,230,11.7,1396,1021,40,214,12,26,31.6
Lias Andersson,20,C,42,2,4,6,-13,29,-0.4,1,0,1,0,4,0,0,41,4.9,450,643,8,60,84,106,44.2
Rasmus Andersson,22,D,79,2,17,19,17,23,3.8,2,0,0,0,15,2,0,115,1.7,1267,962,83,52,0,0,0.0
Sven Andrighetto,25,RW,64,7,10,17,10,14,1.6,7,0,0,1,10,0,0,95,7.4,708,664,32,29,3,8,27.3
Artem Anisimov,30,C,78,15,22,37,-2,14,2.6,13,1,1,1,19,3,0,142,10.6,1275,981,33,25,332,394,45.7
Mason Appleton,23,C,36,3,7,10,9,4,1.1,3,0,0,1,7,0,0,29,10.3,295,492,12,28,0,1,0.0
Josh Archibald,26,RW,68,12,10,22,1,15,2.4,12,0,0,1,9,0,1,92,13.0,923,814,39,161,12,25,32.4
Joel Armia,25,RW,57,13,10,23,0,14,2.0,10,2,1,2,6,4,0,134,9.7,900,948,21,113,5,24,17.2
Viktor Arvidsson,25,LW,58,34,14,48,12,26,7.0,29,3,2,7,12,1,1,195,17.4,1110,1149,23,18,2,15,11.8
Zach Aston-Reese,24,C,43,8,9,17,12,26,1.9,7,0,1,1,9,0,0,76,10.5,587,819,37,138,8,10,44.4
