PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,GA60,xGA60,GSAx60,SIGNING AGE,CLAUSE,LENGTH,SIGNING,CAP HIT,CAP HIT %
28. Dustin Byfuglien,196,Right,245 - Round 8 - 2003 (CHI),6.25,115,228,167,0.37,6.74,13.37,9.78,600,494,54.84,1087,862,55.77,822,666,55.24,57.10,44.38,56.27,-,-,-,31,M-NTC,5,UFA,7600000,0.106
29. Ryan Suter,188,Left,7 - Round 1 - 2003 (NSH),6.76,136,318,209,0.19,3.73,8.72,5.73,1209,1147,51.32,2242,2117,51.43,1680,1609,51.08,115.51,104.75,52.44,-,-,-,27,NMC,13,UFA,7538462,0.126
30. Zach Parise,180,Left,17 - Round 1 - 2003 (NJD),28.03,229,345,290,1.22,9.94,14.98,12.60,804,625,56.26,1441,1224,54.07,1095,896,55.00,78.15,60.62,56.32,-,-,-,27,NMC,13,UFA,7538462,0.126
31. Aaron Ekblad,193,Right,1 - Round 1 - 2014 (FLA),9.31,180,315,230,0.28,5.57,9.75,7.12,1082,1000,51.97,1807,1855,49.34,1420,1423,49.95,93.83,104.37,47.34,-,-,-,20,,8,RFA,7500000,0.103
32. Vladimir Tarasenko,183,Left,16 - Round 1 - 2010 (STL),28.31,275,491,356,1.22,11.81,21.09,15.29,923,574,61.66,1677,1127,59.81,1241,816,60.33,95.34,55.02,63.41,-,-,-,23,,8,RFA,7500000,0.105
33. Ryan O'Reilly,185,Left,33 - Round 2 - 2009 (COL),27.34,234,368,305,0.96,8.25,12.98,10.75,1001,779,56.24,1795,1464,55.08,1364,1090,55.58,103.45,80.55,56.22,-,-,-,25,,7,UFA,7500000,0.105
34. Jason Spezza,191,Right,2 - Round 1 - 2001 (OTT),10.63,121,215,164,0.63,7.20,12.79,9.76,590,452,56.62,1117,836,57.19,812,621,56.66,56.08,42.56,56.85,-,-,-,32,"M-NTC, NMC",4,UFA,7500000,0.109
35. Sergei Bobrovsky,188,Left,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.58,2.56,-0.02,26,NMC,4,RFA,7425000,0.102
36. Mark Stone,191,Right,178 - Round 6 - 2010 (OTT),23.42,199,345,274,0.92,7.80,13.52,10.74,974,777,55.63,1752,1401,55.57,1341,1049,56.11,105.43,69.43,60.29,-,-,-,26,,1,RFA,7350000,0.092
37. Bobby Ryan,188,Right,2 - Round 1 - 2005 (ANA),15.53,160,301,229,0.76,7.85,14.76,11.23,670,669,50.04,1229,1212,50.35,925,908,50.46,61.84,61.26,50.24,-,-,-,28,"M-NTC, NMC",7,UFA,7250000,0.105
38. David Krejci,183,Right,63 - Round 2 - 2004 (BOS),14.32,139,241,203,0.60,5.82,10.10,8.51,826,635,56.54,1532,1064,59.01,1184,845,58.35,75.34,59.74,55.78,-,-,-,28,NMC,6,UFA,7250000,0.105
39. Kris Letang,183,Right,62 - Round 3 - 2005 (PIT),10.39,206,379,265,0.37,7.33,13.48,9.42,1045,873,54.48,1830,1545,54.22,1395,1174,54.30,100.79,83.75,54.62,-,-,-,27,"M-NTC, NMC",8,UFA,7250000,0.113
40. James van Riemsdyk,191,Left,2 - Round 1 - 2007 (PHI),19.93,167,262,206,1.09,9.14,14.35,11.28,654,603,52.03,1207,1026,54.05,890,767,53.71,65.23,56.08,53.77,-,-,-,29,,5,UFA,7000000,0.088
41. Evander Kane,188,Left,4 - Round 1 - 2009 (ATL),27.17,268,446,351,1.18,11.65,19.38,15.25,823,615,57.23,1508,1115,57.49,1131,842,57.32,82.36,64.91,55.92,-,-,-,26,M-NTC,7,UFA,7000000,0.093
42. Marc-Édouard Vlasic,185,Left,35 - Round 2 - 2005 (SJS),5.41,100,236,152,0.21,3.96,9.35,6.02,699,821,45.99,1331,1569,45.90,986,1175,45.63,67.43,84.47,44.39,-,-,-,31,NMC,8,UFA,7000000,0.093
43. Tuukka Rask,191,Left,21 - Round 1 - 2005 (TOR),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.48,2.39,-0.09,26,M-NTC,8,RFA,7000000,0.109
44. Pekka Rinne,196,Left,258 - Round 8 - 2004 (NSH),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.42,2.60,0.18,29,"M-NTC, NMC",7,UFA,7000000,0.109
45. Drew Doughty,185,Right,2 - Round 1 - 2008 (LAK),8.01,154,318,218,0.22,4.24,8.76,6.00,1003,1129,47.05,1881,2022,48.19,1412,1589,47.05,96.01,116.52,45.17,-,-,-,21,NMC,8,RFA,7000000,0.109
46. Dion Phaneuf,193,Left,9 - Round 1 - 2003 (CGY),2.90,80,197,122,0.17,4.78,11.76,7.28,482,532,47.53,949,991,48.92,691,748,48.02,39.14,44.25,46.94,-,-,-,29,"M-NTC, NMC",7,UFA,7000000,0.109
47. Brent Seabrook,191,Right,14 - Round 1 - 2003 (CHI),6.66,165,303,206,0.27,6.65,12.21,8.30,773,908,45.98,1375,1629,45.77,1017,1230,45.26,67.51,89.74,42.93,-,-,-,31,NMC,8,UFA,6875000,0.096
48. Ryan Kesler,188,Right,23 - Round 1 - 2003 (VAN),9.19,86,149,123,0.56,5.21,9.02,7.46,465,638,42.16,851,1147,42.59,649,877,42.53,38.54,67.14,36.47,-,-,-,31,NMC,6,UFA,6875000,0.096
49. Patrice Bergeron,185,Right,45 - Round 2 - 2003 (BOS),26.51,205,369,299,1.33,10.25,18.44,14.95,763,566,57.41,1436,979,59.46,1093,746,59.43,83.40,52.88,61.20,-,-,-,28,NMC,8,UFA,6875000,0.107
50. Johnny Gaudreau,175,Left,104 - Round 4 - 2011 (CGY),28.23,245,436,338,1.03,8.93,15.89,12.32,1036,710,59.34,1923,1266,60.30,1436,989,59.22,112.55,68.23,62.25,-,-,-,22,,6,RFA,6750000,0.092
51. Mark Giordano,185,Left,-,12.34,221,490,334,0.39,7.01,15.55,10.60,1099,866,55.93,2053,1574,56.60,1526,1209,55.80,115.63,87.88,56.82,-,-,-,32,NTC,6,UFA,6750000,0.095
52. Nicklas Bäckström,185,Left,4 - Round 1 - 2006 (WSH),18.97,169,287,226,0.71,6.35,10.79,8.50,938,721,56.54,1755,1408,55.49,1346,1051,56.15,98.66,76.03,56.48,-,-,-,22,M-NTC,10,RFA,6700000,0.113
53. David Pastrnak,183,Right,25 - Round 1 - 2014 (BOS),24.59,235,431,339,1.19,11.39,20.89,16.43,821,553,59.75,1533,952,61.69,1170,723,61.81,83.05,53.75,60.71,-,-,-,21,,6,RFA,6666667,0.089
54. Kevin Shattenkirk,183,Right,14 - Round 1 - 2007 (COL),6.04,148,291,193,0.26,6.42,12.63,8.38,773,632,55.02,1386,1179,54.04,1032,872,54.20,69.73,61.56,53.11,-,-,-,28,"M-NTC, NMC",4,UFA,6650000,0.089
55. Paul Stastny,183,Left,44 - Round 2 - 2005 (COL),15.73,103,161,142,1.04,6.83,10.67,9.41,587,446,56.82,1064,778,57.76,808,596,57.55,62.13,44.24,58.41,-,-,-,32,M-NTC,3,UFA,6500000,0.082
56. Cam Fowler,188,Left,12 - Round 1 - 2010 (ANA),4.67,88,207,119,0.20,3.83,9.01,5.18,652,751,46.47,1245,1384,47.36,907,1058,46.16,57.06,73.41,43.73,-,-,-,26,M-NTC,8,UFA,6500000,0.087
57. Derek Stepan,183,Right,51 - Round 2 - 2008 (NYR),17.91,195,310,250,0.78,8.44,13.44,10.84,791,697,53.16,1446,1343,51.85,1098,995,52.46,71.16,69.94,50.43,-,-,-,25,,6,RFA,6500000,0.091
58. Alex Pietrangelo,191,Right,4 - Round 1 - 2008 (STL),10.11,168,357,233,0.36,5.90,12.53,8.18,970,807,54.59,1775,1499,54.22,1328,1125,54.14,100.09,83.23,54.60,-,-,-,23,NTC,7,RFA,6500000,0.101
59. Erik Karlsson,183,Right,15 - Round 1 - 2008 (OTT),7.56,169,389,250,0.35,7.81,17.98,11.56,838,583,58.97,1555,1027,60.22,1166,786,59.73,83.70,60.82,57.92,-,-,-,22,M-NTC,7,RFA,6500000,0.101
60. Sean Monahan,188,Left,6 - Round 1 - 2013 (CGY),31.81,211,359,278,1.28,8.52,14.49,11.22,943,664,58.68,1756,1180,59.81,1311,920,58.76,103.12,63.80,61.78,-,-,-,21,,7,RFA,6375000,0.087
61. Keith Yandle,185,Left,105 - Round 4 - 2005 (ARI),8.67,199,408,279,0.28,6.49,13.30,9.10,1153,918,55.67,2058,1637,55.70,1581,1276,55.34,104.94,95.05,52.47,-,-,-,29,NMC,7,UFA,6350000,0.087
62. Nathan MacKinnon,183,Right,1 - Round 1 - 2013 (COL),35.08,365,589,455,1.15,12.09,19.51,15.07,1204,844,58.79,2115,1478,58.86,1582,1132,58.29,111.38,81.23,57.82,-,-,-,20,,7,RFA,6300000,0.086
63. Alexander Radulov,185,Left,15 - Round 1 - 2004 (NSH),25.27,210,368,275,1.09,9.10,15.94,11.92,926,654,58.61,1619,1221,57.01,1215,902,57.39,95.04,59.90,61.34,-,-,-,30,NMC,5,UFA,6250000,0.083
64. Connor Hellebuyck,193,Left,130 - Round 5 - 2012 (WPG),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.90,2.81,-0.09,25,,6,RFA,6166666,0.078
65. Brad Marchand,175,Left,71 - Round 3 - 2006 (BOS),27.63,231,430,327,1.07,8.94,16.64,12.66,982,772,55.99,1821,1326,57.86,1394,1023,57.67,104.33,75.02,58.17,-,-,-,29,NMC,8,UFA,6125000,0.084
66. Mark Scheifele,191,Right,7 - Round 1 - 2011 (WPG),28.74,199,335,273,0.96,6.66,11.21,9.14,1056,975,51.99,1893,1680,52.98,1455,1303,52.76,111.46,93.36,54.42,-,-,-,23,,8,RFA,6125000,0.084
67. Dylan Larkin,185,Left,15 - Round 1 - 2014 (DET),28.42,287,494,382,1.03,10.37,17.86,13.81,987,841,53.99,1799,1476,54.93,1368,1154,54.24,93.45,90.53,50.79,-,-,-,21,,5,RFA,6100000,0.077
68. Braden Holtby,188,Left,93 - Round 4 - 2008 (WSH),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.82,2.98,0.16,25,M-NTC,5,RFA,6100000,0.085
69. Henrik Zetterberg,183,Left,210 - Round 7 - 1999 (DET),0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,28,,12,UFA,6083333,0.107
70. Matt Dumba,183,Right,7 - Round 1 - 2012 (MIN),5.73,93,200,130,0.46,7.46,16.04,10.43,438,376,53.81,783,708,52.52,596,547,52.14,43.39,38.02,53.30,-,-,-,23,,5,RFA,6000000,0.075
71. Kyle Turris,185,Right,3 - Round 1 - 2007 (ARI),6.68,78,146,114,0.46,5.42,10.15,7.93,512,404,55.90,894,724,55.25,693,563,55.18,40.51,34.75,53.83,-,-,-,28,,6,UFA,6000000,0.08
72. Nikolaj Ehlers,183,Left,9 - Round 1 - 2014 (WPG),14.81,159,266,207,0.91,9.76,16.32,12.71,552,478,53.59,1000,858,53.82,763,653,53.88,47.05,42.14,52.75,-,-,-,22,,7,RFA,6000000,0.08
73. Artemi Panarin,180,Right,-,18.09,191,359,257,0.69,7.31,13.73,9.83,996,711,58.35,1796,1243,59.10,1391,967,58.99,97.51,68.47,58.75,-,-,-,25,,2,RFA,6000000,0.082
74. Kyle Okposo,183,Right,7 - Round 1 - 2006 (NYI),12.19,147,232,186,0.68,8.19,12.95,10.38,591,504,53.97,1028,885,53.74,789,688,53.42,45.10,43.71,50.78,-,-,-,28,M-NTC,7,UFA,6000000,0.082
75. Loui Eriksson,188,Left,33 - Round 2 - 2003 (DAL),13.03,107,170,145,0.69,5.64,8.94,7.64,553,599,48.00,989,1067,48.10,755,828,47.69,50.06,53.09,48.53,-,-,-,30,NTC,6,UFA,6000000,0.082
76. David Backes,191,Right,62 - Round 2 - 2003 (STL),10.34,129,199,167,0.68,8.49,13.09,10.99,527,398,56.97,955,718,57.08,733,543,57.45,44.77,35.97,55.44,-,-,-,32,NMC,5,UFA,6000000,0.082
77. Milan Lucic,191,Left,50 - Round 2 - 2006 (BOS),10.55,74,170,126,0.61,4.25,9.75,7.23,502,454,52.51,1025,851,54.64,721,637,53.09,48.32,40.75,54.25,-,-,-,28,NMC,7,UFA,6000000,0.082
78. Filip Forsberg,185,Right,11 - Round 1 - 2012 (WSH),25.04,217,435,318,1.26,10.93,21.91,16.01,757,589,56.24,1419,992,58.86,1073,775,58.06,79.58,56.33,58.55,-,-,-,21,,6,RFA,6000000,0.082
79. Erik Johnson,193,Right,1 - Round 1 - 2006 (STL),6.31,144,283,190,0.22,4.95,9.73,6.53,830,1042,44.34,1479,1958,43.03,1091,1435,43.19,72.75,91.41,44.32,-,-,-,28,"M-NTC, NMC",7,UFA,6000000,0.084
80. Brandon Saad,185,Left,43 - Round 2 - 2011 (CHI),23.31,195,318,260,0.99,8.27,13.48,11.02,803,791,50.38,1451,1329,52.19,1063,1045,50.43,70.12,85.03,45.19,-,-,-,22,,6,RFA,6000000,0.082
81. Johnny Boychuk,188,Right,61 - Round 2 - 2002 (COL),5.59,157,324,226,0.24,6.76,13.95,9.73,646,801,44.64,1196,1547,43.60,896,1136,44.09,58.81,70.63,45.43,-,-,-,31,NMC,7,UFA,6000000,0.082
82. Cory Schneider,191,Left,26 - Round 1 - 2004 (VAN),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.06,2.69,-0.38,29,NTC,7,UFA,6000000,0.087
83. Jordan Staal,193,Left,2 - Round 1 - 2006 (PIT),15.87,121,197,159,1.04,7.94,12.93,10.44,592,440,57.36,1090,761,58.89,815,596,57.76,62.93,45.20,58.20,-,-,-,23,NMC,10,UFA,6000000,0.1
84. Logan Couture,185,Left,9 - Round 1 - 2007 (SJS),23.46,204,361,288,0.93,8.13,14.38,11.47,912,755,54.71,1759,1344,56.69,1312,1035,55.90,97.12,79.84,54.88,-,-,-,25,M-NTC,5,RFA,6000000,0.093
85. Joe Pavelski,180,Right,205 - Round 7 - 2003 (SJS),27.53,188,297,251,1.15,7.90,12.48,10.54,909,648,58.38,1704,1203,58.62,1279,908,58.48,96.33,68.73,58.36,-,-,-,29,M-NTC,5,UFA,6000000,0.093
86. Matt Duchene,180,Left,3 - Round 1 - 2009 (COL),21.67,172,275,227,0.95,7.51,12.00,9.91,793,708,52.83,1417,1319,51.79,1082,999,51.99,78.40,67.90,53.59,-,-,-,22,,5,RFA,6000000,0.093
87. Corey Crawford,188,Left,52 - Round 2 - 2003 (CHI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.93,2.94,0.01,29,"M-NTC, NMC",6,UFA,6000000,0.093
88. Ryan Nugent-Hopkins,183,Left,1 - Round 1 - 2011 (EDM),23.46,208,357,273,0.85,7.57,12.99,9.94,854,843,50.32,1558,1546,50.19,1158,1159,49.98,89.95,89.50,50.13,-,-,-,20,,7,RFA,6000000,0.093
89. Jordan Eberle,180,Right,22 - Round 1 - 2008 (EDM),18.82,160,255,213,0.88,7.45,11.87,9.91,760,615,55.27,1391,1107,55.68,1042,836,55.48,77.43,58.12,57.12,-,-,-,22,,6,RFA,6000000,0.1
90. Taylor Hall,185,Left,1 - Round 1 - 2010 (EDM),12.08,113,207,153,1.12,10.44,19.12,14.13,428,273,61.06,742,514,59.08,584,389,60.02,43.74,30.44,58.96,-,-,-,20,,7,RFA,6000000,0.1
91. Jonathan Huberdeau,185,Left,3 - Round 1 - 2011 (FLA),25.74,226,358,299,1.00,8.77,13.89,11.60,1025,725,58.57,1786,1276,58.33,1385,997,58.14,96.47,78.17,55.24,-,-,-,24,,6,RFA,5900000,0.081
92. Aleksander Barkov,191,Left,2 - Round 1 - 2013 (FLA),24.72,206,318,277,0.81,6.74,10.41,9.07,1087,915,54.30,1881,1666,53.03,1457,1301,52.83,107.59,105.66,50.45,-,-,-,20,,6,RFA,5900000,0.083
93. Semyon Varlamov,188,Left,23 - Round 1 - 2006 (WSH),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.87,2.72,-0.16,25,,5,RFA,5900000,0.092
94. Cam Atkinson,173,Right,157 - Round 6 - 2008 (CBJ),32.93,295,487,411,1.27,11.42,18.85,15.91,904,756,54.46,1623,1318,55.19,1278,1021,55.59,90.10,76.92,53.95,-,-,-,29,NTC,7,UFA,5875000,0.078
95. Dustin Brown,183,Right,13 - Round 1 - 2003 (LAK),18.22,180,296,231,0.74,7.35,12.09,9.43,755,796,48.68,1378,1456,48.62,1039,1136,47.77,72.02,79.51,47.53,-,-,-,29,M-NTC,8,UFA,5875000,0.091
96. Brandon Dubinsky,188,Left,60 - Round 2 - 2004 (NYR),7.33,63,96,77,0.57,5.01,7.64,6.13,330,376,46.74,533,728,42.27,426,530,44.56,27.44,33.77,44.83,-,-,-,29,"M-NTC, NMC",6,UFA,5850000,0.085
97. Jonathan Quick,185,Left,72 - Round 3 - 2005 (LAK),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.38,2.79,-0.59,27,,10,UFA,5800000,0.097
98. Ryan Callahan,178,Right,127 - Round 4 - 2004 (NYR),7.75,76,111,96,0.80,7.87,11.50,9.94,256,277,48.03,436,540,44.67,340,390,46.58,23.69,21.01,53.00,-,-,-,29,"M-NTC, NMC",6,UFA,5800000,0.09
99. James Neal,191,Left,33 - Round 2 - 2005 (DAL),13.43,141,235,192,0.86,8.98,14.96,12.22,488,424,53.51,960,763,55.72,698,589,54.23,46.52,34.06,57.73,-,-,-,30,,5,UFA,5750000,0.072
100. Mikael Granlund,178,Left,9 - Round 1 - 2010 (MIN),16.95,189,329,252,0.70,7.83,13.62,10.43,842,663,55.95,1557,1282,54.84,1162,949,55.05,79.45,63.83,55.45,-,-,-,25,,3,RFA,5750000,0.077
101. Martin Jones,193,Left,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.94,2.65,-0.29,28,M-NTC,6,UFA,5750000,0.077
102. T.J. Oshie,183,Right,24 - Round 1 - 2005 (STL),20.32,144,263,219,0.95,6.73,12.29,10.23,770,579,57.08,1431,1095,56.65,1106,831,57.10,76.31,58.41,56.65,-,-,-,30,M-NTC,8,UFA,5750000,0.077
103. Alexander Steen,183,Left,24 - Round 1 - 2002 (TOR),10.19,114,186,146,0.59,6.64,10.84,8.51,498,465,51.71,940,929,50.29,691,671,50.73,45.42,45.73,49.83,-,-,-,32,NTC,4,UFA,5750000,0.079
104. Dougie Hamilton,198,Right,9 - Round 1 - 2011 (BOS),14.40,259,542,367,0.54,9.63,20.16,13.65,1058,729,59.21,2016,1343,60.02,1498,1032,59.21,104.74,70.52,59.76,-,-,-,22,,6,RFA,5750000,0.081
105. Marc-André Fleury,188,Left,1 - Round 1 - 2003 (PIT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.50,2.62,0.11,30,"M-NTC, NMC",4,UFA,5750000,0.083
106. Travis Zajac,188,Right,20 - Round 1 - 2004 (NJD),15.58,120,197,156,0.61,4.67,7.67,6.07,810,804,50.19,1427,1481,49.07,1114,1131,49.62,78.55,81.33,49.13,-,-,-,27,NTC,8,UFA,5750000,0.089
107. Matt Niskanen,185,Right,28 - Round 1 - 2005 (DAL),4.88,143,256,185,0.17,4.88,8.75,6.33,766,1006,43.23,1435,1823,44.05,1073,1369,43.94,64.73,91.47,41.44,-,-,-,27,M-NTC,7,UFA,5750000,0.083
108. Tyler Seguin,185,Right,2 - Round 1 - 2010 (BOS),35.99,334,566,432,1.27,11.78,19.96,15.24,1078,855,55.77,1919,1598,54.56,1436,1198,54.52,111.65,81.90,57.69,-,-,-,21,NMC,6,RFA,5750000,0.096
109. Jeff Skinner,180,Left,7 - Round 1 - 2010 (CAR),30.42,268,431,355,1.20,10.59,17.03,14.03,1039,746,58.21,1755,1263,58.15,1379,996,58.06,91.38,69.38,56.84,-,-,-,20,NMC,6,RFA,5725000,0.095
110. Marc Staal,193,Left,12 - Round 1 - 2005 (NYR),3.67,84,170,108,0.14,3.29,6.65,4.22,627,1004,38.44,1099,1813,37.74,840,1392,37.63,57.44,97.81,37.00,-,-,-,28,NMC,6,UFA,5700000,0.083
111. Mike Smith,196,Left,161 - Round 5 - 2001 (DAL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.72,2.53,-0.20,31,M-NTC,6,UFA,5666667,0.088
112. Tomas Hertl,188,Left,17 - Round 1 - 2012 (SJS),27.99,176,309,250,1.14,7.21,12.66,10.24,888,688,56.35,1669,1263,56.92,1251,956,56.68,95.35,77.31,55.22,-,-,-,24,,4,RFA,5625000,0.071
