PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,GA60,xGA60,GSAx60,SIGNING AGE,CLAUSE,LENGTH,SIGNING,CAP HIT,CAP HIT %
1. Connor McDavid,185,Left,1 - Round 1 - 2015 (EDM),33.83,240,423,327,1.13,8.08,14.25,11.01,1068,890,54.55,1954,1553,55.72,1472,1199,55.11,115.38,94.10,55.08,-,-,-,21,,8,RFA,12500000,0.167
2. John Tavares,185,Left,1 - Round 1 - 2009 (NYI),40.88,286,485,401,1.57,10.96,18.59,15.37,1064,835,56.03,2050,1466,58.30,1513,1153,56.75,124.96,77.56,61.70,-,-,-,27,NMC,7,UFA,11000000,0.138
3. Carey Price,191,Left,5 - Round 1 - 2005 (MTL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.49,2.57,0.08,29,NMC,8,UFA,10500000,0.14
4. Jonathan Toews,188,Left,3 - Round 1 - 2006 (CHI),27.54,236,355,291,0.96,8.22,12.37,10.14,1048,972,51.88,1878,1639,53.40,1388,1291,51.81,100.25,103.10,49.30,-,-,-,26,NMC,8,UFA,10500000,0.152
5. Patrick Kane,178,Left,1 - Round 1 - 2007 (CHI),34.21,341,598,454,1.12,11.23,19.70,14.96,1104,964,53.38,2049,1613,55.95,1499,1251,54.51,108.56,97.87,52.59,-,-,-,26,NMC,8,UFA,10500000,0.152
6. William Nylander,183,Right,8 - Round 1 - 2014 (TOR),13.52,130,246,190,0.97,9.31,17.62,13.61,536,408,56.78,1069,740,59.09,783,571,57.83,51.30,34.78,59.60,-,-,-,22,,6,RFA,10277778,0.088
7. Jack Eichel,188,Right,2 - Round 1 - 2015 (BUF),27.83,303,485,392,1.06,11.55,18.48,14.94,1067,791,57.43,1777,1337,57.06,1412,1061,57.10,99.76,75.95,56.77,-,-,-,21,,8,RFA,10000000,0.133
8. Anze Kopitar,191,Left,11 - Round 1 - 2005 (LAK),20.68,156,298,227,0.69,5.18,9.90,7.54,913,956,48.85,1705,1758,49.23,1266,1352,48.36,88.57,98.73,47.29,-,-,-,28,NMC,8,UFA,10000000,0.14
9. Alex Ovechkin,191,Right,1 - Round 1 - 2004 (WSH),37.49,338,668,501,1.33,11.97,23.65,17.73,1017,820,55.36,1923,1482,56.48,1477,1145,56.33,111.14,89.66,55.35,-,-,-,22,M-NTC,13,RFA,9538462,0.19
10. Jamie Benn,188,Left,129 - Round 5 - 2007 (DAL),26.53,189,329,255,1.12,7.98,13.88,10.76,880,704,55.56,1601,1309,55.02,1178,966,54.94,90.19,65.17,58.05,-,-,-,27,NMC,8,UFA,9500000,0.13
11. Evgeni Malkin,191,Left,2 - Round 1 - 2004 (PIT),19.85,188,324,245,0.93,8.82,15.20,11.50,787,640,55.15,1408,1090,56.37,1027,823,55.51,82.71,59.84,58.02,-,-,-,27,NMC,8,UFA,9500000,0.148
12. P.K. Subban,183,Right,43 - Round 2 - 2007 (MTL),5.82,168,306,226,0.24,7.06,12.86,9.50,839,722,53.75,1526,1254,54.89,1152,989,53.81,72.23,70.84,50.48,-,-,-,25,,8,RFA,9000000,0.13
13. Sidney Crosby,180,Left,1 - Round 1 - 2005 (PIT),29.81,220,348,290,1.08,7.96,12.59,10.49,1065,782,57.66,1902,1440,56.91,1437,1092,56.82,111.34,74.09,60.04,-,-,-,25,NMC,12,UFA,8700000,0.145
14. Corey Perry,191,Right,28 - Round 1 - 2003 (ANA),6.50,59,104,82,0.85,7.70,13.58,10.71,226,203,52.68,451,411,52.32,334,303,52.43,21.82,19.72,52.53,-,-,-,28,NMC,8,UFA,8625000,0.134
15. Leon Draisaitl,188,Left,3 - Round 1 - 2014 (EDM),30.07,231,404,311,0.97,7.48,13.09,10.07,1044,922,53.10,1908,1635,53.85,1431,1257,53.24,114.97,98.25,53.92,-,-,-,21,,8,RFA,8500000,0.113
16. Steven Stamkos,185,Right,1 - Round 1 - 2008 (TBL),25.51,234,425,328,1.02,9.36,16.98,13.11,914,746,55.06,1685,1291,56.62,1290,996,56.43,91.34,64.27,58.70,-,-,-,26,NMC,8,UFA,8500000,0.116
17. Henrik Lundqvist,185,Left,205 - Round 7 - 2000 (NYR),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.07,2.93,-0.14,32,NMC,7,UFA,8500000,0.132
18. Claude Giroux,180,Right,22 - Round 1 - 2006 (PHI),18.26,229,419,317,0.62,7.81,14.29,10.81,1128,901,55.59,2089,1560,57.25,1582,1175,57.38,111.31,85.77,56.48,-,-,-,26,NMC,8,RFA,8275000,0.129
19. Jakub Voracek,188,Left,7 - Round 1 - 2007 (CBJ),19.77,210,383,285,0.81,8.65,15.78,11.74,943,705,57.22,1717,1295,57.01,1296,954,57.60,98.00,67.94,59.06,-,-,-,25,,8,UFA,8250000,0.116
20. Ryan Getzlaf,191,Right,19 - Round 1 - 2003 (ANA),12.51,133,271,208,0.57,6.12,12.47,9.57,708,633,52.80,1375,1195,53.50,1011,918,52.41,68.29,74.20,47.93,-,-,-,27,NMC,8,UFA,8250000,0.128
21. John Carlson,191,Right,27 - Round 1 - 2008 (WSH),11.08,185,397,267,0.33,5.54,11.88,7.99,1169,998,53.95,2185,1926,53.15,1685,1433,54.04,126.44,111.54,53.13,-,-,-,28,M-NTC,8,UFA,8000000,0.101
22. Ryan Johansen,191,Right,4 - Round 1 - 2010 (CBJ),15.74,136,225,174,0.60,5.22,8.63,6.67,977,792,55.23,1826,1346,57.57,1366,1081,55.82,103.58,83.29,55.43,-,-,-,24,,8,RFA,8000000,0.107
23. Brent Burns,196,Right,20 - Round 1 - 2003 (MIN),14.32,300,689,435,0.42,8.75,20.09,12.68,1249,962,56.49,2397,1722,58.19,1744,1312,57.07,124.50,101.66,55.05,-,-,-,32,M-NTC,8,UFA,8000000,0.11
24. Phil Kessel,183,Right,5 - Round 1 - 2006 (BOS),24.47,215,370,281,1.00,8.75,15.06,11.44,899,771,53.83,1570,1342,53.91,1185,1027,53.57,91.55,70.45,56.51,-,-,-,25,"M-NTC, NMC",8,UFA,8000000,0.124
25. Victor Hedman,198,Left,2 - Round 1 - 2009 (TBL),11.01,182,328,254,0.41,6.85,12.35,9.56,896,809,52.55,1618,1397,53.67,1240,1063,53.84,89.73,68.01,56.88,-,-,-,25,NMC,8,UFA,7875000,0.108
26. Shea Weber,193,Right,49 - Round 2 - 2003 (NSH),6.98,166,339,251,0.31,7.32,14.95,11.07,776,723,51.77,1471,1331,52.50,1092,1000,52.20,76.12,67.15,53.13,-,-,-,26,,14,RFA,7857143,0.131
27. Evgeny Kuznetsov,188,Left,26 - Round 1 - 2010 (WSH),23.26,193,335,280,0.98,8.11,14.07,11.76,852,713,54.44,1593,1276,55.52,1245,991,55.68,92.96,74.28,55.58,-,-,-,25,,8,RFA,7800000,0.104
